GID	yorf	NAME	GWEIGHT	155 A	67 A	17 A	218 A	117 A	146 A	148 A	149 A	145 A	203 B	203 A	148 B	152 A	152 B	201 A	202 A	227 A	263 A	90 A	21 A	262 B	30 A	30 B	175 A	125 A	61 A	70 A	141 A	123 A	262 A	151 A	123 B	223 B	217 B	217 A	202 B	263 B	228 B	216 A	216 B	228 A	125 B	90 B	201 B	218 B	145 B	175 B	227 B	67 B	P3 B	61 B	138 A	138 B	39 B	39 A	64 A	64 B	P3 A	155 B	223 A	141 B	146 B	21 B	117 B	17 B	70 B	149 B	151 B
AID				ARRY22X	ARRY60X	ARRY24X	ARRY40X	ARRY0X	ARRY12X	ARRY14X	ARRY16X	ARRY10X	ARRY33X	ARRY32X	ARRY15X	ARRY20X	ARRY21X	ARRY28X	ARRY30X	ARRY44X	ARRY50X	ARRY64X	ARRY34X	ARRY49X	ARRY52X	ARRY53X	ARRY26X	ARRY4X	ARRY56X	ARRY62X	ARRY8X	ARRY2X	ARRY48X	ARRY18X	ARRY3X	ARRY43X	ARRY39X	ARRY38X	ARRY31X	ARRY51X	ARRY47X	ARRY36X	ARRY37X	ARRY46X	ARRY5X	ARRY65X	ARRY29X	ARRY41X	ARRY11X	ARRY27X	ARRY45X	ARRY61X	ARRY67X	ARRY57X	ARRY6X	ARRY7X	ARRY55X	ARRY54X	ARRY58X	ARRY59X	ARRY66X	ARRY23X	ARRY42X	ARRY9X	ARRY13X	ARRY35X	ARRY1X	ARRY25X	ARRY63X	ARRY17X	ARRY19X
EWEIGHT																																																																							
GENE398X	HSI070D06	ZWINT		1.135	0.3627	0.436	1.305	0.2919	0.448	0.296	0.4145	0.499	0.2216	1.693	1.732	0.9114	0.8519	0.7078	1.954	1.279	-0.6845	0.3273	-0.4686	-1.338	0.8969	-1.376	0.8343	0.6308	-1.16	-0.3588	-0.2861	-0.05238	-1.404	0.1475	-0.3601	-1.666	2.183	0.5705	-0.04993	-0.6226	-0.3613	0.9329	1.387	0.5818	-0.7276	-0.5314	-0.9585	-0.3428	0.08381	-0.9748	-0.9079	-0.8138	-1.759	-1.242	-0.3805	0.1777	0.6071	1.168	1.153	1.375	-1.265	-1.711	-1.457	-0.706	-0.917	-1.481	-0.1365	-0.9925	-0.7992	-0.591	1.286
GENE391X	HSI079B12	PRC1		0.07271	0.6088	0.5191	0.8681	1.102	0.9856	-0.5801	0.1365	0.5742	0.3607	1.156	1.857	0.4183	0.1798	0.4305	1.246	0.7176	-1.034	0.614	1.008	-0.8637	0.4398	-0.9354	-0.2428	0.5097	-0.5208	-0.1218	-0.8128	-0.01736	-1.713	-0.2288	-1.058	-1.427	0.3997	0.2378	-0.03095	-2.224	-0.06698	1.725	1.543	0.09943	-1.363	-0.4588	-0.7897	-1.034	0.1584	-0.9898	-0.8782	-0.7251	-0.7055	-0.7695	-0.2671	0.4739	1.932	2.155	1.549	1.646	-0.4828	-2.021	-1.631	-0.8304	-0.8221	-0.5125	1.088	0.04403	-0.818	-0.8716	0.9922
GENE269X	HSI065E10	RRM2		0.4574	0.5204	0.1398	0.5662	0.5612	0.3636	-0.294	0.2798	0.1285	0.5699	1.194	0.4091	1.659	1.144	-0.08327	0.8661	1.471	-0.7407	-0.0006092	-0.8641	-0.4187	0.3988	-0.3349	0.6406	0.9329	-0.8393	-0.6428	0.2447	0.3275	-0.979	-0.3453	-0.9927	-1.467	1.467	-0.0257	-0.8963	-1.891	0.01889	1.334	1.952	1.683	-0.4042	-0.2049	-1.317	-0.8679	1.239	-0.9135	-1.204	-0.4049	-1.229	-0.8389	-0.008152	0.9371	0.8799	1.091	1.633	2.265	-0.7153	-2.465	-1.58	-0.8661	-1.094	-0.3062	0.5262	-0.161	-0.5579	-0.9043	-1.042
GENE140X	HSI105G02	CCNB2		0.03994	0.3024	-0.4749	0.8851	1.307	1.426	-0.9048	-0.2998	0.09573	-0.2248	0.6124	0.3026	0.8037	0.4903	0.1027	1.454	2.174	-0.4896	0.5182	-0.1881	-0.3828	0.3946	-0.7863	0.1571	1.067	-0.8134	-0.2922	0.06068	0.4349	-1.334	-0.2922	-0.9499	-1.181	1.153	0.6537	0.1378	-1.54	-0.6308	1.533	2.487	0.977	-0.6821	-0.136	-1.005	-0.3019	1.186	-0.7327	-1.298	-0.5791	-0.903	-0.9516	0.03594	1.002	1.775	1.388	0.8532	1.273	-0.5525	-2.675	-1.883	-1.069	-0.3153	-0.2248	0.2798	-0.2707	-0.8038	-1.173	-1.022
GENE369X	HSI054G06	NUSAP1		-0.2422	0.7155	0.4015	1.09	1.071	1.208	0.5507	0.4998	0.9282	0.3839	1.277	0.4009	0.7461	0.05236	-0.1201	1.433	1.119	-0.5047	0.7413	-1.138	-1.575	0.4193	-0.4043	0.9361	0.6743	0.311	0.253	0.2365	0.4191	-1.41	0.6298	-0.711	-1.565	1.677	0.4701	-0.6136	-1.394	0.1903	1.695	1.333	0.702	-0.8244	0.289	-1.788	-0.8745	0.2871	-1.206	-1.049	-0.6251	-1.882	-1.205	0.1866	1.012	1.109	1.626	0.861	0.9835	-1.057	-2.176	-1.933	-0.763	-0.9052	-0.6659	0.3151	-0.5136	-0.4598	-0.7932	-0.8391
GENE94X	HSI080A02	MELK		-0.7261	-0.5138	0.0418	0.3736	0.4205	0.2269	0.6598	0.3391	0.572	0.3504	1.671	0.08577	0.5753	0.09648	0.8872	1.778	1.568	-0.5635	0.7311	-1.152	-1.517	-0.07088	-0.6459	0.04612	1.065	0.04774	0.3004	0.3153	0.1659	-0.9542	-0.1914	-1.065	-0.9195	1.182	0.1572	-0.1552	-1.174	-0.08634	1.322	2.009	0.8441	-1.182	0.4862	-1.043	-0.01222	0.6701	-1.038	-1.257	-0.9245	-1.69	-0.9603	0.2768	0.7743	1.219	1.299	1.337	1.199	-0.3851	-3.144	-0.9355	-0.8356	1.966	-0.2982	-0.4126	0.003562	-0.8676	-1.264	-1.08
GENE367X	HSI044G12	SPBC25		-0.2428	1.153	-0.1015	0.4058	0.3752	1.525	1.283	1.527	1.394	0.1327	1.496	0.1161	1.135	-0.5434	0.6812	2.003	1.737	-0.7253	-0.1236	-1.201	-0.608	1.681	-1.148	1.208	0.4776	0.5533	0.05073	-0.02458	0.6785	-0.4494	0.4992	-0.5591	-1.35	1.905	0.3194	0.1223	-0.1435	-0.7001	0.5047	0.3734	0.5064	-1.25	-0.4458	-1.019	-0.6909	0.3917	-0.9944	-1.441	-1.56	-1.145	-0.8197	-0.3315	-0.2263	1.023	1.451	0.4999	0.8312	-0.3515	-2.31	-1.401	-0.7731	0.2735	-0.4851	-1.101	-1.14	-1.396	-0.484	-1.029
GENE214X	HSI046F10	TOP2A		0.2375	0.5266	-0.5292	0.453	0.7619	0.3797	-0.04738	0.3228	0.4251	2.905	3.813	0.2099	0.7729	-0.082	0.9136	1.412	1.134	-0.363	0.03112	-0.9987	-0.6424	0.6762	-0.8762	0.2178	0.5587	-0.06963	0.4085	0.2686	0.0969	-1.076	0.1587	-0.6767	-0.8614	1.539	0.3422	-0.01871	-1.573	-0.6434	-0.1708	-0.1005	-0.04538	-0.8787	-0.2199	-0.1474	-0.5475	-0.1685	-1.085	-1.333	-0.6135	-1.142	-0.2807	-0.06633	0.3374	0.9646	1.231	1.303	2.063	-0.5798	-2.292	-1.435	-0.8769	-0.7474	-0.6007	0.3506	-0.5377	-0.8005	-0.9708	-0.7162
GENE182X	HSI073H03	CDC2		0.2028	0.1213	-0.7113	0.4156	0.5038	0.3583	-0.2992	0.6096	-0.01167	0.4961	1.426	-0.2767	0.9041	-0.193	1.058	1.946	2.418	-0.08951	0.5347	-1.387	-0.1969	0.4749	-0.4344	0.9864	0.5386	-0.4262	-0.207	0.3103	0.2861	-0.6608	-0.05119	-1.117	-0.5832	2.895	0.5646	-0.1402	-1.143	-0.4619	0.7427	1.288	1.137	-0.8773	0.1802	-0.1247	-0.1904	0.5577	-1.061	-1.423	-1.308	-0.841	-0.6705	0.2157	0.2068	0.8347	0.7388	0.7695	2.069	-0.1529	-2.6	-1.629	-1.335	-1.143	-0.5354	0.3215	-0.4942	-1.276	-1.754	-0.3068
