Number	Statistic (1-FDR)	Locus	Name
1	-5.49(1)	---	ESTs
2	-5.26(1)	80310	spinal cord-derived growth factor-B
3	-5(1)	1028	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
4	-4.49(1)	3479	insulin-like growth factor 1 (somatomedin C)
5	-4.47(1)	---	ESTs
6	-4.4(1)	3202	homeo box A5
7	-4.38(1)	---	Homo sapiens, clone IMAGE:4246029, mRNA
8	-4.23(1)	57722	likely ortholog of mouse neighbor of Punc E11
9	-4.21(1)	219654	hypothetical protein FLJ90798
10	-4.2(1)	9353	slit homolog 2 (Drosophila)
11	-4.17(1)	57381	ras homolog gene family, member J
12	-4.17(1)	79686	chromosome 14 open reading frame 139
13	-4.16(1)	5764	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
14	-4.15(1)	5348	FXYD domain containing ion transport regulator 1 (phospholemman)
15	-4.15(1)	7373	collagen, type XIV, alpha 1 (undulin)
16	-4.12(1)	---	Homo sapiens, clone IMAGE:5294728, mRNA
17	-4.06(1)	---	Homo sapiens mRNA; cDNA DKFZp586N0121 (from clone DKFZp586N0121)
18	-4.05(1)	6812	syntaxin binding protein 1
19	-4.05(1)	10186	lipoma HMGIC fusion partner
20	-4.01(1)	6332	sodium channel, voltage-gated, type VII, alpha polypeptide
21	-4(1)	2205	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
22	-3.96(1)	131583	hypothetical protein FLJ90022
23	-3.94(1)	3479	insulin-like growth factor 1 (somatomedin C)
24	-3.88(1)	862	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related
25	-3.88(1)	---	Homo sapiens mRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)
26	-3.88(1)	3479	insulin-like growth factor 1 (somatomedin C)
27	-3.88(1)	1759	dynamin 1
28	-3.86(1)	8404	SPARC-like 1 (mast9, hevin)
29	-3.85(1)	4856	nephroblastoma overexpressed gene
30	-3.84(1)	26040	SET binding protein 1
31	-3.83(1)	23768	fibronectin leucine rich transmembrane protein 2
32	-3.83(1)	4239	microfibrillar-associated protein 4
33	4.33(1)	6183	mitochondrial ribosomal protein S12
34	4.35(1)	57510	exportin 5
35	4.36(1)	7153	topoisomerase (DNA) II alpha 170kDa
36	4.36(1)	54443	anillin, actin binding protein (scraps homolog, Drosophila)
37	4.36(1)	983	cell division cycle 2, G1 to S and G2 to M
38	4.41(1)	701	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
39	4.44(1)	6241	ribonucleotide reductase M2 polypeptide
40	4.44(1)	51514	RA-regulated nuclear matrix-associated protein
41	4.44(1)	1366	claudin 7
42	4.45(1)	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
43	4.5(1)	8339	histone 1, H2bg
44	4.51(1)	9700	extra spindle poles like 1 (S. cerevisiae)
45	4.52(1)	9055	protein regulator of cytokinesis 1
46	4.58(1)	10112	kinesin family member 20A
47	4.6(1)	55165	chromosome 10 open reading frame 3
48	4.61(1)	983	cell division cycle 2, G1 to S and G2 to M
49	4.68(1)	195828	zinc finger protein 367
50	4.7(1)	29128	ubiquitin-like, containing PHD and RING finger domains, 1
51	4.74(1)	---	ESTs
52	4.74(1)	51203	nucleolar protein ANKT
53	4.8(1)	3015	H2A histone family, member Z
54	4.83(1)	259266	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
55	4.87(1)	79682	hypothetical protein FLJ23468
56	4.9(1)	51659	HSPC037 protein
57	4.98(1)	991	CDC20 cell division cycle 20 homolog (S. cerevisiae)
58	4.99(1)	6241	ribonucleotide reductase M2 polypeptide
59	5(1)	9768	KIAA0101 gene product
60	5.17(1)	29089	HSPC150 protein similar to ubiquitin-conjugating enzyme
61	5.17(1)	9289	G protein-coupled receptor 56
62	5.18(1)	4288	antigen identified by monoclonal antibody Ki-67
63	5.4(1)	1063	centromere protein F, 350/400ka (mitosin)
64	5.7(1)	---	Homo sapiens, clone IMAGE:4826963, mRNA
