Rank	Gene	Description	UniGene ID	Class correlation	P	Rank in non-SQ^
1	ESTs		Hs.28399	Favorable	0.0068	396
2	ESTs		Hs.98269	Favorable	0.0087	178
3	ESTs		Hs.35552	Favorable	0.0034	272
4	KRT5	Keratin 5	Hs.433845	Fatal	0.0046	240
5	PTP4A3	Protein tyrosine phosphatase type 4A, member 3	Hs.43666	Fatal	0.0104	171
6	SPRR1B	Small proline-rich protein 1B	Hs.1076	Fatal	0.0147	70
7	LOC339324	Hypothetical protein LOC339324	Hs.18103	Favorable	0.0171	361
8	MYST4	MYST histone acetyltransferase 4	Hs.27590	Fatal	0.0188	529
9	SPARCL1	SPARC-like 1	Hs.75445	Fatal	0.021	846
10	IGJ	Immunoglobulin J polypeptide	Hs.76325	Fatal	0.0143	265
11	EIF4A2	Eucaryotic translation initiation factor 4A, isoform 2	Hs.173912	Favorable	0.0233	382
12	ESTs		Hs.261314	Fatal	0.0226	822
13	ID2	Inhibitor of DNA binding 2	Hs.180919	Fatal	0.0214	329
14	THBD	Thrombomodulin	Hs.2030	Fatal	0.0077	51
15	MGC15476	Thymus expressed gene 3-like	Hs.134185	Fatal	0.0231	298
16	ZFP	Zinc-finger protein	Hs.1148	Favorable	0.0217	297
17	COPB	Coatomer protein complex, subunit beta	Hs.3059	Fatal	0.0272	151
18	ZYG	ZYG homolog	Hs.29285	Fatal	0.0237	632
19	CACNA1I	Calcium channel, voltage-dependent, alpha 1I subunit	Hs.125116	Fatal	0.0312	492
