Gene ID	Gene Name	Molecular Function/Biological Process	Status
37648_at	KIAA0153 protein		UP REGULATED GENES
39608_at	single-minded (Drosophila) homolog 2	transcription factor	UP REGULATED GENES
448_s_at	multiple endocrine neoplasia I	single-stranded RNA binding	UP REGULATED GENES
1980_s_at	non-metastatic cells 2, protein (NM23B) expressed in	(L) nucleoside diphosphate kinase	UP REGULATED GENES
32878_f_at	ESTs, Weakly similar to		UP REGULATED GENES
39817_s_at	putative c-Myc-responsive	cell proliferation	UP REGULATED GENES
33674_at	ribosomal protein L29	structural protein of ribosome	UP REGULATED GENES
37741_at	pyrroline-5-carboxylate reductase 1	pyrolline 5-carboxylate reductase	UP REGULATED GENES
38683_s_at	KIAA1085 protein		UP REGULATED GENES
37730_at	EBNA-2 co-activator (100kD)	transcription cofactor	UP REGULATED GENES
31385_at	ribosomal protein L28	structural protein of ribosome	UP REGULATED GENES
40890_at	metaxin 1	(L) mitochondrial protein import (?)	UP REGULATED GENES
36174_at	macrophage myristoylated alanine-rich C kinase substrate	(L) protein kianse substrate	UP REGULATED GENES
33415_at	non-metastatic cells 2, protein (NM23B) expressed in	(L) nucleoside diphosphate kinase (?)	UP REGULATED GENES
41359_at	plakophilin 3	cell adhesion	UP REGULATED GENES
31527_at	ribosomal protein S2	structural protein of ribosome	UP REGULATED GENES
31538_at	ribosomal protein, large, P0	structural protein of ribosome	UP REGULATED GENES
39830_at	ribosomal protein L27	structural protein of ribosome	UP REGULATED GENES
254_at	H3 histone, family 3A	(L) chromotin protein	UP REGULATED GENES
1251_g_at	RAP1, GTPase activating protein 1	GTPase activator	UP REGULATED GENES
37117_at	Rho GTPase activating protein 8		UP REGULATED GENES
31545_at	dJ1033B10.4 (40S ribosomal protein S18 (RPS18, KE-3))	structural protein of ribosome	UP REGULATED GENES
40539_at	myosin IXB	myosin ATPase	UP REGULATED GENES
41152_f_at	ribosomal protein L44	structural protein of ribosome	UP REGULATED GENES
38729_at	FK506-binding protein 4 (59kD)	HSP70/HSP90 organizing protein, peptidylprolyl isomerase	UP REGULATED GENES
41242_at	UDP-N-acteylglucosamine pyrophosphorylase 1	UDP-N-acetylglucosamine pyrophosphorylase	UP REGULATED GENES
34310_at	adenine phosphoribosyltransferase	adenine phosphoribosyltransferase	UP REGULATED GENES
1585_at	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	epidermal growth factor recepto	UP REGULATED GENES
39812_at	mitochondrial ribosomal protein L12	structural protein of ribosome	UP REGULATED GENES
37916_at	heme oxygenase (decycling) 2	heme oxygenase	UP REGULATED GENES
33121_g_at	regulator of G-protein signalling 10	binding to Galpha subunit	UP REGULATED GENES
40093_at	Lutheran blood group (Auberger b antigen included)	cell adhesion	UP REGULATED GENES
256_s_at	laminin receptor 1 (67kD, ribosomal protein SA)	nuclear receptor	UP REGULATED GENES
37779_at	acid sphingomyelinase-like phosphodiesterase	(L) phosphodiesterase	UP REGULATED GENES
1270_at	RAP1, GTPase activating protein 1	GTPase activator	UP REGULATED GENES
39598_at	gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)	connexon channel	UP REGULATED GENES
34646_at	ribosomal protein S7	structural protein of ribosome	UP REGULATED GENES
