GeneSymbol	Gene Description	Value
PROM1	Prominin 1, CD133	7.1
BAALC	Brain and acute leukemia, cytoplasmic	4.8
ITM2A	Integral membrane protein 2A	3.6
HGF	Hepatocyte growth factor (hepapoietin A; scatter factor)	3.4
CD34	CD34 molecule	3.4
UMODL1	Uromodulin-like 1	3.3
MN1	Meningioma (disrupted in balanced translocation) 1	3.1
C5orf23	Chromosome 5 open reading frame 23	3.1
C1QTNF4	C1q and tumor necrosis factor related protein 4	2.9
GPR174	G protein–coupled receptor 174	2.9
NPR3	Natriuretic peptide receptor C/guanylate cyclase C	2.8
FLJ10489	Hypothetical protein FLJ10489	2.8
FZD6	Frizzled homolog 6 (Drosophila)	2.7
ABCB1	ATP-binding cassette, sub–family B (MDR/TAP), member 1, MDR1	2.7
JUP	Junction plakoglobin	2.7
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2.6
	Hypothetical protein LOC441168	2.6
TSPAN13	Tetraspanin 13	2.6
B4GALT6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	2.5
SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	2.4
BRDG1	BCR downstream signaling 1	2.3
HLADOA	Major histocompatibility complex, class II, DO alpha	2.2
S100Z	S100 calcium binding protein Z	2.1
CRYGD	Crystallin, gamma D	2.1
CD200	CD200 molecule	2.1
PLAGL1	Pleiomorphic adenoma gene-like 1	2.1
ITM2C	Integral membrane protein 2C	2.1
	Similar to RIKEN cDNA 8030451K01	2
TRAF5	TNF receptor–associated factor 5	2
