Gene symbol	Fold increase, sensitive vs resistant	Resistant, mean signal	Sensitive, mean signal	Probe set	Description
TACSTD2	250	33.3	7860.8	202286_s_at	tumor-associated calcium signal transducer 2
KRT19	125	65.2	8103.9	201650_at	keratin 19
CDH1	58.8	67.8	4062.5	201131_s_at	cadherin 1, type 1, E-cadherin (epithelial)
RAB25	52.6	57.1	3051.7	218186_at	RAB25, member RAS oncogene family
MAL2	50	44.6	2216.9	224650_at	mal, T-cell differentiation protein 2
AGR2	41.7	150	6260.3	209173_at	anterior gradient 2 homolog (Xenopus laevis)
GPR110	32.3	40.5	1291.4	238689_at	G protein-coupled receptor 110
TMEM30B	28.6	37.3	1062.3	213285_at	transmembrane protein 30B
EHF	27	28.6	766.3	225645_at	Ets homologous factor
GALNT3	25.6	18.8	486.6	203397_s_at	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 3
KLK6	25.6	60.6	1550.7	204733_at	kallikrein 6 (neurosin, zyme)
PRSS8	20.8	94.3	1944.8	202525_at	protease, serine, 8 (prostasin)
ERBB3	20.4	66.9	1373.1	226213_at	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
CDH3	19.6	82.1	1606.9	203256_at	cadherin 3, type 1, P-cadherin (placental)
NSE2	18.9	81.4	1550.3	225864_at	breast cancer membrane protein 101
AI857788	17.9	43.2	770.5	226535_at
AI28209	17.5	12.8	223.2	236489_at	Transcribed locus
ANKRD22	17.5	36.9	644.5	238439_at	ankyrin repeat domain 22
VAMP8	16.9	107.3	1829.2	202546_at
ARHGDIB	16.4	110.3	1799.9	201288_at	Rho GDP dissociation inhibitor (GDI) beta
CDH1	15.9	48.9	781.9	201130_s_at	cadherin 1, type 1, E-cadherin (epithelial)
EPPK1	14.3	31.7	452.9	232164_s_at	epiplakin 1
FXYD3	14.1	222.6	3114.9	202489_s_at	FXYD domain containing ion transport reglator 3
SCEL	13.9	21.8	302.4	206884_s_at	sciellin
ERBB3	13.3	59.2	787.8	202454_s_at	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
CLDN7	12.3	246.5	3049.5	202790_at	claudin 7
CST6	11.6	36.7	425.6	206595_at	cystatin E/M
CLDN4	11.5	109.5	1263.1	201428_at	claudin 4
PEG10	10.8	150.3	1622.1	212092_at	paternally expressed 10
SPINT1	10.8	132.9	1435.2	202826_at	serine protease inhibitor, Kunitz type 1
PPL	10.3	117	1203.6	203407_at	periplakin
SLC1A1	10.2	35.5	362.2	213664_at	solute carrier family 1, member 1
ENPP5	10.1	9	90.8	227803_at	ectonucleotide pyrophosphatase/phosphodiesterase 5
SERPINB5	10	63	630.3	204855_at	serine (or cysteine) proteinase inhibitor, clade B, member 5
TJP2	9.6	114.6	1105.4	202085_at	tight junction protein 2 (zona occludens 2)
EPPK1	9.3	34.1	318	232165_at	epiplakin 1
FLJ32115	9.3	70.1	652.1	227450_at	hypothetical protein FLJ32115
SARG	9.3	43.9	408.4	228865_at	specifically androgen-regulated protein
GPR87	8.9	30.9	277.1	219936_s_at	G protein-coupled receptor 87
AL359055	8.8	22.8	202.2	232151_at	MRNA full length insert cDNA clone
RASEF	8.8	31.3	277	235144_at	RAS and EF hand domain containing
ALDH1A3	8.8	118.2	1039.2	203180_at	aldehyde dehydrogenase 1 family, member A3
S100A14	8.8	93.4	821.3	218677_at	S100 calcium binding protein A14
SH3YL1	8.8	139.3	1219.8	204019_s_at	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)
ITGB6	8.6	30.5	262.3	208083_s_at	integrin, beta 6
SYTL1	8.6	60.5	520	227134_at	synaptotagmin-like 1
CDS1	8.4	67.7	569.2	226185_at	CDP-diacylglycerol synthase 1
LISCH7	8.3	196.8	1633.8	208190_s_at	liver-specific bHLH-Zip transcription factor
GPR110	8.2	48.3	395.6	235988_at	G protein-coupled receptor 110
GPR160	8.1	75.5	615.1	223423_at	G protein-coupled receptor 160
LOC255743	7.9	26	205.8	225911_at	hypothetical protein LOC255743
TFCP2L3	7.8	31.8	249.2	235247_at	Transcription factor CP2-like 3
TSPAN1	7.8	190.5	1482.2	209114_at	tetraspan 1
LAMC2	7.5	156.8	1175.2	202267_at	laminin, gamma 2
AV724325	7.5	36.1	270	238673_at	Transcribed locus
S100A16	7.1	752.1	5347.2	227998_at	S100 calcium binding protein A16
EMB	7	173	1214.1	226789_at	Embigin homolog (mouse)
BSPRY	6.9	82.5	570.5	222746_s_at	B-box and SPRY domain containing
ENPP4	6.8	59.4	405.2	204160_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)
MGC17299	6.6	105	694.9	225822_at	hypothetical protein MGC17299
TFCP2L2	6.6	79.2	520.7	222830_at	transcription factor CP2-like 2
FGFBP1	6.5	135.1	882.8	205014_at	fibroblast growth factor binding protein 1
ST14	6.4	70	447.4	216905_s_at	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
MGC42367	6.3	41.7	262.7	228067_at	similar to 2010300C02Rik protein
TMC5	6.3	38.5	241.7	240304_s_at	Transmembrane channel-like 5
KRT15	6.2	45.8	283.9	204734_at	keratin 15
PLEKHA7	6.2	49.5	308.2	228450_at	pleckstrin homology domain containing, family A member 2
ZNF600	6.2	18.7	115.8	242463_x_at	zinc finger protein 600
RAB38	6.1	83.1	509.7	219412_at	RAB38, member RAS oncogene family
ST14	6.1	229	1407.3	202005_at	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
LNX	6.1	28.7	173.9	223611_s_at	ligand of numb-protein X
TMEM45B	6	27.2	163.8	230323_s_at	transmembrane protein 45B
AIM1	5.9	174.5	1031.7	212543_at	absent in melanoma 1
EVA1	5.8	28.2	163.4	203780_at	epithelial V-like antigen 1
AI928513	5.7	63.5	361.9	227985_at
ANKRD22	5.7	125.6	712.8	239196_at	ankyrin repeat domain 22
PRRG4	5.7	62.3	354.1	238513_at	Proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
TMC4	5.7	109.5	621.7	226403_at	transmembrane channel-like 4
SARG	5.6	50.8	287	219476_at	specifically androgen-regulated protein
TMPRSS4	5.6	97.1	541.4	218960_at	transmembrane protease, serine 4
DST	5.5	33.3	183.1	204455_at	dystonin
SCEL	5.5	8.9	48.8	232056_at	sciellin
ELF3	5.5	252.8	1380.6	210827_s_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
FLJ20160	5.4	142.4	774	225325_at	FLJ20160 protein
MYO6	5.3	137.2	733.5	203216_s_at	myosin VI
EPN3	5.3	47.3	250.6	223895_s_at	epsin 3
CDS1	5.2	39.2	202	205709_s_at	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
KIAA0830	5.1	118.4	602.2	212573_at	KIAA0830 protein
STARD10	5.1	197.3	995.6	223103_at	START domain containing 10
AI458439	4.9	28.4	139	231929_at	MRNA; cDNA DKFZp586O0724 (from clone DKFZp586O0724)
AV741130	4.9	31.1	152.7	235651_at	Transcribed locus, moderately similar to NP_055301.1 (AD7c-NTP)
CAPS	4.9	75.5	369.6	231729_s_at	calcyphosine
VAV3	4.9	114.9	563.7	218807_at	vav 3 oncogene
AA772172	4.9	66.4	324.1	227747_at
BIK	4.9	166	811	205780_at	BCL2-interacting killer (apoptosis-inducing)
AA991267	4.8	25.4	122.6	241898_at	Transcribed locus, moderately similar to XP_517655.1
CGN	4.8	133.8	647.7	223233_s_at	cingulin
LIPH	4.8	94.3	453.7	235871_at	lipase, member H
CGN	4.7	88.4	419.9	223232_s_at	cingulin
MAPK13	4.7	215	1016.5	210058_at	mitogen-activated protein kinase 13
MGC11242	4.7	144.6	678	219127_at	hypothetical protein MGC11242
MTAC2D1	4.7	17.8	83.1	234970_at	membrane targeting (tandem) C2 domain containing 1
MYO1D	4.6	26.3	121.6	212338_at	myosin ID
SRPX2	4.6	90.2	416.1	205499_at	sushi-repeat-containing protein, X-linked 2
EPS8L2	4.5	175.2	796	218180_s_at	EPS8-like 2
ZNF339	4.5	76.5	344.3	211778_s_at	zinc finger protein 339
TFCP2L3	4.5	64.7	288.5	219388_at	transcription factor CP2-like 3
FLJ36445	4.4	86.8	385.6	235515_at	hypothetical protein FLJ36445
LAD1	4.4	143.5	637.4	203287_at	ladinin 1
EPLIN	4.3	14.6	62.9	222456_s_at	epithelial protein lost in neoplasm beta
CCNG2	4.3	194.2	826.6	202770_s_at	cyclin G2
TMEM45B	4.1	127.7	529.5	226226_at	transmembrane protein 45B
BCLP	4.1	287.3	1189.1	225536_at	beta-casein-like protein
SARG	4.1	66.2	273.7	219856_at	specifically androgen-regulated protein
EPS8L2	4.1	80.7	332.6	222546_s_at	EPS8-like 2
MPP7	4.1	13.2	54.3	238778_at	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
STARD10	4.1	207.8	850.5	232322_x_at	START domain containing 10
FLJ46385	4.1	12.1	49.2	238149_at	FLJ46385 protein
IRF6	4.1	193.4	786	202597_at	interferon regulatory factor 6
ITGB6	4.1	55.4	225.1	208084_at	integrin, beta 6
RIPK4	4.1	289.8	1179	221215_s_at	receptor-interacting serine-threonine kinase 4
MST1R	4	113.7	458.1	205455_at	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
ELF3	4	139.2	555.4	201510_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
MYO6	4	116.9	465.7	203215_s_at	myosin VI
AW242997	3.9	44.3	173.2	229030_at
FLJ23867	3.9	245.9	956.3	226706_at	hypothetical protein FLJ23867
SH3BGRL2	3.9	88.7	345.3	225354_s_at	SH3 domain binding glutamic acid-rich protein like 2
CENTD1	3.9	37	143.3	213618_at	centaurin, delta 1
LEMD1	3.9	55.4	214.5	232105_at	LEM domain containing 1
ZNF91	3.9	85.8	331.7	206059_at	zinc finger protein 91 (HPF7, HTF10)
AW135306	3.8	27.2	104.5	241455_at	Similar to AI661453 protein
ADAM28	3.8	43.1	165.4	205997_at	a disintegrin and metalloproteinase domain 28
CCNG2	3.8	120.1	459.6	202769_at	Cyclin G2
ANXA9	3.8	36	136.2	211712_s_at	annexin A9
KCNMB4	3.8	105.6	398.1	222857_s_at	potassium large conductance calcium-activated channel, subfamily M, beta member 4
DDR1	3.8	639.5	2401.1	207169_x_at	discoidin domain receptor family, member 1
MAPK13	3.7	160.1	596.7	210059_s_at	mitogen-activated protein kinase 13
AI675682	3.7	92.7	342.2	244353_s_at
CCNG2	3.7	255.3	940.5	211559_s_at	cyclin G2
DDR1	3.7	689.8	2543	208779_x_at	discoidin domain receptor family, member 1
GUCY1B3	3.6	52.5	188.9	203817_at	guanylate cyclase 1, soluble, beta 3
OACT1	3.5	119.9	420.4	227379_at	O-acyltransferase (membrane bound) domain containing 1
DDR1	3.5	683.4	2390.3	210749_x_at	discoidin domain receptor family, member 1
DDR1	3.5	829.5	2897.6	1007_s_at	discoidin domain receptor family, member 1
LAD1	3.5	190	664.1	216641_s_at	ladinin 1
BSPRY	3.5	135.1	470.7	218792_s_at	B-box and SPRY domain containing
OCLN	3.5	53.3	185.8	209925_at	occludin
SESTD1	3.4	180.2	618.9	226763_at	SEC14 and spectrin domains 1
AI493046	3.4	59.5	203.5	239148_at	Transcribed locus
FLJ21918	3.4	148.7	507.1	219395_at	hypothetical protein FLJ21918
FRMD4B	3.4	27.1	91.8	213056_at	FERM domain containing 4B
SPTLC2L	3.4	29.1	98.6	227752_at	serine palmitoyltransferase, long chain base subunit 2-like (aminotransferase 2)
AP1M2	3.4	243.9	822.6	218261_at	adaptor-related protein complex 1, mu 2 subunit
MYO6	3.4	172.5	582.6	210480_s_at	myosin VI
SMPDL3B	3.3	81	270.8	205309_at	sphingomyelin phosphodiesterase, acid-like 3B
STAP2	3.3	122	404.4	221610_s_at	signal-transducing adaptor protein-2
ELMO3	3.3	87.8	289.9	219411_at	engulfment and cell motility 3 (ced-12 homolog, C. elegans)
BLNK	3.3	22.7	73.9	207655_s_at	B-cell linker
CAPS	3.3	129.2	420.9	226424_at	calcyphosine
NSE2	3.2	140	449.6	228870_at	breast cancer membrane protein 101
SVIL	3.2	172.2	553.1	202565_s_at	supervillin
EPS8L1	3.2	140	447.7	221665_s_at	EPS8-like 1
GCA	3.2	96.9	309.1	203765_at	grancalcin, EF-hand calcium binding protein
PLEKHF2	3.2	68.4	218.8	218640_s_at	pleckstrin homology domain containing, family F, member 2
SLAC2-B	3.2	155	494	214734_at	SLAC2-B
CDS1	3.2	138.7	440	226187_at	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
KIAA1522	3.2	396.9	1261.6	224746_at	KIAA1522 protein
FOXA1	3.2	117.4	371	204667_at	forkhead box A1
RNF141	3.2	216.4	684.5	226106_at	ring finger protein 141
EVA1	3.2	45.7	144	203779_s_at	epithelial V-like antigen 1
MGC45474	3.1	47	146.7	228221_at	hypothetical protein MGC45474
GCNT2	3.1	43.2	134.7	211020_at	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
CENTA1	3.1	550.5	1702.2	90265_at	centaurin, alpha 1
MYH14	3.1	175.7	540.2	232977_x_at	myosin, heavy polypeptide 14
DAPP1	3.1	19.2	58.9	222859_s_at	dual adaptor of phosphotyrosine and 3-phosphoinositides
FLJ33718	3.1	48.1	147.2	240633_at	hypothetical protein FLJ33718
ZNF468	3	14.9	45.2	214751_at	Zinc finger protein ZNF468
MYH14	3	99.5	300	226988_s_at	myosin, heavy polypeptide 14
GUCY1B3	3	39.8	119.4	211555_s_at	guanylate cyclase 1, soluble, beta 3
LRRC16	3	208.5	620.1	230793_at
COBLL1	3	35.5	104.9	203642_s_at	COBL-like 1
FLJ34633	3	96.8	286.2	236058_at	hypothetical protein FLJ34633
LMO7	3	156.3	462.2	242722_at	LIM domain 7
AP1M2	2.9	205.5	604.3	65517_at	adaptor-related protein complex 1, mu 2 subunit
EPN3	2.9	60.5	175.7	220318_at	epsin 3
KIAA0830	2.9	121.1	351.7	212570_at	KIAA0830 protein
AW263497	2.9	50.5	146.2	242093_at
EPHA1	2.9	102.4	297.2	205977_s_at	EPH receptor A1
TJP3	2.9	91	262.7	35148_at	tight junction protein 3 (zona occludens 3)
COMT	2.9	557.2	1600.2	208817_at	catechol-O-methyltransferase
AI038402	2.9	95.1	272.5	229223_at
KIAA0703	2.9	73.9	210.9	206043_s_at	KIAA0703 gene product
FLJ20160	2.8	27	76.5	219858_s_at	FLJ20160 protein
STK39	2.8	230.2	645.1	202786_at	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
EPS8L1	2.8	119.2	333.2	218779_x_at	EPS8-like 1
FAM3C	2.8	536.7	1497.4	201889_at	family with sequence similarity 3, member C
MYH14	2.8	191.4	535.2	234290_x_at	myosin, heavy polypeptide 14
GNAS	2.8	47.9	133.2	214157_at	GNAS complex locus
FLJ20298	2.7	11.7	32.1	238067_at	FLJ20298 protein
ZNF43	2.7	49.2	135	206695_x_at	zinc finger protein 43 (HTF6)
PVRL4	2.7	153.4	420.8	223540_at	poliovirus receptor-related 4
