Probe Set	Parametric p-value	Cox Hazard Ratio	Gene Symbol
214152_at	1.31E-05	4.304	CCPG1
213894_at	0.0001145	3.026	KIAA0960
206167_s_at	0.0001656	1.879	ARHGAP6
208547_at	0.0001745	0.036	HIST1H2BB
218878_s_at	0.0001981	2.598	SIRT1
205883_at	0.0002006	1.721	ZBTB16
201843_s_at	0.0002051	1.482	EFEMP1
210078_s_at	0.000206	7.071	KCNAB1
206722_s_at	0.0002481	0.316	EDG4
218161_s_at	0.0002504	0.311	CLN6
219427_at	0.0002523	3.137	FAT4
213669_at	0.00026	0.382	FCHO1
205407_at	0.0002607	1.892	RECK
221256_s_at	0.0002678	0.331	HDHD3
202848_s_at	0.0002739	0.228	GRK6
211698_at	0.0002797	2.785	CRI1
209894_at	0.0002884	1.519	LEPR
207484_s_at	0.0003263	0.245	EHMT2
216855_s_at	0.0003548	0.165	HNRPU
206723_s_at	0.0003584	0.319	EDG4
203970_s_at	0.0003784	2.123	PEX3
216397_s_at	0.0003824	0.311	BOP1
219021_at	0.0003956	0.265	RNF121
218590_at	0.0004319	0.308	PEO1
212327_at	0.0004415	1.909	DKFZP686A01247
203355_s_at	0.000472	3.002	PSD3
208733_at	0.0004807	4.421	RAB2
201535_at	0.0004838	2.347	UBL3
218421_at	0.0005168	2.151	CERK
212522_at	0.0005194	3.222	PDE8A
215728_s_at	0.0005356	0.235	ACOT7
218908_at	0.0005558	0.394	ASPSCR1
202034_x_at	0.000564	2.174	RB1CC1
209831_x_at	0.0005885	0.374	DNASE2
205529_s_at	0.0005948	1.953	RUNX1T1
218306_s_at	0.0006316	3.06	HERC1
205978_at	0.0006422	5.538	KL
215869_at	0.0006613	0.193	ABCA1
217731_s_at	0.0007109	2.062	ITM2B
216821_at	0.0007326	0.323	KRT8
208732_at	0.0008125	1.85	RAB2
203049_s_at	0.0008147	2.03	KIAA0372
218473_s_at	0.0008332	0.408	GLT25D1
201916_s_at	0.0008351	1.714	SEC63
204237_at	0.0008399	1.543	GULP1
211363_s_at	0.0008542	0.13	MTAP
213786_at	0.0008731	3.505
202242_at	0.0008988	1.508	TSPAN7
201679_at	0.0009225	0.296	ARS2
221941_at	0.0009339	0.278	PAOX
221649_s_at	0.000957	0.379	PPAN
208070_s_at	0.0009589	1.764	REV3L
200685_at	0.0009815	2.769	SFRS11
214151_s_at	0.0009889	2.502	CCPG1
216684_s_at	0.0009897	0.291	SS18
211084_x_at	0.0009932	0.353	PRKD3
211959_at	0.0009974	1.324	IGFBP5
204936_at	0.0010263	0.264	MAP4K2
212764_at	0.0010362	1.409
221888_at	0.0010517	0.425	CC2D1A
215016_x_at	0.0010605	1.453	DST
204497_at	0.0010669	2.112	ADCY9
204408_at	0.0010701	0.344	APEX2
