P_SET	TITLE	SYMBOL	DOWNFOLD
201859_at	proteoglycan 1, secretory granule	PRG1	45.76
201858_s_at	proteoglycan 1, secretory granule	PRG1	20.72
201641_at	bone marrow stromal cell antigen 2	BST2	9.72
210467_x_at	melanoma antigen, family A, 12	MAGEA12	9.4
221577_x_at	prostate differentiation factor	PLAB	8.77
202411_at	interferon, alpha-inducible protein 27	IFI27	6.27
211506_s_at	---, 211506_s_at, ---	---, 211506_s_at, ---	6.12
206172_at	interleukin 13 receptor, alpha 2	IL13RA2	5.79
203303_at	t-complex-associated-testis-expressed 1-like	TCTE1L	5.33
218451_at	CUB domain-containing protein 1	CDCP1	5.3
204933_s_at	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	TNFRSF11B	5.21
204932_at	umor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	TNFRSF11B	5.14
209482_at	POP7 (processing of precursor, S. cerevisiae) homolog	RPP20	5.03
217388_s_at	kynureninase (L-kynurenine hydrolase)	KYNU	4.84
207850_at	chemokine (C-X-C motif) ligand 3	CXCL3	4.7
218711_s_at	serum deprivation response (phosphatidylserine binding protein)	SDPR	4.69
215101_s_at	chemokine (C-X-C motif) ligand 5	CXCL5	4.55
202859_x_at	interleukin 8	IL8	4.41
218638_s_at	spondin 2, extracellular matrix protein	SPON2	4.18
205904_at	MHC class I polypeptide-related sequence A	MICA	4.11
204470_at	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	4.06
204684_at	neuronal pentraxin I	NPTX1	4.06
207154_at	deiodinase, iodothyronine, type III	DIO3	4.02
202917_s_at	S100 calcium binding protein A8 (calgranulin A)	S100A8	3.97
202145_at	ymphocyte antigen 6 complex, locus E	LY6E	3.93
202170_s_at	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	3.88
219911_s_at	solute carrier family 21 (organic anion transporter), member 12	SLC21A12	3.81
202202_s_at	laminin, alpha 4	LAMA4	3.74
206882_at	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	SLC1A6	3.68
209596_at	adlican	DKFZp564I1922	3.67
