Unigene	Accession	Symbol	Description	Mean fold change
Hs.489033	NM_000927	ABCB1	MDR1, ATP-binding cassette, sub-family B (MDR/TAP), member 1	2.46
Hs.369762	AB077208	TYMS	Thymidylate synthetase	1.71
Hs.198363	NM_018518	MCM10	MCM10 minichromosome maintenance deficient 10	1.7
Hs.405958	U77949	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	1.66
Hs.442658	AB011446	AURKB	Aurora kinase B	1.65
Hs.516484	NM_005978	S100A2	S100 calcium-binding protein A2	1.48
Hs.23960	NM_031966	CCNB1	Cyclin B1	1.4
Hs.460184	AA604621	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	1.4
Hs.438720	AF279900	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	1.36
Hs.433168	NM_002960	S100A3	S100 calcium binding protein A3	1.33
Hs.115474	NM_002915	RFC3	Replication factor C (activator 1) 3, 38 kDa	1.28
Hs.122908	NM_030928	CDT1	DNA replication factor	1.28
Hs.329989	NM_005030	PLK1	Polo-like kinase 1 (Drosophila)	1.21
Hs.334562	NM_001786	CDC2	Cell division cycle 2, G1 to S and G2 to M	1.21
Hs.74034	NM_001753	CAV1	Caveolin 1, caveolae protein, 22 kDa	1.19
Hs.477481	NM_004526	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin	1.16
Hs.284244	M27968	FGF2	Fibroblast growth factor 2 (basic)	1.1
Hs.179565	NM_002388	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1.08
Hs.194698	NM_004701	CCNB2	Cyclin B2	1.04
Hs.506989	BC001866	RFC5	Replication factor C (activator 1) 5, 36.5 kDa	1.02
Hs.171596	NM_004431	EPHA2	EPH receptor A2	1.01
Hs.194143	NM_007294	BRCA1	Breast cancer 1, early onset	0.75
Hs.156346	NM_001067	TOP2A	Topoisomerase (DNA) II alpha 170 kDa	0.64
Hs.473163	NM_001719	BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)	0.54
Hs.391464	NM_004996	ABCC1	MRP-1, ATP-binding cassette, sub-family C (CFTR/MRP), member 1	0.2
Hs.256301	NM_199249	MGC13170	Multidrug resistance-related protein	0.15
Hs.513488	NM_017458	MVP	Major vault protein	-0.05
Hs.482526	NM_014886	TINP1	TGF beta-inducible nuclear protein 1	-0.23
Hs.525557	NM_000295	SERPINA1	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member	-1.01
Hs.500466	BG403361	PTEN	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	-1.05
Hs.25292	NM_002229	JUNB	Jun B proto-oncogene	-1.06
Hs.132225	AI934473	PIK3R1	Phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	-1.16
Hs.83169	NM_002421	MMP1	Matrix metalloproteinase 1 (interstitial collagenase)	-1.22
Hs.508999	NM_002742	PRKCM	Protein kinase C, mu	-1.29
Hs.326035	NM_001964	EGR1	Early growth response 1	-1.29
Hs.2256	NM_002423	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)	-1.32
Hs.197922	NM_018584	CaMKIINalpha	Calcium/calmodulin-dependent protein kinase II	-1.36
Hs.132966	AA005141	MET	Met proto-oncogene (hepatocyte growth factor receptor)	-1.39
Hs.208124	NM_000125	ESR1	Estrogen receptor 1	-1.5
Hs.73793	M27281	VEGF	Vascular endothelial growth factor	-1.53
Hs.381167	AW512196	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	-1.7
Hs.413111	NM_002661	PLCG2	Phospholipase C, gamma 2 (phosphatidylinositol-specific)	-1.75
Hs.461086	NM_004360	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	-1.92
Hs.472793	AI631895	SGK2	Serum/glucocorticoid regulated kinase 2	-2.04
Hs.372914	NM_006096	NDRG1	N-myc downstream regulated gene 1	-2.34
Hs.421986	NM_001008540	CXCR4	Chemokine (C-X-C motif) receptor 4	-2.64
