Gene name	Accession number	Gene expression fold down at 24 h	Gene expression fold down at 72 h
ACTR1A	NM_005736	3.7	2.1
CTNNBL1	NM_030877	3.6	2.4
BC030623	BC030623	3.1	2
DKFZP586A0522	NM_014033	3	1.3
FOXA2	NM_021784	2.9	1.3
GSTK1	NM_015917	2.9	1
C14orf143	NM_145231	2.8	1.5
NPY1R	NM_000909	2.8	1.1
COL13A1	NM_005203	2.8	1
TRIM2	NM_015271	2.7	1.1
PRKAG2	AK001887	2.7	1.5
AWP1	NM_019006	2.7	1.4
A_23_P28927	A_23_P28927	2.7	1.3
SDC1	NM_002997	2.6	1.1
AGR2	NM_006408	2.6	0.5
PGEA1	NM_015373	2.5	1.8
BAG3	NM_004281	2.5	1.2
DUSP6	NM_001946	2.5	0.8
GPSM2	NM_013296	2.5	1.9
MGC50853	NM_203305	2.5	1.5
PSD3	NM_015310	2.5	1.2
MGC14161	NM_032892	2.5	1.7
AUH	NM_001698	2.4	1.3
FLJ32440	NM_173685	2.4	1.2
DNM2	NM_004945	2.4	2.1
LOC93109	NM_138399	2.4	1.3
TCF7L2	NM_030756	2.4	1.1
TCEA3	NM_003196	2.3	1.2
GPR4	NM_005282	2.3	1.7
ANTXR2	NM_058172	2.3	0.8
THC1818249	THC1818249	2.3	1.3
ALDH7A1	NM_001182	2.3	1.2
FLJ11127	NM_019018	2.3	1.6
KIAA1985	AK023667	2.3	0.7
MGC11386	NM_032933	2.3	1.5
ADARB1	NM_015833	2.3	1.7
BIVM	NM_017693	2.3	1.6
ETV4	NM_001986	2.3	1.4
A_23_P8812	A_23_P8812	2.3	0.6
ACOX2	NM_003500	2.3	0.9
F2R	NM_001992	2.3	1.1
HIPK2	NM_022740	2.3	1.2
PITPNC1	NM_181671	2.3	1.4
MMP1	NM_002421	2.2	0.6
FZD4	NM_012193	2.2	0.6
ASB9	NM_024087	2.2	1.2
KIAA0582	AB011154	2.2	1.4
LOC201895	NM_174921	2.2	0.8
SNTB2	NM_130845	2.2	1.5
RFC5	NM_181578	2.2	1.6
HOXB13	NM_006361	2.2	1.3
A_23_P112861	A_23_P112861	2.2	1.2
PLA2G7	NM_005084	2.2	1
NM_017577	NM_017577	2.2	1.3
PRIM2A	NM_000947	2.2	1.7
KARCA1	NM_152366	2.2	0.9
DZIP3	NM_014648	2.2	1.5
NEFL	NM_006158	2.2	1.9
CKLFSF8	NM_178868	2.2	1.2
KIAA0391	BC032221	2.2	1.7
ANKRD22	NM_144590	2.2	1.1
UBE3B	NM_183415	2.1	1
FLJ13236	NM_024902	2.1	1.8
NME7	NM_013330	2.1	1.4
INSIG1	NM_198336	2.1	0.6
SPAG7	NM_004890	2.1	1.9
MSI2	NM_138962	2.1	1.1
RNF24	NM_007219	2.1	1.5
LOXL1	NM_005576	2.1	1.1
EYA4	NM_004100	2.1	1.5
KCNMB4	NM_014505	2.1	1.5
NOX5	NM_024505	2.1	0.9
SIAT10	NM_006100	2.1	1
ANP32C	NM_012403	2.1	1.8
KCNN4	NM_002250	2.1	0.9
LSM7	NM_016199	2.1	1.4
MAP2K6	NM_002758	2.1	1.7
HLCS	NM_000411	2	0.9
ADAT1	NM_012091	2	1.5
CCNG2	NM_004354	2	0.7
SEPT6	NM_145802	2	1.5
DNAH7	NM_018897	2	0.7
SSPN	NM_005086	2	1.1
C14orf106	NM_018353	2	1.5
H1F0	NM_005318	2	1.4
HSD17B2	NM_002153	2	0.8
SORT1	NM_002959	1.8	2.1
LMNB1	NM_005573	1.7	2.1
CASP6	NM_001226	1.6	2
HIST1H4L	NM_003546	1.4	2
LOC90557	NM_138770	1.3	2.1
HMGN2	NM_005517	1.3	2
Pfs2	NM_016095	1.2	2
