Gene name	Accession number	Fold up at 1 day	Fold up at 3 days
I_1000634		12.7	7.4
NM_005132.1	NM_005132.1	3.6	4.9
I_965527	S62138.1	3.7	4.2
MGC10966	AY093951.1	5.8	3.5
DDIT3	NM_004083.2	3.2	3.2
MAD	NM_002357.1	2.7	3.2
MGC12760	NM_032723.1	5.3	3.1
I_2031301.FL1	AL136801.1	4	3.1
UP	BC007348.1	4.5	2.9
RELB	M83221.1	3.1	2.8
KIAA0907	NM_014949.1	2	2.7
CPT1B	U66828.1	3.3	2.7
TGM1	BC034699.1	4.6	2.7
NM_025079.1	NM_025079.1	3.6	2.7
JUNB	U20734.1	2.4	2.6
FLJ32009	NM_152718.1	4.3	2.5
MRIP2	NM_133446.1	2.9	2.5
DXYS155E	NM_005088.1	2.3	2.3
NM_152461.1	NM_152461.1	2.8	2.3
PILR(BETA)	NM_175047.1	2.1	2.2
ARHE	BC012513.1	3.1	2.2
NM_152281.1	NM_152281.1	2.9	2.2
CLK4	NM_020666.1	2	2.2
MGC16121	NM_032762.1	2.2	2.2
FLJ11021	AK056114.1	3.1	2.2
C21orf66	NM_016631.2	2.3	2.1
TRPV1	NM_080706.1	3	2.1
NM_019593.1	NM_019593.1	2	2.1
TIGA1	NM_053000.1	4	2.1
PRDM15	NM_144771.1	2.3	2
PRC17	AL136860.1	2.1	2
RASSF1	NM_170715.1	3.4	2
CEBPB	NM_005194.2	2.5	2
PDE4DIP	AB007946.1	3.3	2
PRKAB1	BC017671.1	2.6	2
DMTF1	AF084530.1	2	2
RTP801	AF335324.1	2.2	2
CEBPD	S63168.1	2.5	2
JDP2	NM_130469.1	2.2	2
C6orf48	AJ249732.1	4.3	2
