Gene name	Accession no.	k/n	m
Secreted protein, acidic, cysteine-rich (osteonectin) (SPARC)	NM_003118	14/20	8
Collagen, type I, alpha 1 (COL1A1)	NM_000088	13/20	12
Collagen, type I, alpha 2 (COL1A2)	NM_000089	12/20	5
Collagen, type III, alpha 1 (COL3A1)	NM_000090	11/20	9
Fibronectin 1 (FN1), transcript variant 1	NM_002026	10/20	8
N-acetyltransferase 1 (NAT1)	NM_000662	10/20	1
Osteoblast specific factor 2 (fasciclin I-like) (OSF-2)	NM_006475	9/20	1
5T4 oncofetal trophoblast glycoprotein (5T4)	NM_006670	8/20	1
Thrombospondin 2 (THBS2)	NM_003247	8/21	1
KIAA0225 protein (KIAA0225)	D86978	8/22	1
Pre-B-cell leukemia transcription factor 1 (PBX1)	NM_002585	7/20	1
Collagen, type VI, alpha 3 (COL6A3)	NM_057167	7/20	7
Platelet-derived growth factor receptor, ß polypeptide (PDGFRB)	NM_002609	6/20	1
Similar to glucosamine-6-sulfatases (SULF2)	NM_018837	6/20	1
Matrix metalloproteinase 11 (stromelysin 3) (MMP11)	NM_005940	6/20	1
Interferon, alpha-inducible protein (G1P3), transcript variant 3	NM_022873	6/20	3
Transducin (ß)-like 1 (TBL1)	NM_005647	6/20	1
Fer-1 (C. elegans)-like 3 (myoferlin) (FER1L3)	NM_013451	6/20	1
Matrix metalloproteinase 13 (collagenase 3) (MMP13)	NM_002427	5/20	1
Cyclin D1 (PRAD1: parathyroid adenomatosis 1) (CCND1)	NM_053056	5/20	1
Melanophilin (MLPH)	NM_024101	5/20	1
Nonmetastatic cells 1, protein (NM23A)	NM_000269	5/20	2
Chondroitin sulfate proteoglycan 2 (versican) (CSPG2)	NM_004385	5/20	3
Prolactin receptor (PRLR)	NM_000949	5/20	1
Small inducible cytokine subfamily A (Cys-Cys), member 19 (SCYA19)	NM_006274	5/20	1
Homo sapiens H3 histone, family 3B (H3F3B)	NM_005324	4/20	1
Stanniocalcin 2 (STC2)	NM_003714	4/20	1
Transcription factor AP-2 ß (TFAP2B)	NM_003221	4/20	1
X-box binding protein 1 (XBP1)	NM_005080	4/20	1
Cathepsin K (pycnodysostosis) (CTSK)	NM_000396	4/20	1
Protease, serine, 11 (IGF binding) (PRSS11)	NM_002775	4/20	1
Activated RNA polymerase II transcription cofactor 4 (PC4)	NM_006713	4/20	1
Chromosome 1 open reading frame 29 (C1orf29)	NM_006820	4/20	1
Collagen, type V, alpha 1 (COL5A1)	NM_000093	4/20	1
Hypothetical protein IMPACT (IMPACT)	NM_018439	4/20	1
Melanoma differentiation-associated protein-5 (MDA5)	NM_022168	4/20	1
Nonmetastatic cells 2, protein (NM23B)	NM_002512	4/20	1
Plasminogen activator, urokinase (PLAU)	NM_002658	4/20	1
Bone marrow stromal cell antigen 2 (BST2)	NM_004335	4/20	1
