 HUGO  	 Ensembl Gene ID  	 Description 
 S100A2  	 ENSG00000160675  	 S100 CALCIUM-BINDING PROTEIN A2  
 LGALS2  	 ENSG00000100079  	 GALECTIN-2  
 S100A8  	 ENSG00000143546  	 CALGRANULIN A, S100 CALCIUM-BINDING PROTEIN A8  
 KRT15  	 ENSG00000171346  	 CYTOKERATIN 15  
 CYBB  	 ENSG00000165168  	 CYTOCHROME B-245 HEAVY CHAIN P22 PHAGOCYTE B-CYTOCHROME 
 GBP1  	 ENSG00000117228  	 NTERFERON-INDUCED GUANYLATE-BINDING PROTEIN 1  
 KHDRBS1  	 ENSG00000121774  	 GAP-ASSOCIATED TYROSINE PHOSPHOPROTEIN P62 (SAM68)  
 BPAG1  	 ENSG00000151914  	 230 KDA BULLOUS PEMPHIGOID ANTIGEN  
 EEF2  	 ENSG00000167658  	 ELONGATION FACTOR 2 (EF-2)  
 C6orf48  	 ENSG00000096682  	 G8 PROTEIN  
 PBP  	 ENSG00000089220  	 RAF KINASE INHIBITOR PROTEIN PROSTATIC BINDING PROTEIN  
 HNRPA0  	 ENSG00000177733  	 HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A0 (HNRNP A0).  
 SOX9  	 ENSG00000125398  	 TRANSCRIPTION FACTOR SOX-9.  
 TCF6L1  	 ENSG00000108064  	 MITOCHONDRIAL TRANSCRIPTION FACTOR 1  
 MCM5  	 ENSG00000100297  	 DNA REPLICATION LICENSING FACTOR MCM5 (CDC46 HOMOLOG)  
 BZRP  	 ENSG00000100300  	 PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR (PBR)  
