Ensembl Gene ID	HGNC symbol	EntrezGene ID	Affy HG U133A
ENSG00000026508	CD44	960	209835_x_at,212014_x_at
ENSG00000033030	ZCCHC8	55596	218478_s_at
ENSG00000047849	MAP4	4134	212567_s_at
ENSG00000051341	POLQ	10721	219510_at
ENSG00000075218	GTSE1	51512	211040_x_at
ENSG00000076555	ACACB	32	221928_at
ENSG00000092201	SUPT16H,SUPT16HP	11198	217815_at
ENSG00000099204	ABLIM1	3983	200965_s_at
ENSG00000101210	EEF1A2	1917	204540_at
ENSG00000102699	PARP4	143	202239_at
ENSG00000104725	NEFL	4747	221916_at
ENSG00000105672	ETV2	2116	215510_at
ENSG00000107954	NEURL	9148	204888_s_at
ENSG00000110200	C11orf51	25906	204218_at
ENSG00000111348	ARHGDIB	397	201288_at
ENSG00000113810	SMC4	10051	201663_s_at,201664_at
ENSG00000120875	DUSP4	1846	204014_at,204015_s_at
ENSG00000121380	BCL2L14	79370	221241_s_at
ENSG00000121858	TNFSF10	8743	202687_s_at
ENSG00000122565	CBX3	11335	201091_s_at
ENSG00000124920	C11orf9	745	204073_s_at
ENSG00000125414	MYH2	4620	204631_at
ENSG00000125730	C3	718,653879,100133511	217767_at
ENSG00000129925	TMEM8	58986	221882_s_at
ENSG00000130383	FUT5	2527	216010_x_at
ENSG00000131503	ANKHD1,EIF4EBP3	404734,8637	214919_s_at
ENSG00000135052	GOLM1	51280	217771_at
ENSG00000135336	ORC3L	23595	210028_s_at
ENSG00000136147	PHF11	51131	221816_s_at
ENSG00000138162	TACC2	10579	211382_s_at
ENSG00000139219	COL2A1	1280	217404_s_at
ENSG00000141098	GFOD2	81577	221028_s_at
ENSG00000142675	CNKSR1	10256	204740_at
ENSG00000143303	C1orf66	51093	218914_at
ENSG00000146918	NCAPG2	54892	219588_s_at
ENSG00000147402	GABRQ	55879	220886_at
ENSG00000148935	GAS2	2620	205848_at
ENSG00000150782	IL18	3606	206295_at
ENSG00000151725	MLF1IP	79682	218883_s_at
ENSG00000152518	ZFP36L2	678	201368_at
ENSG00000156413	FUT6	2528	216010_x_at
ENSG00000156802	ATAD2	29028	218782_s_at
ENSG00000158406	HIST1H4H		208180_s_at
ENSG00000161057	PSMC2	5701	201068_s_at
ENSG00000161955	TNFSF12,TNFSF13	407977,8741	209500_x_at,210314_x_at
ENSG00000162909	CAPN2	824	208683_at
ENSG00000164414	SLC35A1	10559	203306_s_at
ENSG00000166037	CEP57	9702	209862_s_at
ENSG00000166503		50810	209524_at,216693_x_at
ENSG00000166851	PLK1	5347	202240_at
ENSG00000168496	FEN1	2237	204768_s_at
ENSG00000171124	FUT3	2525	216010_x_at
ENSG00000173486	FKBP2	2286	203391_at
ENSG00000174851	YIF1A	10897	202418_at
ENSG00000175305	CCNE2	9134	205034_at
ENSG00000181827	RFX7	64864	218430_s_at
ENSG00000182372	CLN8	2055	219340_s_at
ENSG00000182481	KPNA2	3838,728860	211762_s_at
ENSG00000183020	AP2A2	161	211779_x_at
ENSG00000184319,ENSG00000213753,ENSG00000232938		653789	221634_at
ENSG00000186298	PPP1CC	5501	200726_at
ENSG00000189409	MMP23A	8510	207118_s_at
ENSG00000198276	UCKL1	54963	218533_s_at
ENSG00000215769			211762_s_at
ENSG00000233512			217102_at
ENSG00000235966,ENSG00000225247,ENSG00000227446,ENSG00000204690,ENSG00000233481,ENSG00000168787	OR12D2	26529	221344_at
