Genes	Clone	UniGene cluster	~Fold-difference, P/F	t
Incyte EST	IncytePD:4000648		2.098	4.45
Collagen, type X, alpha 1 (Schmid metaphyseal chondrodysplasia)	IncytePD:4855492	Hs.179729	2.061	5.51
Dual adaptor of phosphotyrosine and 3-phosphoinositides	IncytePD:1304879	Hs.62643	1.989	6.56
Immunoglobulin superfamily, member 6	IncytePD:522893	Hs.135194	1.964	5.65
ATP-binding cassette, subfamily B (MDR/TAP), member 1	IncytePD:1931381	Hs.21330	1.938	5.48
Homo sapiens�transcribed sequences	IncytePD:4073268	Hs.133181	1.899	4.63
Homo sapiens�transcribed sequences	IncytePD:3846507	Hs.443475	1.888	4.85
Heparin-binding growth factor binding protein	IncytePD:2024613	Hs.1690	1.885	4.3
Caspase-8, apoptosis-related cysteine protease	IncytePD:2466440	Hs.243491	1.884	4.38
Platelet-activating receptor homologue	IncytePD:3879095	Hs.159545	1.882	4
Interleukin 22 receptor, alpha 1	IncytePD:3257185	Hs.110915	1.879	4.58
Carbonic anhydrase I	IncytePD:2101663	Hs.23118	1.865	5.75
Diacylglycerol kinase, � 90 kDa	IncytePD:1213571	Hs.158318	1.843	5.64
TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68 kDa (RNA-binding protein 56)	IncytePD:1907369		1.825	4.66
Potassium inwardly-rectifying channel, subfamily J, member 2	IncytePD:630604	Hs.1547	1.815	5
Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	IncytePD:950310	Hs.164021	1.769	6.44
Homo sapiens�transcribed sequences	IncytePD:2289203	Hs.49132	1.764	3.98
Homo sapiens mRNA; cDNA DKFZp686H0155 (from clone DKFZp686H0155)	IncytePD:2906194	Hs.513302	1.747	5.46
Keratin, hair, acidic, 3B	IncytePD:3187903	Hs.32950	1.741	4.68
Down syndrome cell adhesion molecule	IncytePD:4774130	Hs.49002	1.739	4.53
Interleukin 9 receptor	IncytePD:2211721		1.731	4.82
Progestagen-associated endometrial protein (placental protein 14, pregnancy-associated endometrial alpha-2-globulin, alpha uterine protein)	IncytePD:1976179	Hs.82269	1.728	4.09
Agrin	IncytePD:4610962	Hs.273330	1.71	4.19
Homo sapiens mRNA; cDNA DKFZp686P24244 (from clone DKFZp686P24244)	IncytePD:1638327	Hs.119065	1.665	5.38
Prostaglandin I2 (prostacyclin) receptor (IP)	IncytePD:663798	Hs.458324	1.652	4.43
Retinoic acid receptor responder (tazarotene induced) 3	IncytePD:1927347	Hs.17466	1.647	4.29
Adlican	IncytePD:1402105	Hs.72157	1.618	4.45
KH-type splicing regulatory protein (FUSE binding protein 2)	IncytePD:3460518	Hs.91142	1.612	3.89
Small inducible cytokine subfamily C, member 1 (lymphotactin)	IncytePD:308896		1.6	5.03
Hypothetical protein LOC89958	IncytePD:2238576	Hs.19322	1.595	4.5
Ras homologue gene family, member F (in filopodia)	IncytePD:1905723	Hs.512618	1.594	5.98
Purinergic receptor P2Y, G-protein coupled, 1	IncytePD:1961218	Hs.2411	1.586	4.24
Copine VI (neuronal)	IncytePD:2284107	Hs.6132	1.585	4.3
Unc-5 homologue C (Caenorhabditis elegans)	IncytePD:3350064	Hs.125605	1.582	4.21
Spectrin, �, erythrocytic (includes spherocytosis, clinical type I)	IncytePD:2189383	Hs.438514	1.574	4.45
Hypothetical protein DKFZp667E0512	IncytePD:1214652	Hs.432998	1.563	4.97
Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076)	IncytePD:767447	Hs.21103	1.56	3.95
DNA segment on chromosome 6 (unique) 49 expressed sequence	IncytePD:2102881		1.536	4.63
Incyte EST	IncytePD:637290		1.529	3.91
Retinoic acid induced 3	IncytePD:899118	Hs.194691	1.503	3.89
Protein phosphatase 1, regulatory (inhibitor) subunit 16B	IncytePD:1678639	Hs.45719	1.501	4.36
Homo sapiens�transcribed sequences	IncytePD:2344817	Hs.444948	1.489	4.04
TUWD12	IncytePD:2815133	Hs.25130	1.482	4.17
Solute carrier family 38, member 4	IncytePD:778212	Hs.165655	1.472	6.44
Incyte EST	IncytePD:1607471		1.471	4.06
Src homology 2 domain-containing transforming protein D	IncytePD:1738134	Hs.7423	1.455	4.54
Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	IncytePD:3033662	Hs.290404	1.454	6.57
Glia maturation factor, gamma	IncytePD:409089	Hs.5210	1.453	4.08
Inducible T-cell costimulator ligand	IncytePD:2758733	Hs.14155	1.447	4.32
Zinc finger protein 205	IncytePD:3315208	Hs.13128	1.434	5.45
Incyte EST	IncytePD:4291982		1.423	3.98
pancreatic polypeptide	IncytePD:254890	Hs.184604	1.41	4.2
cholinergic receptor, nicotinic, � polypeptide 3	IncytePD:4337986	Hs.96094	1.398	5.54
CLIP-170-related protein	IncytePD:2290302	Hs.7357	1.391	4.65
Zeta-chain (TCR) associated protein kinase 70 kDa	IncytePD:3287090	Hs.234569	1.386	3.85
Incyte EST	IncytePD:476348		1.38	4.75
ATP-binding cassette, subfamily C (CFTR/MRP), member 6	IncytePD:1830341		1.37	3.95
Granulysin	IncytePD:1878545	Hs.105806	1.365	4.62
Proteasome (prosome, macropain) subunit, � type, 9 (large multifunctional protease 2)	IncytePD:2018222	Hs.381081	1.35	4.15
Bone morphogenetic protein 7 (osteogenic protein 1)	IncytePD:2187660	Hs.170195	1.342	3.99
Potassium large conductance calcium-activated channel, subfamily M � member 3	IncytePD:2288482	Hs.120905	1.335	4.91
Thyroid hormone receptor interactor 8	IncytePD:4003794	Hs.442675	1.335	4.01
Prospero-related homeobox 1	IncytePD:1680706	Hs.159437	1.334	5.02
G protein pathway suppressor 2	IncytePD:606083	Hs.438219	1.325	5.71
RAB9A, member RAS oncogene family	IncytePD:1746329	Hs.444327	1.324	3.89
KIAA1145 protein	IncytePD:1477151	Hs.173392	1.319	3.78
Troponin C2, fast	IncytePD:1928824	Hs.182421	1.319	4.25
Homo sapiens�transcribed sequences	IncytePD:2959963	Hs.189955	1.319	4.77
Hepatitis B virus x associated protein	IncytePD:829521	Hs.20509	1.314	4.93
Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	IncytePD:513943	Hs.40968	1.303	4.38
N-myc downstream regulated gene 1	IncytePD:2055569	Hs.318567	1.296	4.01
Homo sapiens�transcribed sequence with strong similarity to protein sp:P43897 (H. sapiens) EFTS_HUMAN Elongation factor Ts, mitochondrial precursor (EF-Ts) (EF-TsMt)	IncytePD:2948353	Hs.340959	1.292	4.54
Homo sapiens mRNA; cDNA DKFZp667O0320 (from clone DKFZp667O0320)	IncytePD:1362601	Hs.137587	1.29	4.63
Platelet-derived growth factor alpha polypeptide	IncytePD:2158373	Hs.376032	1.274	3.75
Homo sapiens�transcribed sequences	IncytePD:694279	Hs.356812	1.259	3.77
Hermansky-Pudlak syndrome-6 protein	IncytePD:1738248	Hs.125133	1.245	3.85
Homo sapiens�transcribed sequence with moderate similarity to protein sp:P39192 (H. sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry	IncytePD:1349433	Hs.121070	1.241	4.57
Homo sapiens cDNA: FLJ21513 fis, clone COL05778	IncytePD:232715	Hs.14555	1.22	4.67
