Gene	Kurtosis	Clusters	pval
FOXA1	-1.34	2	0.7644
GABRP	-1.08	2	0.7637
CDKN2A	-1.04	2	0.3648
TFAP2B	-0.99	2	0.648
CRYAB	-0.97	2	0.7608
CXCL9	-0.91	2	0.2092
BANP	-0.86	2	0.7968
S100A8	-0.82	2	0.2289
UBD	-0.8	2	0.6963
MIA	-0.79	2	0.8757
VGLL1	-0.76	2	0.1473
FH	-0.76	2	0.0447
ERBB2	-0.76	2	0.1857
PER2	-0.76	2	0.0893
SOX11	-0.76	2	0.5359
C1ORF29	-0.75	2	0.3309
CXCR3	-0.73	2	0.1473
G1P2	-0.73	2	0.5135
DUSP6	-0.73	2	0.8804
APRT	-0.72	1	NA
HLA-F	-0.72	2	0.0149
DUSP4	-0.7	2	0.7627
MX1	-0.7	2	0.2296
AR	-0.7	2	1
KIAA1324	-0.69	2	0.5458
HLA-DPB1	-0.68	2	0.2817
HIST1H2AK	-0.68	2	0.879
HLA-DQB1	-0.67	2	0.4936
NALP2	-0.66	2	0.2906
S100A9	-0.66	2	0.8808
EGR1	-0.66	2	0.1786
FY	-0.66	2	0.5534
ADA	-0.65	2	1
ATP5G2	-0.65	2	0.8762
AHNAK	-0.65	2	0.3116
PRPSAP1	-0.64	1	NA
DRG2	-0.63	2	0.8772
TRIP11	-0.62	2	0.8792
CP	-0.61	2	0.6372
IGLC2	-0.61	2	0.0429
TYMS	-0.61	2	0.8722
SNRPD2	-0.6	2	0.8792
FBN1	-0.6	2	1
FBP1	-0.6	2	1
HSPA14	-0.59	1	NA
CX3CL1	-0.59	2	0.5521
AIP	-0.59	2	1
RHOBTB2	-0.59	2	0.7115
IFI44	-0.58	2	0.4357
APOD	-0.58	2	1
ATP6V1B1	-0.58	2	0.3588
CDC20	-0.58	2	0.8401
PRSS11	-0.58	2	0.2929
HLA-G	-0.57	2	0.074
S100A6	-0.56	2	0.1701
C3	-0.56	2	0.8789
ALDH2	-0.55	2	1
FYB	-0.55	2	0.7852
PRRX2	-0.55	2	0.6518
PRKAR2B	-0.55	2	0.1444
AP3D1	-0.55	2	0.3411
ISG20	-0.55	2	0.5534
LMCD1	-0.55	2	0.0698
COL15A1	-0.54	1	NA
MYCBP2	-0.54	2	0.1788
AZGP1	-0.54	2	0.4679
BAG2	-0.53	2	0.8807
FGL2	-0.53	1	NA
PIM2	-0.53	2	0.7637
SPARCL1	-0.52	2	0.059
FZD4	-0.52	2	0.3858
VDR	-0.52	2	0.4856
DUSP5	-0.52	2	0.8677
IDH1	-0.52	2	0.3325
G10	-0.51	2	0.229
DCN	-0.5	1	NA
COX7A2	-0.5	2	0.2817
CNN3	-0.5	2	0.3448
HLA-DRA	-0.5	2	0.151
TMEM16A	-0.5	2	0.0911
NFIB	-0.5	2	0.4461
TLE1	-0.5	2	0.7168
DECR2	-0.5	2	0.2483
QPRT	-0.5	2	0.8817
HIST1H3A	-0.49	2	0.4346
DTYMK	-0.49	2	0.1642
DACT1	-0.49	2	0.1259
TMEM4	-0.49	2	0.2211
BZRP	-0.48	2	0.3874
COL9A3	-0.48	2	1
ID1	-0.48	2	0.7552
TNRC9	-0.48	2	0.8716
HMGCL	-0.48	2	1
RPS9	-0.48	2	0.6553
MRPS33	-0.47	2	0.2161
CD53	-0.47	2	0.2936
CXCL10	-0.47	2	0.8496
MGC3047	-0.47	2	1
LILRB3	-0.47	2	0.1701
RAI14	-0.47	2	0.0014
TRIM22	-0.47	1	NA
FLJ10349	-0.46	1	NA
FAU	-0.46	2	0.5904
TAP1	-0.46	2	0.7398
LY96	-0.46	2	0.0923
TRIM2	-0.46	1	NA
CYB5	-0.46	2	0.702
NPM1	-0.46	2	0.5472
