Gene Symbol	Gene Name	Ref Seq	SAM score	Average Ratio (MCB/DCB)
NM_173498	Hypothetical protein DKFZp434C0631	NM_173498	2.47	31
COL9A1	Collagen, type IX, alpha 1	NM_001851	3.97	25.7
PCOLCE2	Procollagen C-endopeptidase enhancer 2	NM_013363	4.27	24
IL8	Interleukin 8	NM_000584	2.22	23.1
COL9A3	Collagen, type IX, alpha 3	NM_001853	2.27	17.2
TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	NM_002546	2.23	10.5
ADM	Adrenomedullin	NM_001124	2.01	10.2
CDH19	Cadherin 19, type 2	NM_021153	2.44	10.1
FOXL2	Forkhead box L2	NM_023067	2.52	9.9
ANGPTL4	Angiopoietin-like 4	NM_016109	2.68	8.9
BCL2A1	BCL2-related protein A1	NM_004049	2.28	7.5
FOXC1	Forkhead box C1	NM_001453	2.86	7.2
A_23_P170719	Unknown	A_23_P170719	2.65	7.2
OCA2	Oculocutaneous albinism II (pink-eye dilution homolog, mouse)	NM_000275	2.21	7
S100B	S100 calcium binding protein, beta	NM_006272	2.82	7
G0S2	Putative lymphocyte G0/G1 switch gene	NM_015714	2.03	6.3
TEX12	Testis expressed sequence 12	NM_031275	2	6.2
CYP26B1	Cytochrome P450, family 26, subfamily B, polypeptide 1	NM_019885	2.43	6.1
VIM	Vimentin	NM_003380	2.07	5.8
IMP-2	IGF-II mRNA-binding protein 2	NM_006548	3.07	5.8
NOHMA	Hypothetical protein DKFZp434A1315	NM_032132	2.39	5.6
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	NM_000935	2.43	5.6
DAZL	Deleted in azoospermia-like	NM_001351	1.99	5.2
RIS1	Ras-induced senescence 1	NM_015444	2.41	5.2
ADORA2B	Adenosine A2b receptor	NM_000676	2.45	5.2
THC1858795	AP004355 NADH dehydrogenase subunit 2 {Lepisosteus spatula}, partial (5%)	THC1858795	1.92	5.1
HRH1	Histamine receptor H1	NM_000861	1.97	5.1
SRrp35	Serine-arginine repressor protein (35 kDa)	NM_080743	2.03	5
IL6	Interleukin 6 (interferon, beta 2)	NM_000600	1.94	4.9
PTX3	Pentaxin-related gene, rapidly induced by IL-1 beta	NM_002852	2.69	4.8
S100A3	S100 calcium binding protein A3	NM_002960	2.26	4.7
HMOX1	Heme oxygenase (decycling) 1	NM_002133	1.89	4.7
PLOD	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	NM_000302	2.62	4.7
FABP5	Fatty acid binding protein 5 (psoriasis-associated)	NM_001444	2.3	4.7
HAPLN1	Hyaluronan and proteoglycan link protein 1	NM_001884	1.92	4.6
EFNB1	Ephrin-B1	NM_004429	2.01	4.5
FOXD1	Forkhead box D1	NM_004472	2.39	4.5
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	NM_002467	2.41	4.5
FLJ12442	Hypothetical protein FLJ12442	NM_022908	1.99	4.4
FLNA	Filamin A, alpha (actin binding protein 280)	NM_001456	2	4.4
SOD2	Superoxide dismutase 2, mitochondrial	NM_000636	2.07	4.4
GAL	Galanin	NM_015973	2.07	4.4
AY358408	Clone DNA49141 LGLL338 (UNQ338)	AY358408	1.88	4.3
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	NM_006209	1.92	4.3
PDIP	Protein disulfide isomerase, pancreatic	NM_006849	1.93	4.3
HAS2	Hyaluronan synthase 2	NM_005328	2.18	4.3
C20orf42	Chromosome 20 open reading frame 42	NM_017671	1.97	4.3
UPP1	Uridine phosphorylase 1	BC047030	2.31	4.3
PLA2G4A	Phospholipase A2, group IVA (cytosolic, calcium-dependent)	NM_024420	2.21	4.3
SULT1B1	Sulfotransferase family, cytosolic, 1B, member 1	NM_014465	1.88	4.2
GPM6B	Glycoprotein M6B	NM_005278	2.08	4.2
LEPREL1	Myxoid liposarcoma associated protein 4 (MLAT4)	NM_018192	2.21	4
FLJ22329	Hypothetical protein FLJ22329	NM_024656	2.54	4
CTSZ	Cathepsin Z	NM_001336	2.38	4
GABRA5	Gamma-aminobutyric acid (GABA) A receptor, alpha 5	NM_000810	1.94	4
BMP2	Bone morphogenetic protein 2	NM_001200	2.3	4
IMP-3	IGF-II mRNA-binding protein 3	NM_006547	2	4
SRD5A1	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	NM_001047	2.21	4
DRCTNNB1A	Down-regulated by Ctnnb1, a	NM_032581	2.65	3.9
MGC16291	Hypothetical protein MGC16291	NM_032770	2.17	3.8
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	NM_005194	2	3.8
TNFRSF12A	Tumor necrosis factor receptor superfamily, member 12A	NM_016639	2.06	3.8
CSPG4	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	NM_001897	2.11	3.8
CXX1	CAAX box 1	NM_003928	1.89	3.8
ARNTL2	Cycle-like factor CLIF	AF256215	2.1	3.7
PLAGL1	Pleiomorphic adenoma gene-like 1	NM_002656	2.34	3.7
THC1901508	D87957 protein involved in sexual development {Homo sapiens}, partial (72%)	THC1901508	2.09	3.5
FLJ13391	Hypothetical protein FLJ13391	NM_032181	1.91	3.5
ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1),	NM_000201	2.03	3.4
NMT2	N-myristoyltransferase 2	NM_004808	1.91	3.3
IL1R2	Interleukin 1 receptor, type II	NM_004633	1.94	3.3
C20orf41	Chromosome 20 open reading frame 41	NM_032957	1.91	3.3
COL27A1	cDNA FLJ11895 fis, clone HEMBA1007301, weakly similar to collagen alpha 1 (III) chain	AK021957	2.1	3.2
FJX1	Four jointed box 1 (Drosophila)	NM_014344	1.89	3.2
