Gene Name	Gene Symbol	Gene Function	Fold Change
Adiponectin, C1Q and collagen domain containing	Adipoq	Cardiovascular, homeostasis	3.1
Chemokine (C-C motif) ligand 2	Ccl2	Chemotaxis, immune response	2.8
Secreted frizzled-related sequence protein 1	Sfrp1	Transmemb. receptor activity	2.5
Metallothionein 2	Mt2	Binds metal ions	1.8
Gap junction membrane channel protein alpha 1	Gja1	Intercellular channel	1.1
Protein phosphatase 2A	Ppp2r2a	Intrinsic catalyst activity	1
Early growth response 2	Egr2	DNA and metal ion binding	1.2
Metallothionein 1	Mt1	Metal ion binding	1.3
BMP-binding endothelial regulator	Bmper	Neg regulation of BMP pathway	1
RAB2	Rab2	Member Ras oncogene family	1
ADP-ribosylation factor 4	Arf4	GTP binding	1
Cell division cycle 42 homolog	Cdc42	GTP binding	1
CD47 antigen	CD47	Integrin-assoc. signal transducer	1
Tyrosine 3-monooxygenase activation protein	Ywahz	Brain signal transduction	1
Integrin beta 1	Itgb1	Fibronectin receptor beta	1.1
Integrin linked kinase	Ilk	ATP binding, kinase activity	-1
Real guanine nucleotide dissociation stimulator-like 2	RgI2		-1.1
Regulator of G-protein signaling 19	Rgs19	Neg regulation of signal transd.	-1.1
Reelin	Reln	Axon guidance, brain dev.	-1.2
Conserved helix-loop-helix ubiquitous kinase	Chuk	Morphogen. of epithelial sheet	-1.1
MKIAA1154 protein			-1.4
Diacylglycerol kinase zeta	Dgkz	Protein kinase C activation	-1.1
Phospholipase D2	Pld2	Catalytic activity	-1.2
PTK2 protein tyrosine kinase 2	Ptk2	Angiogenesis, blood vessel dev.	-1.7
5 days embryo whole body cDNA	Bmp4	Bone	-1.2
Deltex 2 homolog	Dtx2	Notch signaling pathway	-1.3
G protein-coupled receptor, family C, group 5, memb C	Gprc5C	Signal transduction	-1.4
Disheveled, dsh homolog 1	Dvl1	Dendrite morphogenesis	-1.2
Angiotensin receptor-like 1	Agtrl1	Signal transduction	-1.4
RAB2B	Rab2b	ER to golgi and protein transprt.	-1.1
Intersectin 1	Itsn1	Endocytosis, intracellular signal	-1.5
Ras and Rab interactor 1	Rin1	Endocytosis, intracellular signal	-1.4
Tripartite motif protein 9	Trim9	Synaptic vesicle exocytosis	-2.2
Casitas B-lineage lymphoma	Cbl	Ca ion binding, ligase activity	-4
