AceGene ID number	GenBank accession number	Cy3/Cy5 ratio	Cy5/Cy3 ratio	Gene product information
AGmmB251112	D88539	8.621	4.149	Synaptonemal complex protein-1 (SCP-1)
AGmmA191303	NM_026492	7.941	3.147	Synovial sarcoma X member B breakpoint 1 (Ssxb1)
AGmmA150905	AF305427	6.766	4.115	cAMP-dependent protein kinase regulatory subunit
AGmmB230902	X96604	6.061	3.968	Ott protein (Ott)
AGmmB120804	NM_010021	5.917	5.319	Deleted in azoospermia-like (Dazl)
AGmmB180322	NM_026386	5.128	1.972	Sorting nexin 2 (Snx2)
AGmmB240716	X62581	4.219	2.625	Ubiquitin activating enzyme E1(Sby)
AGmmA161108	NM_031385	4.115	4.028	Testis expressed gene 18 (Tex18)
AGmmA220923	NM_008443	4.069	2.191	Kinesin family member 3a (Kif3a)
AGmmB221318	AK018209	3.846	2.74	Unknown protein
AGmmA121001	NM_031493	3.768	2.325	X-linked lymphocyte-regulated 5 (Xlr5)
AGmmA140316	NM_029203	3.766	2.046	Unknown protein
AGmmA081310	AB042432	3.681	1.529	Mitochondrial cytochrome c oxidase III (mt-Co3)
AGmmB180512	AK004287	3.65	1.698	Alkaline phytoceramidase
AGmmA261418	NM_018855	3.514	2.703	Growth arrest specific 8 (Gas8)
AGmmA111022	NM_019660	3.501	2.038	c-myc binding protein, AMY-1
AGmmA110923	NM_007423	3.496	2.254	Alpha fetoprotein
AGmmB261617	AB033700	3.425	2.703	Cytochrome b
AGmmA221515	NM_012013	3.405	1.791	Factor in the germ line alpha (Figla)
AGmmA150320	AK012852	3.361	2.59	Unknown protein, MADP-1
AGmmA121003	AK002387	3.283	2.204	RING finger containing protein
AGmmB240601	BC025099	3.236	4.016	Tudor domain containing 7
AGmmA260809	AK003665	3.235	2.046	Unknown protein
AGmmA251319	NM_026082	3.215	2.613	Dedicator of cytokinesis
AGmmA130211	AK013965	3.21	1.915	Sui1 homolog
AGmmA240923	NM_031386	3.183	1.776	Testis expressed gene 14 (Tex14)
AGmmB181201	NM_009615	3.165	2.262	A disintegrin and metalloprotease domain 17 (Adam17), TACE
AGmmA150210	NM_013932	3.164	1.806	Dead box polypeptide 25 (Ddx25)
AGmmA110707	AF285580	3.143	2.362	Serine/threonine kinase 31 (Stk31)
AGmmA231523	AK003584	3.021	2.309	Zinc finger protein, Zinc 313
AGmmB241019	AK012236	3.021	2.336	Unknown protein, Ldlc
AGmmA171109	NM_011353	2.999	2.192	Small EDRK-rich factor1 (Serf1)
AGmmA041319	NM_011670	2.919	2.146	Ubiquitin carboxy-terminal hydrolase L1 (UCH-L1)
AGmmB230815	AK008529	2.915	2.786	Unknown protein
AGmmB131422	NM_025777	2.89	1.712	Numb-interacting protein
AGmmA100101	NM_021606	2.858	2.142	NIMA-related expressed kinase 6
AGmmB220923	X94344	2.841	1.6	Neuron-specific RNA binding protein
AGmmB050106	NM_134063	2.833	1.934	Rab-associated protein
AGmmB211614	AF213386	2.755	1.653	ATP-binding cassette protein, Abcc8
AGmmA151607	AJ242720	2.732	1.911	ActA-associated protein
AGmmB100410	NM_009735	2.725	2.062	Beta-2 microglobulin
AGmmA100519	NM_009174	2.724	1.707	Seven in absentia 2 (Siah2)
AGmmA071315	AK010725	2.712	1.934	Unknown protein
AGmmB131017	NM_021486	2.618	1.984	Beta-carotene 15, 150-dioxygenase 1
AGmmA210822	AK011889	2.609	2.013	Unknown protein, 0-44
AGmmB070105	NM_019979	2.584	1.89	Selenoprotein K
AGmmA190218	NM_026319	2.563	1.719	Capillary morphogenesis gene 1 (CMG-1)
AGmmA091424	NM_026160	2.529	1.77	Microtubule-associated protein 1 light chain 3 beta
AGmmA241103	NM_019639	2.479	1.811	Ubiquitin C
AGmmA060405	NM_009458	2.468	1.936	Ubiquitin-conjugating enzyme E2 (HR6B)
AGmmA020911	NM_007919	2.421	1.987	Elastase 2
AGmmA231223	AK003649	2.418	1.548	1-AGP acyltransferase 5
AGmmB130914	L29552	2.387	1.678	Sex determining protein (Sry)
AGmmA010713	NM_010343	2.378	2.38	Glutathione peroxidase 5
AGmmA200822	X58472	2.375	2.363	Zinc finger protein, KIN17
AGmmA021118	NM_133198	2.345	2.239	Glycogen phosphorylase
AGmmA170409	NM_025278	2.345	1.771	Guanine nucleotide binding protein gamma 12
AGmmA200103	NM_019551	2.335	1.822	TRAF and TNF receptor associated protein
AGmmA170205	NM_010801	2.318	1.63	Myeloid leukemia factor 1
AGmmA080615	NM_031261	2.316	1.817	Ferritin heavy polypeptide-like 17 (Fthl17)
AGmmA170622	NM_008298	2.316	1.714	DnaJ (Hsp40) homolog, subfamily A, member 1
AGmmB241017	AK019286	2.283	2.165	Unknown protein with WD40 repeat
AGmmA170918	NM_028958	2.276	1.573	TAF7-like RNA polymerase II (TAF7L)
AGmmA191418	NM_008708	2.274	1.761	N-myristoyltransferase 2
AGmmB050811	AF367711	2.227	2.525	FK506 binding protein 6
AGmmA231420	AK017818	2.212	1.972	Hypothetical GTP-binding protein
AGmmA020224	AK020067	2.2	1.618	Unknown protein
AGmmA181111	NM_020619	2.199	1.661	Glucosidase 1
AGmmB210315	AK008059	2.16	1.901	Unknown protein
AGmmA260622	AK005675	2.111	1.541	Unknown protein
AGmmB140611	NM_011847	2.075	1.57	DnaJ (Hsp40) homolog, subfamily B, member 6
AGmmA030302	NM_008929	2.017	1.613	DnaJ (Hsp40) homolog, subfamily C, member 3
AGmmB110205	BC013499	2.012	1.919	Unknown protein
AGmmB011016	AF303453	1.916	2.342	Gag protein
AGmmB231513	AF020311	1.866	2.198	Proline-rich protein 7
AGmmB071413	AK007498	1.795	2.083	Unknown protein
AGmmA040314	AF227194	1.658	2.038	Testicular zinc finger protein TZF-L
AGmmB050109	BC021875	1.647	2.008	Strawberry notch homolog 1
AGmmB021208	NM_019998	1.642	2.062	Alpha1, 3 mannosyltransferase
