Gene name	Symbol	Gene ID	Function	Category	Fold-change G1P1 versus G0P0Lewis	Fold-change G1P1 versus G0P0 WF	Fold-change G1P1 versus G0P0 F344	Fold-change G1P1 versus G0P0 Cop	Fold-change G1P1 versus G0P0 Median
Immunoglobulin heavy chain	Igha	314487	Immunoglobulin	Immune	39.4	25.4	4.5	6.9	25.4
Casein ß	Csn2	29173	Milk protein	Differentiation	8	5.2	1.9	1.5	5.2
IgM light chain		287965	Immunoglobulin	Immune	2.5	3.8	1.8	1.6	2.5
Matrix metalloproteinase 12	Mmp12	117033	Proteolysis	ECM/Immune	2.6	1.4	2	1.3	2
Casein	Csng	114595	Milk protein	Differentiation	3.1	1.9	1.2	0.9	1.9
Fatty acid synthase	Fasn	50671	Fatty acid biosynthesis	Metabolism/differentiation	2	1.6	1.7	0.9	1.7
Cytochrome P450, family 4, subfamily b,1	Cyp4b1	24307	Monooxygenase activity	Metabolism	1.6	1.5	1.2	1.2	1.5
Carbonic anhydrase 2	Ca2	54231	Carbon dioxide hydration	Metabolism	1.5	1.5	1.4	1.1	1.5
Ig lambda-1 chain C region		363828	Immunoglobulin	Immune	1.5	1.4	1.4	1.3	1.4
Malic enzyme 1	Me1	24552	Pyruvate synthesis	Metabolism	1.3	1.4	1.4	1.1	1.4
Insulin-like growth factor binding protein 5	Igfbp5	25285	Igf-I-binding	Growth factor/ECM	2.4	1.4	0.9	2.7	1.4
Lipopolysaccharide binding protein	Lbp	29469	Antibacterial	Immune	2.1	1.3	1.4	2	1.4
Polymeric immunoglobulin receptor	Pigr	25046	Trancytosis	Immune	1.7	1.4	1.2	1.1	1.4
Transforming growth factor, ß3	Tgfb3	25717	Cell growth/proliferation	Tgf-ß	1.5	1.3	1.2	1.4	1.3
Aquaporin 5	Aqp5	25241	Water transport	Transporter	1.3	1.7	1.2	1.5	1.3
Phosphodiesterase 4B	Pde4b	24626	Cyclic AMP phoshodiesterase	Signal transduction	1.3	1.4	1	1.4	1.3
Thioesterase domain containing 1	Thedc1	64669	Fatty acid biosynthesis	Metabolism/differentiation	1.9	1.2	1.3	1.5	1.3
Transferrin	Tf	24825	Iron transport	Transport/differentiation	1.4	1.2	1.3	1.5	1.3
Ceruloplasmin	Cp	24268	Copper transport	Transport/differentiation	1.3	1	1.2	2.2	1.2
Similar to death receptor 6	Tnfrsf21	316256	Apoptosis	Signal transduction	1.3	1	1.2	1.3	1.2
Aldolase C, fructose-biphosphate	Aldoc	24191	Fructose metabolism	Metabolism	1.2	1.2	1.1	1.3	1.2
Lipocalin 2	Lcn2	170496	Iron binding/antibacterial	Immune	1.3	1.1	1.2	1.4	1.2
Solute carrier family 3, member 2	Slc3a2	50567	Amino acid transporter	Transporter	1.2	1.1	1.2	1.3	1.2
