Rank	Fold difference of geom means (control/transfected cell lines)	Probe set	Gene symbol	Description
1	59.88	1453275_at	2310002L13Rik	RIKEN cDNA 2310002L13 gene
2	45.37	1422011_s_at	Xlr /// 3830403N18Rik	X-linked lymphocyte-regulated complex /// RIKEN cDNA 3830403N18 gene
3	35.231	1440557_at	Ipw	imprinted gene in the Prader-Willi syndrome region
4	32.555	1426181_a_at	Il24	interleukin 24
5	18.132	1426615_s_at	Ndrg4	N-myc downstream regulated gene 4
6	16.046	1436188_a_at	Ndrg4	N-myc downstream regulated gene 4
7	14.663	1456326_at	Gm784	gene model 784, (NCBI)
8	13.938	1450871_a_at	Bcat1	branched chain aminotransferase 1, cytosolic
9	12.981	1419082_at	Serpinb2	serine (or cysteine) proteinase inhibitor, clade B, member 2
10	12.742	1451791_at	Tfpi	tissue factor pathway inhibitor
11	12.488	1426851_a_at	Nov	nephroblastoma overexpressed gene
12	12.135	1420310_at
13	11.476	1426852_x_at	Nov	nephroblastoma overexpressed gene
14	11.333	1452367_at	Coro2a	coronin, actin binding protein 2A
15	11.26	1421979_at	Phex	phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets)
16	10.722	1416295_a_at	Il2rg	interleukin 2 receptor, gamma chain
17	10.426	1443653_at	D930038M13Rik	RIKEN cDNA D930038M13 gene
18	10.065	1424339_at	Oasl1	2-5 oligoadenylate synthetase-like 1
19	9.711	1451790_a_at	Tfpi	tissue factor pathway inhibitor
20	9.565	1452679_at	2410129E14Rik	RIKEN cDNA 2410129E14 gene
21	9.376	1417267_s_at	Fkbp11	FK506 binding protein 11
22	9.339	1421134_at	Areg	amphiregulin
23	9.03	1416368_at	Gsta4	glutathione S-transferase, alpha 4
24	9.021	1426074_at	LOC434536	LOC434536
25	8.211	1416203_at	Aqp1	aquaporin 1
26	7.553	1436199_at	Trim14	Tripartite motif-containing 14
27	7.126	1425113_x_at		PREDICTED: Mus musculus LOC433960 (LOC433960), mRNA
28	7.122	1416296_at	Il2rg	interleukin 2 receptor, gamma chain
29	7	1449500_at	Serpinb7	serine (or cysteine) proteinase inhibitor, clade B, member 7
30	6.94	1418930_at	Cxcl10	chemokine (C-X-C motif) ligand 10
31	6.91	1460600_at	LOC245350	hypothetical LOC245350
32	6.843	1452432_at	Tfpi	tissue factor pathway inhibitor
33	6.766	1424131_at	Col6a3	procollagen, type VI, alpha 3
34	6.705	1426061_x_at	Cul4a	Cullin 4A
