Rank in PAM output	Gene symbol	Gene name	Function	Status
1	COL5A2	collagen, type V, alpha2	Extracellular matrix	Overexpressed genes
4	COL1A1	collagen, type I, alpha1	Extracellular matrix	Overexpressed genes
9	COL3A1	collagen, type III, alpha1	Extracellular matrix	Overexpressed genes
14	COL1A2	collagen, type I, alpha2	Extracellular matrix	Overexpressed genes
18	TGFBI	transforming growth factor ß induced, 68 kDa	Extracellular matrix	Overexpressed genes
19	OSF-2	periostin, osteoblast-specific factor	Extracellular matrix	Overexpressed genes
10	LGALS1	lectin, galactoside binding, soluble, 1	Cytoskeletal/cell adhesion	Overexpressed genes
22	SPARC	SPARC-like 1	Cytoskeletal/cell adhesion	Overexpressed genes
27	CSPG2	chondroitin sulfate proteoglycan 2	Cytoskeletal/cell adhesion	Overexpressed genes
37	VIM	vimentin	Cytoskeletal/cell adhesion	Overexpressed genes
38	TAGLN	transgelin	Cytoskeletal/cell adhesion	Overexpressed genes
45	KRT15	keratin 15	Cytoskeletal/cell adhesion	Overexpressed genes
46	FN1	fibronectin 1	Cytoskeletal/cell adhesion	Overexpressed genes
5	RPLP1	ribosomal protein, large, P1	Protein synthesis/degradation	Overexpressed genes
6	RPS23	ribosomal protein S23	Protein synthesis/degradation	Overexpressed genes
23	RPL37	ribosomal protein L37	Protein synthesis/degradation	Overexpressed genes
29	RPS26	ribosomal protein S26	Protein synthesis/degradation	Overexpressed genes
20	CSTB	cystatin B	Protein synthesis/degradation	Overexpressed genes
33	CTSL	cathepsin L	Protein synthesis/degradation	Overexpressed genes
13	S100A10	S100 calcium binding protein A10	Calcium	Overexpressed genes
17	S100A11	S100 calcium binding protein A11	Calcium	Overexpressed genes
35	S100A4	S100 calcium binding protein A4	Calcium	Overexpressed genes
39	S100A2	S100 calcium binding protein A2	Calcium	Overexpressed genes
15	HSPA8	heat shock 70 kDa protein 8	Chaperones	Overexpressed genes
28	CEBPB	CCAAT/enhancer binding protein, ß	Transcription/translation	Overexpressed genes
43	SUI1	putative translation initiation factor	Transcription/translation	Overexpressed genes
3	GAPD	glyceraldehyde-3-phosphate dehydrogenase	Enzymes, cellular metabolism	Overexpressed genes
11	GPI	glucose phosphate isomerase	Enzymes, cellular metabolism	Overexpressed genes
25	PGK1	phosphoglycerate kinase 1	Enzymes, cellular metabolism	Overexpressed genes
26	TPI1	triosephosphate isomerase 1	Enzymes, cellular metabolism	Overexpressed genes
36	LDHB	lactate dehydrogenase B	Enzymes, cellular metabolism	Overexpressed genes
7	H2AFZ	H2A histone family, member Z	Other	Overexpressed genes
34	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	Other	Overexpressed genes
42	PLP2	proteolipid protein 2	Other	Overexpressed genes
49	RAB31	RAB31, member RAS oncogene family	Other	Overexpressed genes
2	HLA-B	MHC, class I, B	Other	Underexpressed genes
8	OAZ1	ornithine decarboxylase antizyme 1	Other	Underexpressed genes
12	JUND	jun D proto-oncogene	Other	Underexpressed genes
16	USP11	ubiquitin specific protease 11	Other	Underexpressed genes
21	KIAA0220	KIAA0220-like protein	Other	Underexpressed genes
24	RPS8	ribosomal protein S8	Other	Underexpressed genes
30	PTGDS	prostaglandin D2 synthase 21 kDa	Other	Underexpressed genes
31	CST3	cystatin C	Other	Underexpressed genes
32	MGP	matrix Gla protein	Other	Underexpressed genes
40	SLU7	step II splicing factor SLU7	Other	Underexpressed genes
41	CIRBP	cold inducible RNA binding protein	Other	Underexpressed genes
44	ARHA	ras homolog gene family, member A	Other	Underexpressed genes
47	HU-K5	monoglyceride lipase	Other	Underexpressed genes
48	CAP	adenylate cyclase–associated protein 1	Other	Underexpressed genes
50	SFTPD	surfactant, pulmonary-associated protein D	Other	Underexpressed genes
