Gene name	Symbol	Gene ID	Function	Category	Fold-change G1P1 versus G0P0 Lewis	Fold-change G1P1 versus G0P0 WF	Fold-change G1P1 versus G0P0 F344	Fold-change G1P1 versus G0P0 Cop	Fold-change G1P1 versus G0P0 Median
Periostin	Postn	361945	Transcription factor	Differentiation	1.9	2.1	1.8	2.2	2
Amphiregulin	Areg	29183	Epidermal growth factor receptor ligand	Growth factor	3.5	2.1	1.7	1.9	2
Cellular retinoic acid binding protein I	Crabp1	25061	Retinoic acid receptor signaling	Signal transduction	1.8	2.1	1.3	1.5	1.7
Insulin-like growth factor 1	Igf-I	24482	Cell proliferation/survival	Growth factor	1.7	1.2	1.5	1.5	1.5
Fibronectin 1	Fn1	25661	Integrin signaling	ECM	1.4	1.3	1.5	1.6	1.5
A kinase (PRKA) anchor protein (gravin) 12	Akap12	83425	Scaffolding protein	Signal transduction	1.2	1.6	1.6	1.3	1.4
Neuronatin	Nnat	94270	Protein transport		2	1.4	1.5	0.9	1.4
Glycosylation dependent cell adhesion molecule 1	Glycam1	25258	Selectin ligand	Differentiation	0.5	2.2	1.2	1.7	1.4
Secreted acidic cysteine rich glycoprotein	Sparc	24791	ECM Formation	ECM	1.6	1.1	1.4	1.4	1.4
Ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	84050	Lysophospholipase	Cell motility	2.1	1.4	1.4	1	1.4
Lectin, galactose binding, soluble 1	Lgals1	56646	Integrin signaling	ECM	1.5	1.2	1.4	1.4	1.4
Inhibitor of DNA binding 1, helix-loop-helix protein	Id1	25261	Transcriptional repression	Tgf-ß	1.4	1.4	1.4	1.1	1.4
Follistatin-like 1	Fstl1	79210			1.5	1.7	1.2	1.2	1.4
Phosphoserine aminotransferase 1	Psat1	293820	Serine biosynthesis	Metabolism	1.4	1.2	1.5	1.3	1.4
Lumican	Lum	81682	Proteoglycan	ECM	1.3	1.5	1.1	1.4	1.3
Melanocyte-specific gene 1 protein	Cited1	64466	Transcription factor	Signal transduction	1.4	1.9	1.2	1.3	1.3
Serine proteinase inhibitor, clade H, member 1	Serpinh1	29345	Procollagen binding	ECM	1.4	1.3	1.3	1.4	1.3
Sushi-repeat-containing protein	Sprx	64316			1.3	1.3	1.3	1.5	1.3
Carboxylesterase 3	Ces3	113902	Fatty acid metabolism	Metabolism	1.8	1.1	1.3	1.4	1.3
Cysteine rich protein 61	Cyr61	83476	Integrin signaling	ECM	1.1	1.3	1.3	1.6	1.3
Solute carrier family 1, member 3	Slc1a3	29483	Amino acid transporter	Transporter	1.4	1.3	1.3	1.1	1.3
Similar to RIKEN cDNA 6330406I15	RDG1307396	360757			1.6	1.2	1.3	1.3	1.3
Catalase	Cat	24248	Hydrogen peroxide reductase	ROS	1.7	1	1.4	1.2	1.3
Tropomyosin 1,	Tpm1	24851	Actin binding		1.1	1.3	1.3	1.3	1.3
Activity and neurotransmitter-induced early gene protein 4	Ania4	360341	CAM kinase	Kinase	1.5	1.2	1.2	1.3	1.3
Solute carrier family 11, member 2	Slc11a2	25715	Divalent metal ion transporter	Transporter	1.4	1	1.3	1.2	1.3
Inhibitor of DNA binding 3, helix-loop-helix protein	Id3	25585	Transcriptional repression	Tgf-ß	1.5	1.2	1.3	0.9	1.3
Solute carrier family 25 member 4	Slc25a4	85333	Nucleotide translocator	Transporter	1.3	1.3	1.2	1.3	1.3
Growth hormone receptor	Ghr	25235	Growth hormone signaling	Growth factor	2.1	1.1	1.2	1.3	1.3
Phosphoglycerate kinase 1	Pgk1	24644	Phosphoprotein glycolysis	Metabolism	1.6	1.2	1.3	1.2	1.3
Cytosolic cysteine dioxygenase 1	Cdo1	81718	Cysteine metabolism	Metabolism	1.5	1.2	1.2	1.3	1.3
Mast cell protease 1	Mcpt1	29265	Proteolysis	ECM	1.6	1.3	1.2	1.2	1.2
Collagen, type V, 2	Col5a2	85250	ECM structural protein	ECM	1	1.2	1.3	1.5	1.2
Carbonic anhydrase 3	Ca3	54232	Carbon metabolism	Metabolism	1.8	1.2	1.1	1.3	1.2
Tubulin, 1	Tuba1	64158	Microtubule component	Cell structure	1.5	1.2	1.2	1.2	1.2
Angiotensin II receptor, type 1	Agtr1A	24180	Angiotensin receptor	Signal transduction	1.3	1.2	1.2	1.3	1.2
Collagen, type 1, 1	Col1a1	29393	ECM structural protein	ECM	1.1	1.2	1.2	1.8	1.2
Annexin A5	Anxa5	25673	Calcium ion binding		1.6	1.2	1.2	1.2	1.2
Thymosin, ß10	Tmsb10	50665	Actin binding		1.3	1.2	1.2	1	1.2
Tubulin, ß5	Tubb5	29214	Microtubule component	Cell structure	1.1	1.3	1.2	1.2	1.2
Histone deacetylase 2	Hdac2	84577	Chromatin rearrangement		1.2	1.2	1.3	1.1	1.2
Lectin, galactose binding, soluble 7	Lgals7	29518	Galactose binding		1.1	1.8	1.2	1.2	1.2
CD74 antigen	Cd74	25599		Immune	1.2	1.2	1	1.3	1.2
Proteasome 26S subunit, ATPase 2	Psmc2	25581	Protein degradation		1.3	1.1	1.2	1.1	1.2
MORF-related gene X	Morf412	317413			1.4	1.2	1.1	1.2	1.2
