Gene symbol	Description	Down-regulation upon p53 inactivation at the selected stage of the transformation 1	Down-regulation upon p53 inactivation at the selected stage of the transformation 2	Down-regulation upon p53 inactivation at the selected stage of the transformation 3	Down-regulation upon p53 inactivation at the selected stage of the transformation 4	Down-regulation upon p53 inactivation at the selected stage of the transformation 5	Down-regulation upon p53 inactivation at the selected stage of the transformation 6	Sum score
CCNG1	Cyclin G1	1	1	1	1	1	1	6
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1	1	1	1	1	1	6
PA26	p53-regulated PA26 nuclear protein	1	1	1	1	1	1	6
DDB2	Damage-specific DNA binding protein 2, 48 kDa	1	1	1	1	1	1	6
FDXR	Ferridoxin reductase	1	1	1	1	1	1	6
WIG1	p53 target zinc finger protein	1	1	1	1	1	1	6
TNFRSF6	TNF receptor superfamily, member 6 (CD95, Fas antigen)	1	1	0	1	1	1	5
C12orf5	Chromosome 12 open reading frame 5	1	1	1	1	1	0	5
ANXA4	Annexin A4	1	1	0	1	0	1	4
TNFRSF10B	TNF receptor superfamily, member 10B (KILLER/DR5)	1	1	1	1	0	0	4
APLP1	Amyloid � (A4) precursor-like protein	0	1	1	1	1	0	4
GAMT	Guanidinoacetate N-methyltransferase	1	0	1	1	0	1	4
COL11A1	Collagen, type XI, ?1	1	1	0	1	1	0	4
GPR51	G protein-coupled receptor 51	1	1	1	1	0	0	4
PDE5A	Phosphodiesterase 5A, cyclic guanosine 3,5-monophosphate specific	1	0	1	1	0	1	4
PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	0	1	1	0	1	1	4
TAGLN	Transgelin	0	0	1	0	1	1	3
ACTA2	Actin, ?2, smooth muscle, aorta	1	0	0	0	1	1	3
MFGE8	Milk fat globule-epidermal growth factor 8 protein	1	0	1	1	0	0	3
OSF-2	Osteoblast-specific factor 2 (fasciclin I-like)	1	0	0	0	1	1	3
SERPINE1	Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	0	0	1	1	1	0	3
NET-6	Transmembrane 4 superfamily member tetraspan NET-6	0	0	1	1	1	0	3
CUL4B	Cullin 4B	0	0	1	1	0	1	3
RNASE6PL	RNase 6 precursor	0	0	1	1	1	0	3
NLK	Nemo-like kinase	0	0	1	1	0	1	3
PSG5	Pregnancy-specific �1-glycoprotein 5	1	0	0	0	1	1	3
UGCG	UDP-glucose ceramide glucosyltransferase	0	0	0	1	1	1	3
THBS3	Thrombospondin 3	1	0	0	1	0	1	3
TM7SF2	Transmembrane 7 superfamily member 2	1	0	0	1	0	1	3
COL4A5	Collagen, type IV, ?5 (Alport syndrome)	0	1	0	0	1	1	3
COPZ2	Coatomer protein complex, subunit 2	1	1	0	1	0	0	3
CYP24	Cytochrome P450, subfamily XXIV (vitamin D 24-hydroxylase)	0	1	0	0	1	1	3
APG-1	Heat shock protein (hsp110 family)	0	1	1	1	0	0	3
RGS20	Regulator of G-protein signaling 20	1	1	0	0	0	1	3
TNFSF7	TNF (ligand) superfamily, member 7	1	0	0	0	1	1	3
KCNN2	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	1	0	1	1	0	0	3
PRSC	Corin	1	1	0	1	0	0	3
TNFRSF10D	TNF receptor superfamily, member 10D, decoy with truncated death domain	1	0	1	1	0	0	3
