Gene no.	Name	Unigene ID	Fold change	Related to
1	Interleukin 8 (IL-8)	Hs.624	45.59	Cytokine chemokine
2	Coagulation factor III (thromboplastin, tissue factor) (F3)	Hs.62192	24.57	Others
3	FBJ murine osteosarcoma viral oncogene homolog B (FOSB)	Hs.75678	19.13	Others
4	Chemokine (C-X-C motif) ligand 2 (CXCL2)	Hs.75765	14.91	Cytokine chemokine
5	Tumor necrosis factor (TNF superfamily, member 2) (TNF)	Hs.241570	13.72	Cytokine chemokine
6	Early growth response 2 (Krox-20  [Drosophila] homolog) (EGR2)	Hs.1395	12.42	Others
7	Chemokine (C-C motif) ligand 3–like, centromeric (MIP-1alpha)	Hs.514107	11.74	Cytokine chemokine
8	Chemokine (C-C motif) ligand 2 (CCL2)	Hs.303649	10.59	Cytokine chemokine
9	Zinc finger protein 36 C3H type homolog (mouse) (ZFP36)	Hs.534052	9.034	Others
10	Dual specificity phosphatase 2 (DUSP2)	Hs.1183	7.661	Signal transduction
11	Interleukin 1-alpha (IL-1alpha)	Hs.1722	6.269	Cytokine chemokine
12	Chemokine (C-X-C motif) ligand 3 (CXCL3)	Hs.89690	6.121	Cytokine chemokine
13	Chemokine (C-X-C motif) ligand 1 (melanoma growth-stimulating activity, alpha) (CXCL1)	Hs.789	6.107	Cytokine chemokine
14	Tumor necrosis factor-alpha-induced protein 3 (TNFAIP3)	Hs.211600	6.034	Apoptosis
15	Interleukin 1, . (IL-1 beta)	Hs.126256	6.004	Cytokine chemokine
16	BTG family, member 2 (BTG2)	Hs.75462	5.904	Transcription factor
17	Prostaglandin-endoperoxide synthase 2	Hs.196384	5.753	Others
18	V-jun sarcoma virus 17 oncogene homolog (avian) (JUN)	Hs.525704	5.284	Transcription factor
19	Nuclear receptor subfamily 4, group A, member 2 (NR4A2)	Hs.165258	5.061	Transcription factor
20	Nuclear factor of kappa-light polypeptide gene enhancer in B-cells inhibitor, alpha (NFKBIA)	Hs.81328	4.943	Apoptosis
21	V-fos FBJ murine osteosarcoma viral oncogene homolog (FOS)	Hs.25647	4.135	Others
22	Hook homolog 1 (Drosophila) (HOOK1)	Hs.378836	3.953	Others
23	Dual specificity phosphatase 1 (DUSP1)	Hs.171695	3.745	Others
24	Protein phosphatase 1 regulatory (inhibitor) subunit 15A (PPP1R15A)	Hs.76556	3.697	Apoptosis
25	Early growth response 1 (EGR1)	Hs.326035	3.613	Transcription factor
26	Serum/glucocorticoid-regulated kinase (SGK)	Hs.296323	3.394	Others
27	Interleukin 6 (interferon, beta2) (IL-6)	Hs.512234	3.328	Cytokine chemokine
28	V-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian) (MAFF)	Hs.517617	3.223	Transcription factor
29	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily) (CD38)	Hs.479214	3.208	Others
30	Phosphodiesterase 4B, cAMP-specific (dunce homolog Drosophila phosphodiesterase E4) (PDE4A)	Hs.89901	3.17	Signal transduction
31	PQ loop repeat-containing 2 (PQLC2)	Hs.523036	3.157	Others
32	Hepatocyte growth factor (hepapoietin A, scatter factor) (HGF)	Hs.396530	3.152	Cytokine chemokine
33	Potassium inwardly-rectifying channel, subfamily J, member 2 (KCNJ2)	Hs.1547	3.122	Others
34	Paternally expressed 10 (PEG10)	Hs.147492	3.052	Others
35	Regulator of G-protein signaling 1 (RGS1)	Hs.75256	3.018	Signal transduction
36	Immediate early response 3 (IER3)	Hs.76095	3.004	Apoptosis
37	Carbonic anhydrase I (CAI)	Hs.23118	2.999	Others
38	Epstein-Barr virus-induced gene 2 (lymphocyte-specific G protein-coupled receptor) (EBI2)	Hs.784	2.972	Signal transduction
39	Activating transcription factor 3 (ATF3)	Hs.460	2.969	Transcription factor
40	Superoxide dismutase 2, mitochondrial (SOD2)	Hs.487046	2.961	Others
41	BCL2-related protein A1 (BCL2A1)	Hs.227817	2.873	Apoptosis
42	Hypothetical protein FLJ23231 (FLJ23231)	Hs.471918	2.846	Others
43	Baculoviral IAP repeat-containing 3 (BIRC3)	Hs.127799	2.819	Signal transduction
44	ADP-ribosylation factor-like 7 (ARL7)	Hs.111554	2.756	Signal transduction
45	EH domain-containing 1 (ED1)		2.737	Others
46	TCDD-inducible poly(ADP-ribose) polymerase (TIPAR2)	Hs.12813	2.705	Others
47	Early growth response 3 (EGR3)	Hs.534313	2.7	Transcription factor
48	Growth arrest and DNA damage–inducible, beta (GADD45B)	Hs.110571	2.572	Others
49	Triggering receptor expressed on myeloid cells 1 (TREM1)	Hs.283022	2.538	Signal transduction
50	Nucleoporin 160 kDa (NUP160)	Hs.372099	2.526	Others
