Image Clone ID	UniGene Cluster ID	UniGene Title
897781	Hs.242463	keratin 8
139354	Hs.15093	ESTs
809981	Hs.2706	glutathione peroxidase 4 (phospholipid hydroperoxidase)
841617	Hs.125078	Human mRNA for ornithine decarboxylase antizyme, ORF 1 and ORF 2
823940	Hs.178137	transducer of ERBB2, 1
29054	Hs.153961	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)
810057	Hs.1139	cold shock domain protein A
950682	Hs.99910	phosphofructokinase, platelet
26184	Hs.99910	phosphofructokinase, platelet
344109	Hs.78996	proliferating cell nuclear antigen
36775	Hs.75860	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit
341130	Hs.79362	retinoblastoma-like 2 (p130)
417124	Hs.73722	APEX nuclease (multifunctional DNA repair enzyme)
429135	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70-interacting protein)
44666	Hs.197345	thyroid autoantigen 70kD (Ku antigen)
340644	Hs.184908	integrin, beta 8
246194	Hs.125522	ESTs
51209	Hs.21537	protein phosphatase 1, catalytic subunit, beta isoform
949932	Hs.74497	nuclease sensitive element binding protein 1
784830	Hs.82043	D123 gene product
26082	Hs.73729	very low density lipoprotein receptor
46019	Hs.77152	minichromosome maintenance deficient (S. cerevisiae) 7
247818	Hs.239666	ESTs
214731	Hs.174174	KIAA0601 protein
236055	Hs.165998	DKFZP564M2423 protein
197176	Hs.56845	GDP dissociation inhibitor 2
566887	Hs.8123	chromobox homolog 3 (Drosophila HP1 gamma)
725680	Hs.61796	transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma)
823775	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
293104	Hs.172887	phytanoyl-CoA hydroxylase (Refsum disease)
46182	Hs.251871	CTP synthase
307843	Hs.91604	ESTs
366647	Hs.85155	butyrate response factor 1 (EGF-response factor 1)
212198	Hs.44585	tumor protein p53-binding protein, 2
42888	Hs.75117	interleukin enhancer binding factor 2, 45kD
38763	Hs.250595	S-phase response (cyclin-related)
366824	Hs.95577	cyclin-dependent kinase 4
840702	Hs.124027	SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein
564803	Hs.239	forkhead box M1
137638	Hs.108642	ESTs
73531	Hs.9908	nitrogen fixation cluster-like
32231	Hs.84753	KIAA0246 protein
274638	Hs.154868	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
234150	Hs.141727	myotubularin related protein 4
701481	Hs.926	myxovirus (influenza) resistance 2, homolog of murine
838568	Hs.74649	cytochrome c oxidase subunit VIc
31842	Hs.154073	UDP-galactose transporter related
666377	Hs.167558	zinc finger protein 161
50413	Hs.171900	armadillo repeat gene deletes in velocardiofacial syndrome
345645	Hs.1976	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
810551	Hs.89137	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
