ProbeID	CLID	NAME
AGI_HUM1_OLIGO_A_23_P251095	Hs.1023	pyruvate dehydrogenase (lipoamide) alpha 1
AGI_HUM1_OLIGO_A_23_P128174	Hs.103267	RAB3A interacting protein (rabin3)
AGI_HUM1_OLIGO_A_23_P44724	Hs.10526	cysteine and glycine-rich protein 2
AGI_HUM1_OLIGO_A_23_P32404	Hs.105434	interferon stimulated gene 20kDa
AGI_HUM1_OLIGO_A_23_P13524	Hs.108338	hypothetical protein DKFZp586C1924
AGI_HUM1_OLIGO_A_23_P15937	Hs.110741	MAD, mothers against decapentaplegic homolog 2 (Drosophila)
AGI_HUM1_OLIGO_A_23_P140817	Hs.112933	par-6 partitioning defective 6 homolog alpha (C.elegans)
AGI_HUM1_OLIGO_A_23_P169137	Hs.11342	ninjurin 1
AGI_HUM1_OLIGO_A_23_P85903	Hs.114408	toll-like receptor 5
AGI_HUM1_OLIGO_A_23_P255952	Hs.118483	myosin VI
AGI_HUM1_OLIGO_A_23_P152804	Hs.118638	non-metastatic cells 1, protein (NM23A) expressed in
AGI_HUM1_OLIGO_A_23_P14432	Hs.118722	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
AGI_HUM1_OLIGO_A_23_P45699	Hs.118962	far upstream element (FUSE) binding protein 1
AGI_HUM1_OLIGO_A_23_P101494	Hs.127826	erythropoietin receptor
AGI_HUM1_OLIGO_A_23_P35205	Hs.129319	Down syndrome critical region gene 1-like 2
AGI_HUM1_OLIGO_A_23_P150807	Hs.12953	PTPRF interacting protein, binding protein 2 (liprin beta 2)
AGI_HUM1_OLIGO_A_23_P136254	Hs.131380	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
AGI_HUM1_OLIGO_A_23_P147647	Hs.131380	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
AGI_HUM1_OLIGO_A_23_P53856	Hs.131727	hypothetical protein from BCRA2 region
AGI_HUM1_OLIGO_A_23_P110122	Hs.13291	cyclin G2
AGI_HUM1_OLIGO_A_23_P204059	Hs.132977	DKFZp564J157 protein
AGI_HUM1_OLIGO_A_23_P70938	Hs.13467	STARD3 N-terminal like
AGI_HUM1_OLIGO_A_23_P82499	Hs.137476	paternally expressed 10
AGI_HUM1_OLIGO_A_23_P146946	Hs.139389	cystatin E/M
AGI_HUM1_OLIGO_A_23_P92410	Hs.141125	caspase 3, apoptosis-related cysteine protease
AGI_HUM1_OLIGO_A_23_P42279	Hs.150833	complement component 4A
AGI_HUM1_OLIGO_A_23_P52058	Hs.151518	TAR (HIV) RNA binding protein 1
AGI_HUM1_OLIGO_A_23_P18559	Hs.153687	inositol polyphosphate-4-phosphatase, type II, 105kDa
AGI_HUM1_OLIGO_A_23_P12082	Hs.154138	chitinase 3-like 2
AGI_HUM1_OLIGO_A_23_P211007	Hs.155017	nuclear receptor interacting protein 1
AGI_HUM1_OLIGO_A_23_P256432	Hs.155079	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
AGI_HUM1_OLIGO_A_23_P128930	Hs.156171	proteasome (prosome, macropain) 26S subunit, ATPase, 6
AGI_HUM1_OLIGO_A_23_P138072	Hs.156324	protein kinase, cAMP-dependent, catalytic, beta
AGI_HUM1_OLIGO_A_23_P118834	Hs.156346	topoisomerase (DNA) II alpha 170kDa
AGI_HUM1_OLIGO_A_23_P147388	Hs.15711	kinesin family member 13B
AGI_HUM1_OLIGO_A_23_P95441	Hs.15711	kinesin family member 13B
AGI_HUM1_OLIGO_A_23_P8452	Hs.159142	lunatic fringe homolog (Drosophila)
AGI_HUM1_OLIGO_A_23_P256455	Hs.1608	replication protein A3, 14kDa
AGI_HUM1_OLIGO_A_23_P144249	Hs.16297	popeye domain containing 2
AGI_HUM1_OLIGO_A_23_P167017	Hs.16297	popeye domain containing 2
AGI_HUM1_OLIGO_A_23_P20045	Hs.164682	peroxisome biogenesis factor 1
AGI_HUM1_OLIGO_A_23_P309739	Hs.1657	estrogen receptor 1
AGI_HUM1_OLIGO_A_23_P253177	Hs.168913	serine/threonine kinase 24 (STE20 homolog, yeast)
AGI_HUM1_OLIGO_A_23_P142698	Hs.169910	KIAA0173 gene product
AGI_HUM1_OLIGO_A_23_P3402	Hs.169919	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
AGI_HUM1_OLIGO_A_23_P75056	Hs.169946	GATA binding protein 3
AGI_HUM1_OLIGO_A_23_P68488	Hs.170195	bone morphogenetic protein 7 (osteogenic protein 1)
AGI_HUM1_OLIGO_A_23_P65442	Hs.1706	interferon-stimulated transcription factor 3, gamma 48kDa
AGI_HUM1_OLIGO_A_23_P133424	Hs.171626	S-phase kinase-associated protein 1A (p19A)
AGI_HUM1_OLIGO_A_23_P256473	Hs.171921	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
AGI_HUM1_OLIGO_A_23_P115919	Hs.172887	phytanoyl-CoA hydroxylase (Refsum disease)
AGI_HUM1_OLIGO_A_23_P208049	Hs.173911	zinc finger protein 24 (KOX 17)
AGI_HUM1_OLIGO_A_23_P105553	Hs.17483	CD4 antigen (p55)
AGI_HUM1_OLIGO_A_23_P167328	Hs.174944	CD38 antigen (p45)
AGI_HUM1_OLIGO_A_23_P7873	Hs.179565	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
AGI_HUM1_OLIGO_A_23_P143184	Hs.179718	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
AGI_HUM1_OLIGO_A_23_P252118	Hs.180107	polymerase (DNA directed), beta
AGI_HUM1_OLIGO_A_23_P152516	Hs.180877	H3 histone, family 3B (H3.3B)
AGI_HUM1_OLIGO_A_23_P93629	Hs.183858	transcriptional intermediary factor 1
AGI_HUM1_OLIGO_A_23_P212617	Hs.185726	transferrin receptor (p90, CD71)
AGI_HUM1_OLIGO_A_23_P52031	Hs.1869	phosphoglucomutase 1
AGI_HUM1_OLIGO_A_23_P118543	Hs.187416	clathrin, heavy polypeptide (Hc)
AGI_HUM1_OLIGO_A_23_P49155	Hs.191842	cadherin 3, type 1, P-cadherin (placental)
AGI_HUM1_OLIGO_A_23_P57848	Hs.19236	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
AGI_HUM1_OLIGO_A_23_P207400	Hs.194143	breast cancer 1, early onset
AGI_HUM1_OLIGO_A_23_P206359	Hs.194657	cadherin 1, type 1, E-cadherin (epithelial)
AGI_HUM1_OLIGO_A_23_P146220	Hs.194726	BCL2-associated athanogene 4
AGI_HUM1_OLIGO_A_23_P108303	Hs.19561	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa
AGI_HUM1_OLIGO_A_23_P46306	Hs.196769	chromosome condensation 1
AGI_HUM1_OLIGO_A_23_P12343	Hs.2006	glutathione S-transferase M3 (brain)
AGI_HUM1_OLIGO_A_23_P210540	Hs.202494	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
AGI_HUM1_OLIGO_A_23_P16089	Hs.202672	DNA (cytosine-5-)-methyltransferase 1
AGI_HUM1_OLIGO_A_23_P27490	Hs.202672	DNA (cytosine-5-)-methyltransferase 1
AGI_HUM1_OLIGO_A_23_P166269	Hs.20415	family with sequence similarity 3, member B
AGI_HUM1_OLIGO_A_23_P251992	Hs.209846	LPS-responsive vesicle trafficking, beach and anchor containing
AGI_HUM1_OLIGO_A_23_P8834	Hs.212088	epoxide hydrolase 2, cytoplasmic
AGI_HUM1_OLIGO_A_23_P127014	Hs.214039	transcription factor 7-like 2 (T-cell specific, HMG-box)
AGI_HUM1_OLIGO_A_23_P149798	Hs.214039	transcription factor 7-like 2 (T-cell specific, HMG-box)
AGI_HUM1_OLIGO_A_23_P12874	Hs.215766	GTP binding protein 4
AGI_HUM1_OLIGO_A_23_P152415	Hs.222171	KIAA0182 protein
AGI_HUM1_OLIGO_A_23_P208801	Hs.2227	CCAAT/enhancer binding protein (C/EBP), gamma
AGI_HUM1_OLIGO_A_23_P52761	Hs.2256	matrix metalloproteinase 7 (matrilysin, uterine)
AGI_HUM1_OLIGO_A_23_P29257	Hs.226117	H1 histone family, member 0
AGI_HUM1_OLIGO_A_23_P26843	Hs.2316	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
AGI_HUM1_OLIGO_A_23_P112756	Hs.239370	activator of G-protein signaling 3
AGI_HUM1_OLIGO_A_23_P135542	Hs.239370	activator of G-protein signaling 3
AGI_HUM1_OLIGO_A_23_P140301	Hs.246240	proteasome (prosome, macropain) subunit, alpha type, 3
AGI_HUM1_OLIGO_A_23_P202978	Hs.2490	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
AGI_HUM1_OLIGO_A_23_P75568	Hs.2490	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
AGI_HUM1_OLIGO_A_23_P111452	Hs.249728	centaurin, gamma 3
AGI_HUM1_OLIGO_A_23_P131866	Hs.250822	serine/threonine kinase 6
AGI_HUM1_OLIGO_A_23_P58647	Hs.254321	catenin (cadherin-associated protein), alpha 1, 102kDa
AGI_HUM1_OLIGO_A_23_P71017	Hs.25640	claudin 3
AGI_HUM1_OLIGO_A_23_P252832	Hs.256697	histidine triad nucleotide binding protein 1
AGI_HUM1_OLIGO_A_23_P258862	Hs.257697	programmed cell death 4 (neoplastic transformation inhibitor)
AGI_HUM1_OLIGO_A_23_P163697	Hs.258326	B/K protein
AGI_HUM1_OLIGO_A_23_P127220	Hs.260720	J domain containing protein 1
AGI_HUM1_OLIGO_A_23_P134139	Hs.26770	fatty acid binding protein 7, brain
AGI_HUM1_OLIGO_A_23_P108394	Hs.268012	fatty-acid-Coenzyme A ligase, long-chain 3
AGI_HUM1_OLIGO_A_23_P254944	Hs.268573	glutathione S-transferase theta 1
AGI_HUM1_OLIGO_A_23_P104492	Hs.274230	3-phosphoadenosine 5-phosphosulfate synthase 2
AGI_HUM1_OLIGO_A_23_P250701	Hs.275999	protein kinase, lysine deficient 1
AGI_HUM1_OLIGO_A_23_P108200	Hs.27744	RAB3A, member RAS oncogene family
AGI_HUM1_OLIGO_A_23_P63402	Hs.278338	LGN protein
AGI_HUM1_OLIGO_A_23_P75523	Hs.278573	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)
AGI_HUM1_OLIGO_A_23_P92842	Hs.279582	GTP-binding protein Sara
AGI_HUM1_OLIGO_A_23_P40309	Hs.280378	small nuclear ribonucleoprotein polypeptide B
