Gene ID	Name
Mm.27291	Bystin-like (Bysl)
Mm.24816	Coag. factor II (thrombin) receptor
Mm.6700	Euk. translation initiation factor 4E bind. prot. 1 (Eif4ebp1)
Mm.18618	Glycine C-acetyltransferase
Mm.28124	Growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regen.)
Mm.1314	Novel mRNA from renin-expressing kidney tumor cell line
Mm.21281	Ring finger protein 4 (Rnf4)
Mm.18739	RNA binding protein
Mm.44552	Thioredoxin reductase 1
Mm.19169	Thioredoxin-like (32 kDa)
Mm.27063	Thyroid hormone receptor interactor 6 (Trip6)
Mm.2265	U1 small nuclear ribonucleoprotein 1C (Snrp1c)
Mm.13145	Uridine monophosphate synthetase
Mm.29200	Adult male tongue cDNA, RIKEN 2310006I24
Mm.18230	BRAIN CDNA, CLONE MNCB-2755
Mm.21118	Clone IMAGE:3491909
Mm.22269	Expressed sequence AA420417
Mm.28291	Expressed sequence C76439
Mm.1800	ESTs
Mm.21428	ES cells cDNA, RIKEN 2410091N08
Mm.17403	RIKEN cDNA 1200014I03 gene
Mm.28897	RIKEN cDNA 2010317E03
Mm.29631	Similar to downregulated in metastasis
Mm.27695	Similar to eukaryotic translation initiation factor 3, subunit 1
Mm.21070	Similar to glutamate rich WD repeat protein GRWD
Mm.10665	Similar to hypothetical protein FLJ14728
Mm.28777	Unknown (protein for MGC:6362)
