Affymetrix Gene ID	Entrez Gene Name	Full Gene Name	Contrast Analysis	2 Month A	2 Month B	6 Month A	6 Month B	12 Month A	12 Month B	21 Month A	21 Month B
1439364_a_at	Mmp2	matrix metalloproteinase 2	28.15	9.03	9.24	7.96	8.77	7.97	8.27	6.05	5.92
1419113_at	Ap1g2	adaptor protein complex AP-1, gamma 2 subunit	24.35	10.46	10.52	9.8	9.71	8.57	9.67	7.79	7.89
1416136_at	Mmp2	matrix metalloproteinase 2	23.6	8.41	8.68	7.04	8.52	7.23	7.35	5.52	5.41
1419384_at	Prkcabp	protein kinase C, alpha binding protein	23.56	8.85	8.91	8.55	9	7.48	7.77	6.83	6.84
1425042_s_at	4930563C04Rik	RIKEN cDNA 4930563C04 gene	22.82	7.87	7.96	7.41	7.34	6.54	7.5	5.7	5.57
1423703_at	Ppan	peter pan homolog (Drosophila)	22.78	9.27	9.32	10.16	9.35	7.88	9.07	7.6	7.58
1436781_at	Man2b1	mannosidase 2, alpha B1	22.69	8.96	9.19	8.35	8.37	7.93	7.69	6.88	6.92
1436357_at	Lap3	leucine aminopeptidase 3	22.4	10.06	10.22	9.35	9.28	8.33	9.44	7.54	7.67
1451226_at	Pex6	peroxisomal biogenesis factor 6	22.1	8.48	8.28	7.47	7.66	7.42	7.02	6.44	6.47
1451583_a_at	BC025076	cDNA sequence BC025076	22.07	5.21	5.1	3.65	3.65	2.63	2.83	2.61	2.63
1424685_at	1110039I09Rik	RIKEN cDNA 1110039I09 gene	21.7	6.42	6.45	5.38	5.48	3.98	3.3	3.61	3.46
1424468_s_at	D330037A14Rik	RIKEN cDNA D330037A14 gene	21.69	7.93	7.82	7.63	7.09	7.12	8.54	6.12	6.12
1454021_a_at	Pmscl2	polymyositis/scleroderma autoantigen 2	20.77	7.73	7.39	7.33	7.22	6.3	6.43	5.76	5.78
1438120_x_at	Irak1	interleukin-1 receptor-associated kinase 1	20	11.4	11.42	11.02	10.28	10.28	11.71	9.47	9.37
1425689_at	Dpys	dihydropyrimidinase	19.68	8.07	7.57	7.34	7.19	6.86	7.08	6.01	6.03
1424515_at	B230354K17Rik	RIKEN cDNA B230354K17 gene	19.4	9.37	9.35	8.65	8.54	7.1	8.9	6.52	6.69
1428169_at	Apg16l	APG16 autophagy 16-like (S. cerevisiae)	19.38	9.13	9.12	8.27	8.28	7.39	8.57	7.45	7.5
1436267_a_at	Frap1	FK506 binding protein 12-rapamycin associated protein 1	19.26	6.41	6.65	6.05	6.06	5.48	5.51	5.27	5.3
1456037_x_at	Preb	prolactin regulatory element binding	19.04	11.17	10.88	10.18	10.85	10.52	11.1	9.39	9.38
1434378_a_at	2810410A03Rik	RIKEN cDNA 2810410A03 gene	18.71	11.2	11.35	10.54	10.68	9.01	10.88	8.54	8.49
1436851_at	Prkcl1	protein kinase C-like 1	18.29	8.71	9.03	8.57	8.22	8.11	8.03	6.31	6.49
1460424_at	1810008O21Rik	RIKEN cDNA 1810008O21 gene	17.8	9.33	9.39	8.67	8.65	7.99	8.71	7.87	7.78
1452195_s_at	2310047I15Rik	RIKEN cDNA 2310047I15 gene	17.59	5.08	4.55	4.63	4.96	3.65	3.89	2.98	2.85
1452156_a_at	Nisch	nischarin	17.55	12.4	12.3	11.99	11.65	11.49	12.61	10.91	10.94
1424771_at	E130307C13	hypothetical protein E130307C13	17.46	11.79	11.74	11.13	10.87	8.81	11.29	8.89	8.86
1416714_at	Icsbp1	interferon consensus sequence binding protein 1	17.38	6.49	6.78	6.32	6.25	5.67	5.77	5.23	5.23
1424249_a_at	AU043488	expressed sequence AU043488	17.3	7.86	7.97	7.72	8.74	7.3	6.72	6.63	6.63
1451180_a_at	C330027I04Rik	RIKEN cDNA C330027I04 gene	17.24	7.14	7.3	7.14	7.16	6.01	6.9	5.41	5.36
1425274_at	Asph	aspartate-beta-hydroxylase	17.07	7.73	7.7	6.92	6.72	4.4	7.52	4.87	4.97
1424326_at	BC026588	cDNA sequence BC026588	17.06	10.01	9.98	9.45	9.29	9.3	9.79	8.26	8.24
1438625_s_at	Pctk1	PCTAIRE-motif protein kinase 1	16.73	11.47	11.5	11.25	11.2	10.67	11.67	9.73	9.88
1424078_s_at	Pex6	peroxisomal biogenesis factor 6	16.73	7.79	8.06	7.45	7.59	6.94	6.95	6.03	5.85
1424238_at	Sirt7	sirtuin 7 (silent mating type information regulation 2, homolog) 7 (S. cerevisiae)	16.69	9.29	9.2	8.93	9.22	8.51	8.6	8.1	8.11
1427892_at	Myo1g	myosin IG	16.62	8.87	8.66	8.14	8.11	7.43	7.76	6.32	6.53
1418238_at	Ivd	isovaleryl coenzyme A dehydrogenase	16.58	9.7	9.86	9.53	9.9	9.02	8.98	8.65	8.63
1435733_x_at	1500026D16Rik	RIKEN cDNA 1500026D16 gene	16.44	10.41	10.33	9.96	10	8.8	9.66	8.81	8.74
1423989_at	2210010N04Rik	RIKEN cDNA 2210010N04 gene	16.32	9.81	10.13	9.34	9.32	7.93	10.06	6.77	6.92
1419815_at	na	similar to FLJ20859 protein; false p73 target	16.32	7.48	7.18	6.73	6.58	6.03	6.97	5.49	5.42
1424239_at	2310066E14Rik	RIKEN cDNA 2310066E14 gene	16.31	10.72	10.8	10.04	10.14	9.35	10.27	9.24	9.13
1417742_a_at	Dmap1	DNA methyltransferase 1-associated protein 1	16.21	7.33	7.9	7.55	7.5	6.78	6.62	5.85	5.72
1422851_at	Hmga2	high mobility group AT-hook 2	16.19	8.5	8.89	7.11	7.01	5.93	7.33	5.87	6.07
1416195_at	Pps	putative phosphatase	16.06	10.39	10.4	9.78	9.91	9.06	10.02	8.84	8.85
1416254_a_at	Vps16	vacuolar protein sorting 16 (yeast)	15.97	8.54	8.52	8.45	8.56	8.02	7.83	7.36	7.31
1417475_at	Atp13a	ATPase type 13A	15.8	8.97	8.74	8.26	8.04	7.67	8.63	7.07	6.95
1421628_at	Il18r1	interleukin 18 receptor 1	15.66	7.21	7.09	7.59	7.6	6.3	7.42	5.76	5.76
1424773_at	1110012M11Rik	RIKEN cDNA 1110012M11 gene	15.63	4.86	4.93	4.54	4.55	4.2	4.2	3.93	3.76
1436244_a_at	Tle2	transducin-like enhancer of split 2, homolog of Drosophila E(spl)	15.59	9.55	9.47	9.26	8.99	8.88	9.08	7.55	7.71
1449732_at	Zipro1	zinc finger proliferation 1	15.45	10.54	11.01	10.37	10.09	9.98	10.59	9.23	9.17
