UniqueID	Acc	UGCluster	Name	Symbol	0_A	Transplanted tumors_Average	fold diff 0/Tr
AGI_MM_OLIGO_A_51_P129464	NM_009128	Mm.193096	Stearoyl-Coenzyme A desaturase 1	Scd1	0.09	1.57	0.05
AGI_MM_OLIGO_A_51_P377443	NM_134196	Mm.222642	Vomeronasal 1 receptor, E7	V1re7	1.00	16.89	0.06
AGI_MM_OLIGO_A_51_P482535	NM_009469	Mm.271898	Unc-51 like kinase 1 (C. elegans)	Ulk1	1.00	16.60	0.06
AGI_MM_OLIGO_A_51_P484526	NM_011915	Mm.32831	Wnt inhibitory factor 1	Wif1	0.12	1.49	0.08
AGI_MM_OLIGO_A_51_P166886	NM_011314	Mm.200941	Serum amyloid A 2	Saa2	1.58	19.89	0.08
AGI_MM_OLIGO_A_51_P512754	NM_025449	Mm.10407	Nicolin 1	Nicn1	1.00	12.06	0.08
AGI_MM_OLIGO_A_51_P287198	NM_033373	Mm.290657	Keratin 23	Krt23	0.28	2.68	0.10
AGI_MM_OLIGO_A_51_P333923	NM_133681	Mm.45994	Tetraspanin 1	Tspan1	0.30	2.73	0.11
AGI_MM_OLIGO_A_51_P480202	NM_010054	Mm.3896	Distal-less homeobox 2	Dlx2	0.39	3.58	0.11
AGI_MM_OLIGO_A_51_P310820	NM_010453	Mm.173	Homeo box A5	Hoxa5	0.12	0.95	0.13
AGI_MM_OLIGO_A_51_P361657	NM_009117	Mm.148800	Serum amyloid A 1	Saa1	1.40	10.72	0.13
AGI_MM_OLIGO_A_51_P365153	NM_010474	Mm.12559	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Hs3st1	0.91	6.73	0.14
AGI_MM_OLIGO_A_51_P129360	NM_008970	Mm.28440	Parathyroid hormone-like peptide	Pthlh	1.82	13.24	0.14
AGI_MM_OLIGO_A_51_P501145	AK083328	Mm.255219	Lymphoid enhancer binding factor 1	Lef1	0.25	1.74	0.14
AGI_MM_OLIGO_A_51_P453909	NM_007817	Mm.4515	Cytochrome P450, family 2, subfamily f, polypeptide 2	Cyp2f2	0.16	1.07	0.15
AGI_MM_OLIGO_A_51_P158238	AK087696	Mm.22270	Tetraspanin 8	Tspan8	0.37	2.43	0.15
AGI_MM_OLIGO_A_51_P169730	NM_008218	Mm.196110	Hemoglobin alpha, adult chain 1	Hba-a1	0.04	0.22	0.16
AGI_MM_OLIGO_A_51_P265806	NM_030601	Mm.20897	Chloride channel calcium activated 1	Clca1	1.16	7.02	0.17
AGI_MM_OLIGO_A_51_P313348	NM_007697	Mm.251288	Cell adhesion molecule with homology to L1CAM	Chl1	0.57	3.31	0.17
AGI_MM_OLIGO_A_51_P478774	AK033068	Mm.334074	Cholinergic receptor, nicotinic, alpha polypeptide 10	Chrna10	3.66	21.10	0.17
AGI_MM_OLIGO_A_51_P113093	NM_010053	Mm.434306	Distal-less homeobox 1	Dlx1	0.29	1.62	0.18
AGI_MM_OLIGO_A_51_P424211	NM_008557	Mm.263847	FXYD domain-containing ion transport regulator 3	Fxyd3	0.97	5.16	0.19
AGI_MM_OLIGO_A_51_P401987	NM_019432	Mm.24750	Transmembrane protein 37	Tmem37	0.17	0.89	0.19
AGI_MM_OLIGO_A_51_P136084	NM_175328	Mm.246703	Solute carrier family 6 (neurotransmitter transporter), member 15	Slc6a15	0.81	4.22	0.19
AGI_MM_OLIGO_A_51_P423308	NM_008342	Mm.141936	Insulin-like growth factor binding protein 2	Igfbp2	0.16	0.83	0.19
AGI_MM_OLIGO_A_51_P413005	NM_023543	Mm.321147	Chimerin (chimaerin) 2	Chn2	1.00	5.19	0.19
AGI_MM_OLIGO_A_51_P515882	NM_139198	Mm.34609	Placenta-specific 8	Plac8	0.38	1.99	0.19
AGI_MM_OLIGO_A_51_P336830	NM_024406	Mm.582	Fatty acid binding protein 4, adipocyte	Fabp4	0.02	0.09	0.20
AGI_MM_OLIGO_A_51_P161636	NM_201375	Mm.390861	Kininogen 2	Kng2	0.02	0.10	0.20
AGI_MM_OLIGO_A_51_P448856	NM_019680	Mm.36808	E74-like factor 4 (ets domain transcription factor)	Elf4	0.78	3.95	0.20
