Rank	Signal-to-noise ratio	Locus link	Gene symbol	Description	Status
7	0.90029	55140	ELP3	Elongationprotein3homolog(S.cerevisiae)	Overexpressed
10	0.81272	2597	GAPD	Glyceraldehyde-3-phosphatedehydrogenase	Overexpressed
1	1.07794	1528	CYB5	Cytochromeb-5	Underexpressed
2	0.99377	10577	NPC2	Niemann–Pickdisease,typeC2	Underexpressed
3	0.9839	10950	BTG3	BTGfamily,member3	Underexpressed
4	0.91304	9518	GDF15	Growthdifferentiationfactor15	Underexpressed
5	0.90651	7634	ZNF80	Zincfingerprotein80(pT17)	Underexpressed
6	0.90167	5319	PLA2G1B	PhospholipaseA2,groupIB(pancreas)	Underexpressed
8	0.8687	2348	FOLR1	Folatereceptor1(adult)	Underexpressed
9	0.81832	57062	DDX24	DEAD(Asp-Glu-Ala-Asp)boxpolypeptide24	Underexpressed
11	0.80574	3201	HOXA4	HomeoboxA4	Underexpressed
12	0.78403		LOC119923	Hypotheticalproteinxp071379	Underexpressed
13	0.7765	10841	FTCD	Formiminotransferasecyclodeaminase	Underexpressed
14	0.77311	26531	OR11A1	Olfactoryreceptor,family11,subfamilyA,member1	Underexpressed
15	0.75686	5190	PEX6	Peroxisomalbiogenesisfactor6	Underexpressed
