Names	Clone ID	HP	MEN	TBH
lamin B receptor (LBR)	1803808	-3.14 (24)	-1.76 (24)	-2.72 (7)
tubulin, 3 (TUBA3)	1470060	-3.23 (24)	-1.70 (24)	-3.41 (24)
serine/threonine kinase 12 (STK12)	161207	-3.26 (7)	-1.56 (24)	-2.80 (7)
polo-like kinase (PLK)	744047	-6.68 (7)	-1.66 (7)	-4.66 (7)
CHK1 (CHEK1)	246524	-2.05 (7)	-1.66 (24)	-1.96 (7)
H4 histone family, member G (H4FG)	1461138	-4.57 (24)	-1.43 (24)	-3.65 (24)
cyclin A (CCNA2)	950690	-2.98 (7)	-1.47 (7)	-3.96 (7)
centromere protein A (CENPA)	2444942	-3.95 (7)	-1.60 (24)	-3.97 (7)
thymidine kinase 1, soluble (TK1)	2055926	-3.34 (24)	-1.74 (24)	-3.07 (24)
adenylate cyclase 3 (ADCY3)	897793	-2.58 (7)	-1.57 (24)	-2.18 (7)
flap structure-specific endonuclease 1(FEN1)	2050085	-2.88 (24)	-2.09 (24)	-3.19 (24)
polymerase, epsilon 2 (POLE2)	4521835	-2.85 (7)	-1.61 (24)	-2.44 (7)
uracil DNA-glycosylase (UNG)	49464	-2.16 (7)	-1.45 (24)	-2.48 (7)
forkhead box M1 (FOXM1)	1516301	-3.78 (7)	-2.04 (7)	-3.68 (7)
ubiquitin-conjugating enzyme E2C (UBE2C)	769921	-3.90 (7)	-1.50 (24)	-3.77 (7)
thymopoietin (TMPO)	2289176	-2.89 (7)	-1.28 (24)	-2.77 (7)
somatostatin (SST)	2494617	-1.81 (7)	-1.28 (7)	-1.79 (24)
