Genes	Fold change (mean+-S.D.)
TLR1	0.26+-0.16
IL12p35	0.26+-0.10
GMCSF	0.26+-0.24
TNFRSF11B	0.34+-0.21
NPY	0.35+-0.18
CyclinA1	0.39+-0.19
PTPN3	0.42+-0.13
DEFA6	0.42+-0.15
Contactin1	0.43+-0.13
VEGFR3	0.44+-0.14
EphrinA5	0.47+-0.10
MIP1alpha	0.48+-0.10
CMKLR1	0.49+-0.14
IL11	0.50+-0.13
GPR1	0.50+-0.04
CyclinG2	2.10+-0.70
IL22	2.29+-0.66
DOK1	2.53+-0.70
BMP8	2.66+-0.44
EphrinA7	2.80+-0.25
CCR9	2.84+-0.48
TNFRSF1B	2.96+-0.53
IL10Ralpha	2.99+-0.46
Angiopoieitin2	3.24+-0.65
CR1	3.38+-0.06
IL17R	3.39+-0.45
Cyclooxygenase2	3.56+-0.79
GMCSFRalpha	3.77+-0.99
PRKCB1	4.34+-0.83
FGF16	5.06+-0.21
MIP1beta	5.12+-0.13
GAB1	6.05+-0.06
