Gene Symbol	Gene Name	Fold Change	Function	esiRNA rescue in % (p-value)
SEPP1	Selenoprotein P, plasma, 1	4.2	Response to oxidative stress	77 +/- 25 (1x10^5)
THEM2	Thioesterase superfamily member 2	2.7	Hydrolase activity	73 +/- 30 (2x10^5)
BPHL	Biphenyl hydrolase-like (serine hydrolase breast epithelial mucin-associated antigen)	2.7	metabolism	129 +/- 36 (7x10^5)
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.6	Cell proliferation	98 +/- 34 (2x10^4)
MME	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	4	Cell-cell signaling	65 +/- 40 (3x10^4)
DSC2	Desmocollin 2	2.5	Cell adhesion	77 +/- 12 (0.001)
ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	1.8	Cytoskeletal anchoring	70 +/- 39 (0.002)
ALDH6A1	Aldehyde dehydrogenase 6 family, member A1	1.9	Metabolism	106 +/- 85 (0.003)
TGFA	Transforming growth factor, alpha	2.8	Cell proliferation	61 +/- 55 (0.009)
EPHX2	Epoxide hydrolase 2, cytoplasmic	1.8	Metabolism	94 +/- 6 (0.02)
NELL2	NEL-like 2 (chicken)///NEL-like 2 (chicken)	1.8	Cell adhesion	78 +/- 24 (0.02)
EFHD1	EF-hand domain family, member D1	5.1	Calcium ion binding	157 +/- 129 (0.04)
PROS1	Protein S (alpha)	2.5	Cell adhesion	103 +/- 24 (0.04)
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	1.7	Cell proliferation	43 +/- 54 (0.06)
CCNH	Cyclin H	2	Cell proliferation	49 +/- 29 (0.1)
GAB1	GRB2-associated binding protein 1	2.8	Cell proliferation	94 +/- 60 (0.2)
FLJ14146	Chromosome 1 open reading frame 115	4.8	Unknown	107 +/- 70 (0.3)
ELF1	E74-like factor 1 (ETS domain transcription factor)	1.8	Cell proliferation	63 +/- 4 (0.3)
ICAM3	Intercellular adhesion molecule 3	2.2	Cell adhesion	59 +/- 51 (0.4)
WT1	Wilms tumor 1	2.2	Transcription	130 +/- 80 (0.7)
MAP3K11	Mitogen-activated protein kinase kinase kinase 11	2.5	Cell proliferation	55 +/- 21 (0.9)
