Gene ID	Gene name	Symbol	Parous	Nulliparous	P-value	Gene Specific Factor
AI300055	Sterile alpha and TIR motif containing 1	SARM1	1.96±0.09	1.00±0.36	0.011	Gene transcripts with immune-surveillance function
AA909476	T cell receptor V-beta 1	TCRB	1.69±0.09	0.98±0.19	0.0044	Gene transcripts with immune-surveillance function
AA932515	Interleukin 22 receptor, alpha 2	IL22RA2	2.49±0.41	0.79±0.31	0.014	Gene transcripts with immune-surveillance function
AA865910	MHC class I HLA-A24 glycoprotein mRNA, 3 end	HLA-A24	1.59±0.04	-0.41±0.03	0.0001	Gene transcripts with immune-surveillance function
AA884321	Dendritic cell protein	GA17	0.92±0.35	1.63±0.29	0.055	Gene transcripts with immune-surveillance function
AA926649	Excision repair cross-complementing rodent repair deficiency,  complementation group 2 (xeroderma pigmentosum D)	ERCC2	1.62±0.13	0.94±0.32	0.027	Gene transcripts related to DNA repair damage to DNA response to stress
AI076461	RAD51-like 1 (S. cerevisiae)	RAD51L1	2.01±0.06	0.79±0.38	0.014	Gene transcripts related to DNA repair damage to DNA response to stress
AA708793	TP53-activated protein 1		-0.87±0.24	1.77±0.1	0.0001	Gene transcripts related to DNA repair damage to DNA response to stress
AI027434	Homo sapiens, similar to NBR2, clone MGC:5031, mRNA,   complete cds	LOC51326	1.60±0.43	0.83±0.18	0.046	Gene transcripts related to DNA repair damage to DNA response to stress
AA046713	Ribosomal protein S3	RPS3	1.74±0.11	0.77±0.31	0.014	Gene transcripts related to DNA repair damage to DNA response to stress
AI168124	Likely ortholog of mouse putative IKK regulator SIMPL		1.67±0.15	0.98±0.31	0.027	Gene transcripts with programmed cell death function
AI565203	BCL2-associated X protein	BAX	1.91±0.15	0.95±0.13	0.0011	Gene transcripts with programmed cell death function
AI096618	Eukaryotic translation initiation factor 2, subunit 5 epsilon, 47 kDa	EIF3S5	1.59±0.34	0.5±0.2	0.0052	Gene transcripts with programmed cell death function
AA973690/	Transcription elongation regulator 1-like	TCERG1L	2.10±0.34	0.98±0.38	0.019	Gene with, transcription, translation, and chromatin remodeling function
AI733278						Gene with, transcription, translation, and chromatin remodeling function
AI049803	LIM domain binding 2	LDB2	1.82±0.11	0.92±0.27	0.0059	Gene with, transcription, translation, and chromatin remodeling function
N68754	Heart and neural crest derivatives expressed 2		0.87±0.36	1.52±0.02	0.0003	Gene with, transcription, translation, and chromatin remodeling function
AI122680	Bromodomain adjacent to zinc finger domain, 2A	BAZ2A	1.69±0.38	0.90±0.16	0.03	Gene with, transcription, translation, and chromatin remodeling function
AI200090	Processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	POP5	1.50±0.08	0.88±0.26	0.016	Gene with, transcription, translation, and chromatin remodeling function
AI066778	Zinc finger CCCH type domain containing 5	ZC3HDC5	1.56±0.08	0.83±0.16	0.0023	Gene with, transcription, translation, and chromatin remodeling function
AI636025	Zinc finger protein and BTB domain containing 11	ZBTB11	1.64±0.22	0.66±0.22	0.0052	Gene with, transcription, translation, and chromatin remodeling function
AI363907	HMT1 (hnRNP methyltransferase, S. cerevisiae)-like 1	HRMT1L1	1.62±0.11	0.65±0.18	0.0013	Gene with, transcription, translation, and chromatin remodeling function
AI292221	BarH-like homeobox 1	BARX1	1.57±0.26	0.62±0.3	0.015	Gene with, transcription, translation, and chromatin remodeling function
AI056507	SOX2 overlapping transcript (non-coding RNA)	SOX2OT	1.54±0.07	0.6±0.26	0.0036	Gene with, transcription, translation, and chromatin remodeling function
AI191937	SRY (sex determining region Y)-box 30	SOX30	1.51±0.23	0.54±0.16	0.0037	Gene with, transcription, translation, and chromatin remodeling function
AI096618	Eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	EIF3S5	1.59±0.34	0.5±0.02	0.0052	Gene with, transcription, translation, and chromatin remodeling function
AA703557	BTB and CNC homology 1, basic leucine zipper transcription factor 2		0.93±0.19	1.83±0.28	0.01	Gene with, transcription, translation, and chromatin remodeling function
AA169339	Integral membrane protein 2B [AT rich interactive domain 5B (MRF1-like)]	ARID5B	0.96±0.23	2.09±0.47	0.0140	Gene with, transcription, translation, and chromatin remodeling function
N74637	p300/CBP-associated factor	PCAF	1.69±0.03	-0.36±0.44	0.0013	Gene with, transcription, translation, and chromatin remodeling function
R40322	Suppressor of hairy wing homolog 4 (Drosophila)	SUHW4	1.50±0.10	0.82±0.00	0.0003	Gene with, transcription, translation, and chromatin remodeling function
AA013172	Suppressor of Ty (S. cerevisiae) 3 homolog	SUPT3H	1.64±0.11	0.89±0.03	0.0003	Gene with, transcription, translation, and chromatin remodeling function
AA704582	Nuclear domain 10 protein	NDP52	1.97±0.14	0.97±0.43	0.019	Gene with, transcription, translation, and chromatin remodeling function
AI082431	TBC1 domain family, member 16	TBC1D16	1.88±0.06	0.96±0.02	0.0001	Gene transcripts related to growth factor and signal transduction pathway
AI028704	G protein-coupled receptor 87	GPR87	2.21±0.20	1.00±0.40	0.0094	Gene transcripts related to growth factor and signal transduction pathway
H98645	Protein kinase C, nu	PRKD3	1.52±0.08	0.99±0.24	0.024	Gene transcripts related to growth factor and signal transduction pathway
AA962534	Cryptic gene		-0.11±0.3	1.68±0.47	0.0011	Gene transcripts related to growth factor and signal transduction pathway
AA923583	Odz, odd Oz/ten-m homolog 3 (Drosophila)		0.8±0.17	1.91±0.05	0.0004	Gene transcripts related to growth factor and signal transduction pathway
N67017	Leukemia inhibitory factor receptor	LIFR	1.52±0.31	0.97±0.05	0.041	Gene transcripts related to growth factor and signal transduction pathway
AI342037	Rho GTPase activating protein 8	ARHGAP8	1.96±0.49	0.66±0.17	0.012	Gene transcripts related to growth factor and signal transduction pathway
AI129156	Somatostatin receptor 1	SSTR1	1.59±0.23	0.61±0.37	0.018	Gene transcripts related to growth factor and signal transduction pathway
AI189552	G protein-coupled receptor 30	MGC11257	1.69±0.18	0.57±0.1	0.0006	Gene transcripts related to growth factor and signal transduction pathway
AA458945	RAB30, member RAS oncogene family	RAB30	1.52±0.27	0.55±0.2	0.0074	Gene transcripts related to growth factor and signal transduction pathway
H98072	Ran GTPase activating protein 1	RANGAP1	0.92±0.27	1.98±0.19	0.005	Gene transcripts related to growth factor and signal transduction pathway
AA287380	KH domain containing, RNA binding, signal transduction associated 1	KHDRBS1	0.99±0.33	1.7±0.36	0.068	Gene transcripts related to growth factor and signal transduction pathway
AI650675	Neuromedin B	NMB	1.62±0.14	0.63±0.23	0.0031	Gene transcripts related to growth factor and signal transduction pathway
AA455225	Human clone 23721 mRNA sequence	PTPN11	1.69±0.24	-0.19±0.37	0.0018	Gene transcripts related to growth factor and signal transduction pathway
AA487575	Calcium and integrin binding protein (DNA-dependent protein kinase interacting protein)		0.62±0.1	1.52±0.13	0.0007	Gene transcripts related to growth factor and signal transduction pathway
H64261	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit		-0.72±0.21	1.75±0.28	0.0002	Gene transcripts related to growth factor and signal transduction pathway
AA278852	Thyroid receptor interacting protein 15	COPS2	1.66±0.05	0.94±0.36	0.026	Gene transcripts related to growth factor and signal transduction pathway
AI039416	Triadin	TRDN	1.69±0.15	0.91±0.12	0.0023	Gene transcripts related to growth factor and signal transduction pathway
AI183992	Solute carrier family 4, sodium bicarbonate cotransporter, member 9	SLC4A9	1.90±0.30	0.99±0.07	0.0064	Gene transcripts related to transport and cell trafficking
AI223142	Calcium channel, voltage-dependent, alpha 2/delta 3 subunit	CACNA2D3	1.76±0.09	0.95±0.13	0.0008	Gene transcripts related to transport and cell trafficking
AA278852	Thyroid receptor interacting protein 15	COPS2	1.66±0.05	0.94±0.36	0.026	Gene transcripts related to transport and cell trafficking
AI203028	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	CYBB	1.64±0.13	0.90±0.23	0.0081	Gene transcripts related to transport and cell trafficking
AA464566	Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1	1.64±0.48	0.89±0.24	0.074	Gene transcripts related to transport and cell trafficking
AA995875	Aquaporin 2 (collecting duct)	AQP2	1.54±0.29	0.86±0.36	0.063	Gene transcripts related to transport and cell trafficking
AI263342	ESTs, weakly similar to non-syndromic hearing impairment protein (Homo sapiens)		1.57±0.11	0.84±0.11	0.0012	Gene transcripts related to transport and cell trafficking
AA999850	Kidney-specific membrane protein Transmembrane protein 27	TMEM27	1.67±0.33	0.81±0.18	0.017	Gene transcripts related to transport and cell trafficking
AA973344	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	SLC25A24	1.59±0.29	0.79±0.19	0.0471	Gene transcripts related to transport and cell trafficking
AI218581	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	APLT	1.82±0.27	0.68±0.28	0.0074	Gene transcripts related to transport and cell trafficking
