Probe Set	Parametric p-value	Cox Hazard Ratio	Gene Symbol
207254_at	7.30E-06	10.988	SLC15A1
210142_x_at	1.16E-05	0.217	FLOT1
204837_at	2.54E-05	4.226	MTMR9
208749_x_at	3.94E-05	0.293	FLOT1
219972_s_at	6.70E-05	6.027	C14orf135
217947_at	9.71E-05	0.565	CMTM6
216060_s_at	0.0001131	1.995	DAAM1
213150_at	0.0001391	2.245	HOXA10
204453_at	0.000177	3.437	ZNF84
204187_at	0.0001832	0.507	GMPR
205380_at	0.0002118	4.803	PDZK1
221082_s_at	0.0002424	6.629	NDRG3
203106_s_at	0.0003082	10.836	VPS41
208659_at	0.0003312	0.595	CLIC1
206633_at	0.0004022	3.792	CHRNA1
206721_at	0.0004338	4.056	C1orf114
200916_at	0.0004947	0.471	TAGLN2
213245_at	0.0005184	2.54	ADCY1
40612_at	0.000521	11.242	DOPEY1
219651_at	0.0006951	3.585	DPPA4
218240_at	0.0007603	4.09	NKIRAS2
206227_at	0.0007842	1.84	CILP
205975_s_at	0.000817	0.609	HOXD1
221486_at	0.0008335	2.301	ENSA
209386_at	0.0008748	0.661	TM4SF1
212124_at	0.000911	2.257	RAI17
202145_at	0.000968	0.565	LY6E
39817_s_at	0.0009913	0.397	C6orf108
218117_at	0.0010328	0.515	RBX1
217367_s_at	0.0010339	5.02	ZHX3
218363_at	0.0010874	3.376	EXDL2
219344_at	0.0011052	5.25	SLC29A3
213393_at	0.001161	4.946
219915_s_at	0.0011611	7.784	SLC16A10
212850_s_at	0.0011911	2.103	LRP4
201319_at	0.0012175	0.337	MRCL3
219156_at	0.001218	5.578	SYNJ2BP
218472_s_at	0.001231	0.453	PELO
204238_s_at	0.0012357	0.607	C6orf108
204308_s_at	0.0012477	2.837	KIAA0329
213652_at	0.0013155	5.1	PCSK5
211325_x_at	0.001379	0.221	LOC171220
215513_at	0.0014106	2.1	HYMAI
203823_at	0.0014483	0.363	RGS3
204165_at	0.0014758	1.965	WASF1
207308_at	0.0015166	3.053	SLCO1A2
204049_s_at	0.00155	1.907	PHACTR2
216109_at	0.0016178	8.458	THRAP2
