Clone ID	Unigene no.	GenBank ID	Gene Symbol	Description	Putative function	Fold Change HEC-151	Fold Change HHUA	Fold Change Ishikawa
A0493	Hs.238990		p27;Kip1;CDKN1B	CDK inhibitor 1B	Cell cycle arrest	0.1	3.6	6.8
A0485	Hs.72901		p15;INK4B;CDKN2B	CDK inhibitor 2B	Cell cycle arrest	0.1	2.9	4.4
A1775	Hs.183874		CUL4A	Cullin 4A	Cell cycle arrest	23.3	1.2	(-)b
A1778	Hs.77054		BTG1	B-cell translocation gene 1	Cell cycle arrest (tob family)	0.1	2	6.5
A2469	Hs.118442		CCNC	Cyclin C	Cell cycle arrest (target genes of VD)	3.1	0.8	(-)
A1800	Hs.77313		CDK10	Cyclin-dependent kinase 10	Cell cycle	3.3	2.2	8.7
A4817	Hs.20938		SCR3	RNA-binding protein	Fundamental function (translation)	2.8	2.7	1.4
A2278	Hs.49007		PAP	Poly(A) polymerase	Fundamental function (RNA processing)	0.1	1.3	1.8
A2519	Hs.3530		TASR	TLS-associated serine-arginine protein	Fundamental function (RNA processing)	8.8	0.9	1.2
A1421	Hs.79658		CSNK1E	Casein kinase I epsilon	Fundamental function (DNA replication and repair)	2.6	2.2	2.1
A4659	Hs.8997		HSPA1A	Heat shock 70kD protein 1	Fundamental function (inhibition of protein degradation)	3.7	8	1.4
A4602	Hs.4147		TRAM	Translocating chain-associating membrane protein	Fundamental function (protein translocation)	3.7	1.4	0.9
A4329	Hs.92962		SEC23A	Sec23 homolog A	Fundamental function (protein transport)	5.9	1.2	2
A3979	Hs.139336		ABCC4	ATP-binding cassette member 4	Fundamental function (anion transporter)	87.3	1.8	0.9
A1348		AF065164	HCN2	Hyperpolarization-activated channel 2	Fundamental function (channel)	45.8	5.2	3.3
A4927	Hs.194625		DNCLI2	Dynein light intermediate chain 2	Fundamental function (motor protein)	0.1	1.8	1.6
A1703	Hs.154546		STX5A	Syntaxin 5A	Fundamental function (vesicle transport)	2.8	1.2	1
A1174	Hs.112378		LIMS1	LIM and senescent cell antigen-like domains 1	Immune response (cell antigen)	55.5	1.6	1.7
A4683	Hs.177559		IFNGR2	Interferon . receptor 2	Immune response	3.2	0.9	1.7
A2244	Hs.73895		TNFRSF9	TNF-receptor superfamily, member 9	Signal transduction (TNF and TNF receptor family)	2.1	2.9	(-)
A1281	Hs.129844		TNFRSF10D	Decoy receptor 2	Signal transduction (TNF and TNF receptor family)	3	1.5	1.1
A1095	Hs.81791		TNFRSF11B	TNF receptor superfamily member 11b	Signal transduction (TNF and TNF receptor family)	0.1	1.5	(-)
A0137	Hs.89862		TRADD	TNFRSF1A-associated via death domain	Signal transduction (TNF-associated protein)	4.2	2.1	1.9
A6286	Hs.8375		TRAF4	TNF-receptor-associated factor 4	Signal transduction (TNF receptor-associated factor)	2.3	1.3	1.5
A1717	Hs.76090		TNFAIP1	TNF . induced protein 1	Signal transduction (TNF-induced protein)	3.4	1.5	2
A1329	Hs.124024		DTX1	Deltex	Signal transduction (notch-signalling pathway)	10	32.5	0.1
A3662	Hs.91143		JAG1	Jagged1	Signal transduction (notch-signalling pathway)	38.4	1.3	0.8
A9582	Hs.173063		TLE2	Transducin like enhancer of split 2	Signal transduction (notch-signalling pathway)	2.5	7.8	5.9
A2748	Hs.3260		PSEN1	Presenillin 1	Signal transduction (notch-signalling pathway)	2.7	1.2	1.5
