Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
100014_at	Mm.126976	Tlk2	Tousled-like kinase 2 (Arabidopsis)	19.80	0.0037	0.095
93851_at	Mm.87216	Rabggta	Rab geranylgeranyl transferase, a subunit	12.28	0.0022	0.096
103242_at	Mm.37210	Ap1g1	Adaptor protein complex AP-1, gamma 1 subunit	11.81	0.0014	0.290
96836_r_at	Mm.29434	Zfp161	Zinc finger protein 161	11.37	0.0117	0.290
104612_g_at	Unknown	Unknown	Unknown	10.77	0.0172	0.342
92270_at	Mm.3597	Tro	Trophinin	10.32	0.0184	0.342
95451_at	Mm.24641	2810405J04Rik	RIKEN cDNA 2810405J04 gene	9.50	0.0389	0.995
99475_at	Mm.4132	Socs2	Suppressor of cytokine signaling 2	9.38	0.0279	0.433
92195_at	Mm.273090	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	9.21	0.0011	0.053
160973_at	Mm.24491	C330027C09Rik	RIKEN cDNA C330027C09 gene	8.75	0.0298	0.448
93488_at	Mm.220843	AW550801	Expressed sequence AW550801	8.16	0.0096	0.230
104694_at	Unknown	Unknown	Unknown	8.04	0.0278	0.977
95033_at	Mm.260479	Jmjd1a	Jumonji domain containing 1A	7.73	0.0194	0.743
93266_at	Mm.240839	Tpm3	Tropomyosin 3, gamma	7.47	0.0048	0.342
97293_at	Mm.279194	Rbm10	RNA binding motif protein 10	7.37	0.0218	0.383
104202_at	Mm.27539	Tmem1	Transmembrane protein 1	7.07	0.0363	0.778
95433_at	Mm.24495	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	7.01	0.0226	0.537
100032_at	Mm.4618	Sp1	Trans-acting transcription factor 1	6.78	0.0457	0.892
96913_at	Mm.291463	Hadhb	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional  protein), beta subunit	6.31	0.0337	0.504
103710_at	Mm.311219	3110048L19Rik	RIKEN cDNA 3110048L19 gene	6.18	0.0441	0.743
96301_at	Unknown	Unknown	Unknown	6.06	0.0415	0.939
94526_at	Mm.254114	D10Ertd214e	DNA segment, Chr 10, ERATO Doi 214, expressed	5.38	0.0016	0.342
93528_s_at	Mm.291595	Bteb1	Basic transcription element binding protein 1	5.38	0.0166	0.383
93780_at	Mm.2125	Them2	Thioesterase superfamily member 2	5.35	0.0146	0.342
103345_at	Mm.204969	Spna2	Spectrin alpha 2	5.27	0.0451	0.633
