Symbol	Name	Median ratio	Locus link ID
ITGA6	Integrin, alpha 6	4.62	3655
	Serine/threonine protein kinase MST4	4.1	51765
ITGA6	Integrin, alpha 6	3.81	3655
KRR1	KRR1, small sub-unit (SSU) processome component, homolog	3.75	11103
PHLDB2	Pleckstrin homology-like domain, family B, member 2	3.58	90102
ENO1	Enolase 1, (alpha)	3.48	2023
ACTG1	Actin, gamma 1	3.42	71
LAYN	Layilin	3.33	143903
CHSY1	Carbohydrate (chondroitin) synthase 1	3.3	22856
GBP1	Guanylate binding protein 1, interferon-inducible, 67 kDa	3.3	2633
IL6	Interleukin 6 (interferon, beta 2)	3.27	3569
ACSL4	Acyl-CoA synthetase long-chain family member 4	3.27	2182
TNK2	Tyrosine kinase, non-receptor, 2	3.24	10188
ATP1B3	ATPase, Naþ/Kþtransporting, beta 3 polypeptide	3.13	483
VCAN	Versican	3.12	1462
CYR61	Cysteine-rich, angiogenic inducer, 61	3.06	3491
PAWR	PRKC, apoptosis, WT1, regulator	3.01	5074
COL4A6	Collagen, type IV, alpha 6	2.98	1288
TRIB1	Tribbles homolog 1 (Drosophila)	2.97	10221
NR4A3	Nuclear receptor sub-family 4, group A, member 3	2.95	8013
OTUD4	OTU domain containing 4	2.93	54726
ZNF673	Zinc finger protein 673	2.9	55634
SLC14A1	Solute carrier family 14 (urea transporter), member 1	2.88	6563
OTUB2	OTU domain, ubiquitin aldehyde binding 2	2.83	78990
PHLDB2	Pleckstrin homology-like domain, family B, member 2	2.83	90102
TFRC	Transferrin receptor (p90, CD71)	2.82	7037
DLL1	Delta-like 1 (Drosophila)	2.81	28514
EDD1	E3 ubiquitin protein ligase, HECT domain containing, 1	2.79	51366
VEZT	Vezatin, adherens junctions transmembrane protein	2.77	55591
RGS5	Regulator of G-protein signalling 5	2.77	8490
MAST4	Microtubule associated serine/threonine kinase family member 4	2.76	23227
C2orf44	Chromosome 2 open reading frame 44	2.75	80304
TRIO	Triple functional domain (PTPRF interacting)	2.74	7204
LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	2.73	9208
LMAN1	Lectin, mannose-binding, 1	2.73	3998
HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B	2.72	3182
IDI1	Isopentenyl-diphosphate delta isomerase 1	2.72	3422
SLC38A2	Solute carrier family 38, member 2	2.71	54407
MTHFD2	Methylenetetrahydrofolate dehydrogenase	2.71	10797
SERPINE1	Serpin peptidase inhibitor, clade E	2.7	5054
PTN	Pleiotrophin	2.7	5764
ITGA2	Integrin, alpha 2	2.68	3673
FLJ11151	Hypothetical protein FLJ11151	2.68	55313
SQLE	Squalene epoxidase	2.66	6713
NAP1L1	Nucleosome assembly protein 1-like 1	2.65	4673
NAV3	Neuron navigator 3	2.61	89795
CAV1	Caveolin 1, caveolae protein, 22 kDa	2.59	857
TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	2.59	7128
LDHA	Lactate dehydrogenase A	2.58	3939
AREG	Amphiregulin (schwannoma-derived growth factor)	2.58	374
