EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
2064	ERBB2	NM_004448	216836_s_at	1	0
93210	PERLD1	Contig56503_RC	221811_at	0.91	0.17
5709	PSMD3	NM_002809	201388_at	0.68	0.55
5409	PNMT	NM_002686	206793_at	0.65	0.58
55876	GSDML	NM_018530	219233_s_at	0.55	0.7
22794	CASC3	NM_007359	207842_s_at	0.48	0.79
3927	LASP1	NM_006148	200618_at	0.47	0.8
147179	WIPF2	U90911	212051_at	0.44	0.8
55040	EPN3	NM_017957	220318_at	0.4	0.84
5245	PHB	NM_002634	200659_s_at	0.4	0.85
9635	CLCA2	NM_006536	217528_at	0.36	0.87
3227	HOXC11	NM_014212	206745_at	0.31	0.88
29095	ORMDL2	NM_014182	218556_at	0.35	0.88
5909	RAP1GAP	NM_002885	203911_at	0.34	0.89
1573	CYP2J2	NM_000775	205073_at	0.31	0.9
26154	ABCA12	AL080207	215465_at	0.29	0.91
3081	HGD	NM_000187	205221_at	0.3	0.91
8804	CREG1	NM_003851	201200_at	-0.3	0.92
9914	ATP2C2	NM_014861	206043_s_at	0.29	0.92
5129	PCTK3	AL161977	214797_s_at	-0.29	0.92
54793	KCTD9	NM_017634	218823_s_at	-0.29	0.92
404093	CUEDC1	NM_017949	219468_s_at	0.32	0.93
3675	ITGA3	NM_002204	201474_s_at	0.27	0.93
55129	TMEM16K	NM_018075	218910_at	0.26	0.93
24147	FJX1	NM_014344	219522_at	-0.25	0.94
1048	CEACAM5	M29540	201884_at	0.26	0.95
9572	NR1D1	X72631	204760_s_at	0.24	0.95
51375	SNX7	NM_015976	205573_s_at	-0.23	0.95
