Gene symbol	Treated/Untreated ratio	Parametric p-value	Description
AKNA	1.85	5.24E-04	AT-hook transcription factor
ALG2	1.85	8.87E-04	Asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)
ALKBH	1.6	7.20E-04	AlkB, alkylation repair homolog 1 (E. coli)
ARIH1	2.2	1.07E-04	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
ARL5B	2.39	3.30E-04	ADP-ribosylation factor-like 5B
ARMET	2.05	2.16E-04	Arginine-rich, mutated in early stage tumors
ATF2	2.15	2.20E-04	Activating transcription factor 2
ATF3	11.15	1.91E-05	Activating transcription factor 3
AXIN1	1.84	6.09E-04	Axin 1
BEX4	2.44	9.16E-04	BEX family member 4
BRD1	2.11	4.04E-04	Bromodomain containing 1
BTN2A1	1.95	6.89E-04	Butyrophilin, subfamily 2, member A1
C10orf137	1.91	5.27E-04	Chromosome 10 open reading frame 137
C12orf44	1.6	8.17E-04	Chromosome 12 open reading frame 44
C16orf52	3.36	3.95E-05	Chromosome 16 open reading frame 52
C1orf216	2.03	1.72E-04	Chromosome 1 open reading frame 216
C1orf26	1.89	2.92E-04	Chromosome 1 open reading frame 26
C2orf42	1.91	3.98E-04	Chromosome 2 open reading frame 42
C2orf49	1.88	3.08E-04	Chromosome 2 open reading frame 49
C3orf52	2.73	1.53E-04	Chromosome 3 open reading frame 52
C9orf156	2.01	3.06E-04	Chromosome 9 open reading frame 156
CBLB	2.05	7.03E-05	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
CDC37L1	1.89	1.87E-04	CDC37 cell division cycle 37 homolog (S. cerevisiae)-like 1
CDR2	2.83	4.80E-04	Cerebellar degeneration-related protein 2, 62kDa
CEBPB	2.03	1.14E-04	CCAAT/enhancer binding protein (C/EBP), beta
CEBPG	2.44	4.60E-04	CCAAT/enhancer binding protein (C/EBP), gamma
CERK	0.53	3.68E-04	Ceramide kinase
CHIC2	2.74	4.20E-06	Cysteine-rich hydrophobic domain 2
CRTC2	2.23	6.91E-04	CREB regulated transcription coactivator 2
DDIT3	8.13	4.20E-06	DNA-damage-inducible transcript 3
DGCR14	1.64	7.82E-04	DiGeorge syndrome critical region gene 14
DNAJB9	8.81	1.00E-07	DnaJ (Hsp40) homolog, subfamily B, member 9
DNAJC3	2.85	1.06E-04	DnaJ (Hsp40) homolog, subfamily C, member 3
DUSP16	2.49	5.36E-05	Dual specificity phosphatase 16
E2F7	1.95	3.49E-04	E2F transcription factor 7
EIF2AK3	3.61	1.05E-04	Eukaryotic translation initiation factor 2-alpha kinase 3
ERN1	2.07	3.12E-05	Endoplasmic reticulum to nucleus signalling 1
ERRFI1	3.07	1.94E-04	ERBB receptor feedback inhibitor 1
FAM100B	2.9	2.88E-04	Family with sequence similarity 100, member B
FAM130A1	2.54	7.83E-04	family with sequence similarity 130, member A1
FBXL12	1.8	5.83E-04	F-box and leucine-rich repeat protein 12
FEM1B	3.6	2.44E-05	Fem-1 homolog b (C. elegans)
FIP1L1	1.71	5.46E-04	FIP1 like 1 (S. cerevisiae)
FLJ40142	2.2	4.51E-04	FLJ40142 protein
GCC1	1.98	2.23E-04	GRIP and coiled-coil domain containing 1
GDF15	3.76	2.90E-06	Growth differentiation factor 15
GRPEL2	1.88	9.18E-04	GrpE-like 2, mitochondrial (E. coli)
GTF2B	2.01	7.44E-05	General transcription factor IIB
HBP1	3.8	3.68E-04	HMG-box transcription factor 1
HERPUD1	7.2	5.25E-04	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
HERPUD2	2.04	5.47E-04	HERPUD family member 2
HSF2	2.01	1.34E-04	Heat shock transcription factor 2
IER5	2.31	6.95E-04	Immediate early response 5
ITPKC	2.17	9.22E-04	Inositol 1,4,5-trisphosphate 3-kinase C
JMY	3.64	3.96E-05	Jjunction-mediating and regulatory protein
KIAA0232	0.31	1.86E-04	KIAA0232
KIAA0831	1.95	6.85E-04	KIAA0831
KIAA0907	3.01	9.47E-04	KIAA0907
KIAA1219	1.8	5.26E-04	KIAA1219
KIAA1600	2.11	9.11E-04	KIAA1600
KLF11	3.65	2.20E-06	Kruppel-like factor 11
