Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal ductal)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	-23,9808	0	0	4
204455_at	NM_001723	DST	-18,2815	0	0	5
229947_at	AI088609	PI15	-15,0376	0	0	5
205157_s_at	NM_000422	KRT17	-12,6263	0	0	4
214087_s_at	BF593509	MYBPC1	-12,21	0	1	4
201820_at	NM_000424	KRT5	-12,1065	0	0	5
206325_at	NM_001756	SERPINA6	-11,3379	0	0	4
212236_x_at	Z19574	KRT17	-8,76424	0,0006	0	4
209301_at	M36532	CA2	-8,68056	0,0008	0	4
205044_at	NM_014211	GABRP	-8,59107	0,0008	0	4
220625_s_at	AF115403	ELF5	-8,41751	0,0006	0	5
227742_at	AI638295	CLIC6	-8,23723	0,0009	0	4
225817_at	AB051536	CGNL1	-7,83085	0,0028	0	5
204734_at	NM_002275	KRT15	-7,82473	0,002	0	4
212730_at	AK026420	DMN	-7,49625	0,0021	1	4
205259_at	NM_000901	NR3C2	-7,37463	0,0022	0	4
218824_at	NM_018215	FLJ10781	-7,26744	0,0056	0	5
203951_at	NM_001299	CNN1	-7,26216	0,0021	0	4
202037_s_at	NM_003012	SFRP1	-7,25689	0,0043	1	4
201131_s_at	NM_004360	CDH1	-7,21501	0,0017	0	5
222862_s_at	BG169832	AK5	-6,78887	0,0021	0	5
236835_at	AI654093	FUT8	-6,65336	0,01	0	4
205380_at	NM_002614	PDZK1	-6,37755	0,0055	0	5
206509_at	NM_002652	PIP	-6,32911	0,002	1	4
219850_s_at	NM_012153	EHF	-6,31313	0,0094	0	5
222196_at	AK000470	LOC286434	-6,3012	0,01	0	4
227314_at	N95414	ITGA2	-6,19195	0,0123	0	4
203397_s_at	BF063271	GALNT3	-6,03865	0,0155	0	5
209291_at	AW157094	ID4	-6,03865	0,0102	0	4
234982_at	BF577193	ZNF650	-5,84112	0,0139	0	5
205073_at	NM_000775	CYP2J2	-5,8072	0,0158	0	5
230061_at	AW338625	TM4SF18	-5,64334	0,0172	1	4
226594_at	AA528157	ENTPD5	-5,61798	0,0259	0	4
204400_at	NM_005864	EFS	-5,5991	0,028	0	4
202274_at	NM_001615	ACTG2	-5,57414	0,0151	0	4
217744_s_at	NM_022121	PERP	-5,51268	0,0126	0	5
227239_at	AV734839	DRCTNNB1A	-5,50358	0,0253	1	4
224823_at	AA526844	MYLK	-5,42594	0,0188	0	4
225368_at	BF218115	HIPK2	-5,33333	0,0325	1	4
202131_s_at	NM_003831	RIOK3	-5,33049	0,0418	0	4
212536_at	AB023173	ATP11B	-5,2687	0,0368	0	4
230472_at	AI870306	IRX1	-5,14668	0,0181	0	4
229699_at	AW237752	---	-5,10465	0,0257	0	5
