Clone ID	Gene symbol	Gene name	Fold change	Function
784337	CXCL12	Chemokine (C-X-C motif) ligand 12	3,58	Matrix remodeling/cell
630013	FBLN2	Fibulin 2	2,75	Matrix remodeling/cell
813823	LUM	Lumican	4,77	Matrix remodeling/cell
759163	MFAP4	Microfibrillar-associated protein 4	2,71	Matrix remodeling/cell
810224	MXRA5	Matrix-remodelling associated 5 (adlican)	6,27	Matrix remodeling/cell
85394	PPAP2B	Phosphatidic acid phosphatase type 2B	2,17	Matrix remodeling/cell
2042614	WISP2	WNT1 inducible signaling pathway protein 2	2,79	Matrix remodeling/cell
324891	DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase	0,31	Metabolism
769890	NP	Nucleoside phosphorylase	0,45	Metabolism
781047	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog	0,36	Cell cycle/proliferation
249688	CCND2	Cyclin D2	0,32	Cell cycle/proliferation
204214	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	0,43	Cell cycle/proliferation
491559	FABP3	Fatty acid binding protein 3, muscle and heart	2,16	Cell cycle/proliferation
796904	PLAGL1	Pleiomorphic adenoma gene-like 1	2,50	Cell cycle/proliferation
769921	UBE2C	Ubiquitin-conjugating enzyme E2C	0,29	Cell cycle/proliferation
66420	RPL36	Ribosomal protein L36	0,35	RNA processing
256907	GSTA3	Glutathione S-transferase A3	2,23	ROS scavenging
277507	GSTM5	Glutathione S-transferase M5	2,53	ROS scavenging
245990	MT1F	Metallothionein 1F (functional)	0,41	ROS scavenging
202535	MT1G	Metallothionein 1G	0,42	ROS scavenging
214162	MT1H	Metallothionein 1H	0,41	ROS scavenging
129585	MT1M	Metallothionein 1M	0,37	ROS scavenging
297392	MT1X	Metallothionein 1X	0,42	ROS scavenging
840708	SOD2	Superoxide dismutase 2, mitochondrial	2,64	ROS scavenging
795309	SOD3	Superoxide dismutase 3, extracellular	2,32	ROS scavenging
626967	ALPI	Alkaline phosphatase, intestinal	2,70	Signal transduction
239889	ANKH	Ankylosis, progressive homolog (mouse)	0,41	Signal transduction
501540	ARID5B	AT rich interactive domain 5B (MRF1-like)	2,35	Signal transduction
85634	C1S	Complement component 1, s subcomponent	3,14	Signal transduction
357037	CDON	Cell adhesion molecule-related/down-regulated by oncogenes	3,30	Signal transduction
325370	COTL1	Coactosin-like 1 (Dictyostelium)	0,29	Signal transduction
839736	CRYAB	Crystallin, alpha B	2,17	Signal transduction
263200	DCBLD2	Discoidin, CUB and LCCL domain containing 2	0,27	Signal transduction
82991	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	0,34	Signal transduction
155575	EPB41L1	Erythrocyte membrane protein band 4.1-like 1	0,42	Signal transduction
310519	F10	Coagulation factor X	2,24	Signal transduction
49465	FAT4	FAT tumor suppressor homolog 4 (Drosophila)	2,02	Signal transduction
813266	FHL1	Four and a half LIM domains 1	2,31	Signal transduction
31873	HMGN4	High mobility group nucleosomal binding domain 4	0,39	Signal transduction
4150826	IGFBP5	Insulin-like growth factor binding protein 5	0,39	Signal transduction
549933	IL8	Interleukin 8	2,91	Signal transduction
325365	KRR1	KRR1, small subunit (SSU) processome component, homolog	0,44	Signal transduction
471642	LAMA2	Laminin, alpha 2 (merosin, congenital muscular dystrophy)	2,03	Signal transduction
293500	LRIG3	Leucine-rich repeats and immunoglobulin-like domains 3	2,16	Signal transduction
814701	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0,47	Signal transduction
77193	MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B	2,08	Signal transduction
131867	NET1	Neuroepithelial cell transforming gene 1	0,49	Signal transduction
269246	NF1	Neurofibromin 1	2,57	Signal transduction
173674	NPTX1	Neuronal pentraxin I	0,46	Signal transduction
154600	PLCD1	Phospholipase C, delta 1	2,10	Signal transduction
450926	PLEKHQ1	Pleckstrin homology domain containing, family Q member 1	2,09	Signal transduction
796268	PPP1R1A	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	0,43	Signal transduction
502664	RIS1	Ras-induced senescence 1	0,48	Signal transduction
813678	SLC1A3	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	3,80	Signal transduction
773157	SPRY4	Sprouty homolog 4 (Drosophila)	0,39	Signal transduction
244796	STEAP2	Six transmembrane epithelial antigen of the prostate 2	2,18	Signal transduction
268700	SWAP70	SWAP-70 protein	2,16	Signal transduction
283398	TM4SF10	Transmembrane protein 47	2,73	Signal transduction
840788	TMSB10	Thymosin, beta 10	2,60	Signal transduction
785744	ZDHHC5 /	zinc finger, DHHC domain containing 5 or	0,38	Signal transduction
MFGE8	milk fat globule-EGF factor 8 protein		Signal transduction
