Gene Symbol	Gene Name	Sucrose/Cornstarch	Clone ID	Function
Igfbp3	Insulin-like growth factor binding protein 3	0.3	H3154G07	Cell cycle and growth control
CuWb	Cullin 4B	0.4	H3043B09	Cell cycle and growth control
Fancg	Fanconi anemia, complementation group G	0.4	H3106E09	Cell cycle and growth control
Tial	Cytotoxic granule-associated RNA binding protein 1	0.5	H3120F02	Cell cycle and growth control
BmprlA	Bone morphogenetic protein receptor, type 1A	0.6	H3031E08	Cell cycle and growth control
Smpd3	Sphingomyelin phosphodiesterase 3, neutral	0.4	H3007A08	Signal transduction and receptors
Cntfr	Ciliary neurotrophic factor receptor	0.4	H3075F09	Signal transduction and receptors
Rgnef	Rho-guanine nucleotide exchange factor	0.5	H3139A08	Signal transduction and receptors
Ssr4	Signal sequence receptor, delta	0.5	H3039A08	Signal transduction and receptors
Tbx20	T-box 20	0.3	H3040G02	Transcription and translation regulation
Bzw2	Basic leucine zipper and W2 domains 2	0.3	H3018E10	Transcription and translation regulation
Ncorl	Nuclear receptor co-repressor l	0.6	H3037F09	Transcription and translation regulation
Capl	CAP, adenylate cyclase-associated protein 1 (yeast)	0.3	H3013E04	Cell adhesion and cytoskeleton
Stmnl	Stathmin 1	0.4	H3122C07	Cell adhesion and cytoskeleton
Shrm	Shroom	0.5	H3039A02	Cell adhesion and cytoskeleton
Rtn4	Reticulon 4	0.6	H3093E01	Cell adhesion and cytoskeleton
Surf4	Surfeit gene 4	0.3	H3014C08	Cellular component and structural proteins
Ndufs8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	0.5	H3021B05	Cellular component and structural proteins
Rpl6	Ribosomal protein L6	0.5	H3144E09	Cellular component and structural proteins
Ltf	Lactotransferrin	0.2	H3087A12	Transport and carrier proteins
Cog8	Component of oligomeric golgi complex 8	0.4	H3059C05	Transport and carrier proteins
Hba-al	Hemoglobin alpha, adult chain 1	0.4	H3125H07	Transport and carrier proteins
Nqo3a2	NAD(P)H:quinone oxidoreductase type 3, polypeptide A2	0.5	H3043H09	Transport and carrier proteins
Aurkc	Aurora kinase C	0.1	H3053G07	Metabolism and enzymes
Pdir	Protein disulfide isomerase-related	0.3	H3093B09	Metabolism and enzymes
Rcel	Ras and a-factor-converting enzyme 1 homolog (S. cerevisiae)	0.3	H3035F09	Metabolism and enzymes
Pgm3	Phosphoglucomutase 3	0.3	H3038E09	Metabolism and enzymes
Plscr3	Phospholipid scramblase 3	0.4	H3031B09	Metabolism and enzymes
Pgm211	Phosphoglucomutase 2-like 1	0.4	H3099B11	Metabolism and enzymes
Maoa	Monoamine oxidase A	0.5	H3030B09	Metabolism and enzymes
Xrn2	5 -3 exoribonuclease 2	0.5	H3002C12	Metabolism and enzymes
Cryzll	Crystallin, zeta (quinone reductase)-like 1	0.6	H3123G05	Metabolism and enzymes
Cptla	Carnitine palmitoyltransferase la, liver	0.6	H3140A09	Metabolism and enzymes
Defer	Defensin related cryptdins	0.3	H3083C07	Host defense and immunity
Fnl	Fibronectin 1	0.3	H3116A10	Host defense and immunity
Brp 16	Brain protein 1 6	0.3	H3145E10	Other genes
Rps5	Ribosomal protein S5	0.6	H3098G09	Other genes
