Affymetrix Gene ID	Entrez Gene Name	Full Gene Name	Contrast Analysis	2 Month A	2 Month B	6 Month A	6 Month B	12 Month A	12 Month B	21 Month A	21 Month B
1448961_at	Plscr2	phospholipid scramblase 2	-50.08	5.86	5.79	7.41	7.18	8.77	8.51	9.9	9.98
1415863_at	Eif4g2	eukaryotic translation initiation factor 4, gamma 2	-29.19	9.78	9.79	10.54	10.97	11.5	10.56	12.02	12.04
1437689_x_at	Clu	clusterin	-27.95	7.52	7.68	9.62	8.1	11.66	11.46	12.04	12.85
1448021_at	AA266723	NA	-26.72	7.83	7.79	8.76	7.95	9.08	8.96	10.1	10.21
1417861_at	Ccnc	cyclin C	-25.71	4.5	4.38	4.41	4.27	5.61	4.92	6.42	6.42
1450634_at	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	-24.78	8.85	8.79	8.87	9.27	9.15	9.24	10.53	10.48
1434931_at	Neo1	neogenin	-24.65	6.55	6.35	6.84	7.02	10.35	7.76	10.1	10.14
1427442_a_at	App	amyloid beta (A4) precursor protein	-23.68	7.74	7.93	8.6	8.53	10.48	8.99	11.12	11.06
1425702_a_at	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5	-23.14	2.31	2.44	3.32	3.74	4.93	2.81	6.23	6.44
1417654_at	Sdc4	syndecan 4	-22.83	3.6	4.36	4.21	4.5	6	5.33	5.55	5.51
1426300_at	Alcam	activated leukocyte cell adhesion molecule	-22.63	5.95	5.98	7.35	6.71	7.57	7.48	8.38	9.12
1433579_at	9130011B11Rik	RIKEN cDNA 9130011B11 gene	-22.26	3.71	3.71	3.6	3.55	3.78	3.96	6.71	6.33
1448383_at	Mmp14	matrix metalloproteinase 14 (membrane-inserted)	-22.13	6.09	6.17	6.46	5.96	8.35	7.06	8	8.08
1449885_at	Tm4sf10	transmembrane 4 superfamily member 10	-22.04	3.93	3.94	3.87	3.78	4.72	3.95	6.62	6.46
1452704_at	1200015F23Rik	RIKEN cDNA 1200015F23 gene	-21.8	6.31	6.15	5.55	5.9	8.24	6.35	8.37	8.34
1440865_at	Ifitm6	interferon induced transmembrane protein 6	-21.68	3.01	2.79	2.66	2.52	3.01	3.08	4.52	4.58
1416779_at	Sdpr	serum deprivation response	-21.3	3.52	3.39	5.33	5.01	5.51	6.39	7.89	8.08
1426205_at	Ppp1cb	protein phosphatase 1, catalytic subunit, beta isoform	-20.86	9.48	9.55	10.46	10.35	11.33	9.64	11.41	11.39
1417818_at	2310058J06Rik	RIKEN cDNA 2310058J06 gene	-20.6	5.26	6.22	8.27	7.75	9.9	9.99	10.38	10.56
1424968_at	2210023G05Rik	RIKEN cDNA 2210023G05 gene	-20.16	5.03	4.94	5.47	4.44	6.03	6.24	6.46	6.45
1416208_at	Usp14	ubiquitin specific protease 14	-19.79	4.16	3.99	5.55	5.32	6.82	4.42	7.22	7.05
1433631_at	Eif5	eukaryotic translation initiation factor 5	-19.62	8.82	8.86	9.33	9.34	10.49	8.99	10.7	10.74
