Gene Symbol	UniGeneb	GenBankc	Gene description	Clusterd	Pearson’se	Functionf
CCND1	Hs.82932	X59798	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	5	0·50	Cell cycle
PA2G4	Hs.343258	AF104670	Proliferation-associated 2G4, 38kDa	7	0·64	Cell cycle
RANBP1	Hs.24763	AI160997	RAN binding protein 1	7	0·94	Cell cycle
MAD2L1	Hs.79078	AJ000186	MAD2 mitotic arrest deficient-like 1 (yeast)	8	0·78	Cell cycle
CKS2	Hs.83758	X54942	CDC28 protein kinase 2	8	0·76	Cell cycle
RAN	Hs.10842	AF054183	RAN, member RAS oncogene family	8	0·75	Cell cyle
IER3	Hs.76095	AI185199	Immediate early response 3	4	0·91	Cell death
MCM2	Hs.57101	AI814040	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	7	0·54	DNA replication and repair
MCM7	Hs.77152	D55716	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	7	0·72	DNA replication and repair
FEN1	Hs.4756	X76771	Flap structure-specific endonuclease 1	7	0·77	DNA replication and repair
FLJ32241	Hs.352359	AA948729	Homo sapiens cDNA FLJ32241 fis, clone PLACE6005231	8	0·78	DNA replication and repair
PFKP	Hs.99910	D25328	Phosphofructokinase, platelet	7	0·77	Glycid metabolism
LDHA	Hs.2795	X02152	Lactate dehydrogenase A	7	0·78	Glycid metabolism
MT1L	Hs.94360	F27787	Metallothionein 1L	8	0·71	Heavy metal binding
HNRPA2B1	Hs.232400	D28877	Heterogeneous nuclear ribonucleoprotein A2/B1	6	0·93	mRNA processing
NME2	Hs.275163	L16785	Non-metastatic cells 2, protein (NM23B) expressed in	8	0·81	Nucleotide metabolism
IDS	Hs.172458	AF050145	Iduronate 2-sulfatase (Hunter syndrome)	3	0·66	Other enzymes
AMD1	Hs.262476	M21154	S-adenosylmethionine decarboxylase 1	7	0·72	Other enzymes
PLOD2	Hs.41270	U84573	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	6	0·55	Other enzymes
EIF3S9	Hs.57783	U78525	Eukaryotic translation initiation factor 3, subunit 9 (eta, 116kDa)	5	0·56	Protein biosynthesis
HSPA5	Hs.75410	AI878886	Heat shock 70kD protein 5 (glucose-regulated protein, 78kDa)	5	0·72	Protein folding
DNAJA1	Hs.94	L08069	DnaJ (Hsp40) homolog, subfamily A, member 1	6	0·62	Protein folding
HSPCB	Hs.74335	M16660	Heat shock 90kDa protein 1, beta	6	0·66	Protein folding
STIP1	Hs.75612	M86752	Stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	7	0·92	Protein folding
FKBP4	Hs.848	M88279	FK506 binding protein 4 (59kDa)	7	0·78	Protein folding
CCT5	Hs.1600	D43950	CCT5 Chaperonin containing TCP1, subunit 5 (epsilon)	8	0·41	Protein folding
PPIB	Hs.699	M63573	Peptidylprolyl isomerase B (cyclophilin B)	8	0·89	Protein folding
HSPD1	Hs.79037	M34664	Heat shock 60kDa protein 1 (chaperonin)	6	0·59	Protein folding
NP	Hs.75514	AA311617	Nucleoside phosphorylase	7	0·82	Purine and pyrimidine metabolism
RRM1	Hs.2934	X59543	Ribonucleotide reductase M1 polypeptide	7	0·88	Purine and pyrimidine metabolism
IMPDH2	Hs.75432	L33842	IMP (inosine monophosphate) dehydrogenase 2	8	0·63	Purine and pyrimidine metabolism
DKC1	Hs.4747	U59151	Dyskeratosis congenita 1, dyskerin	7	0·67	Ribosome biogenesis
COX5A	Hs.296585	Y12065	Cytochrome c oxidase subunit Va	7	0·86	Ribosome biogenesis
SFRS1	Hs.352256	M72709	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	7	0·65	RNA splicing
GNL1	Hs.83147	L25665	Guanine nucleotide binding protein-like 1	7	0·45	Signal transduction
HBP1	Hs.10882	AF019214	HMG-box containing protein 1	1	0·89	Transcription
EGR1	Hs.326035	M80583	Early growth response 1	4	0·46	Transcription
FOS	Hs.25647	V01512	V-fos FBJ murine osteosarcoma viral oncogene homolog	4	0·45	Transcription
MYC	Hs.79070	K02276	V-myc myelocytomatosis viral oncogene homolog (avian)	4	0·42	Transcription
HAT1	Hs.13340	AF030424	HAT1 Histone acetyltransferase 1	6	0·46	Transcription
NCL	Hs.79110	M60858	Nucleolin	6	0·72	Transcription
ATP9A	Hs.70604	AA620508	ATPase, Class II, type 9A	3	0·52	Transporters
APOD	Hs.75736	J02611	Apolipoprotein D	3	0·88	Transporters
SEC23B	Hs.173497	X97065	Sec23 homolog B (S. cerevisiae)	7	0·54	Transporters
SLC25A5	Hs.79172	AA314562	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	8	0·85	Transporters
SEC61B	Hs.77028	AI281953	Protein translocation complex beta	8	0·46	Transporters
NOLC1	Hs.75337	Z34289	Nucleolar and coiled-body phosphprotein 1	5	0·71	Unknown
C1QBP	Hs.78614	L04636	Complement component 1, q subcomponent binding protein	7	0·77	Unknown
KIAA0321	Hs.8663	AB002319	KIAA0321 protein	1	0·45	Unnamed
MGC19606	Hs.91579	AF054996	MGC19606 Similar to hypothetical 34.0 kDa protein ZK795.3 in chromosome IV	7	0·68	Unnamed
ESTs R99207	Hs.36102	R99207	ESTs, Highly similar to SMHU1B metallothionein 1B (H. sapiens)	8	0·65	Unnamed
KIAA0074	Hs.1192	D38553	KIAA0074 protein	8	0·71	Unnamed
