Clone ID	UniGene	Gene symbol	Gene description	M	STD M	M ctrl/ctrl	STD M	t	P value
H3112E12	Mm.30059	Marcks	myristoylated alanine rich protein kinase C substrate	2.428	0.283	0.085	0.228	14.419	9.150E-07
H3029H07	Mm.30059	Marcks	myristoylated alanine rich protein kinase C substrate	1.921	0.249	-0.030	0.206	13.478	1.686E-06
H3001H10	Mm.3532	Tmsb10	thymosin, beta 10	1.687	0.201	0.277	0.166	12.075	3.617E-06
H3009E11	Mm.3468	Socs3	suppressor of cytokine signaling 3	2.320	0.426	-0.179	0.299	10.897	4.852E-06
H3139C11	Mm.271843	Ms4a11	membrane-spanning 4-domains, subfamily A, member 11	3.053	0.614	-0.086	0.327	10.496	7.088E-06
H3113H12	Mm.149235	Mfng	manic fringe homolog (Drosophila)	1.150	0.250	0.089	0.144	8.496	2.953E-05
H3083A07	Mm.236587	D5Ertd606e	DNA segment, Chr 5, ERATO Doi 606, expressed	2.235	0.513	0.082	0.223	9.067	3.230E-05
H3143D12	Mm.289517	Mtch1	mitochondrial carrier homolog 1 (C. elegans)	0.864	0.214	-0.021	0.143	7.833	5.157E-05
H3013G10	Mm.8552	Birc5	baculoviral IAP repeat-containing 5	2.338	0.420	-0.127	0.415	9.162	5.216E-05
H3156C12	Mm.271843	Ms4a11	membrane-spanning 4-domains, subfamily A, member 11	2.959	0.819	-0.184	0.413	7.995	5.513E-05
H3145H04	Mm.2570	C1qb	complement component 1, q subcomponent, beta polypeptide	3.084	0.773	0.063	0.304	8.624	5.818E-05
H3014F08			EST	0.788	0.255	-0.324	0.193	7.835	6.040E-05
H3131D05	Mm.28756	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	2.278	0.613	-0.033	0.313	7.826	6.266E-05
H3012F08	Mm.218203	9430068N19Rik	RIKEN cDNA 9430068N19 gene	0.555	0.175	-0.107	0.074	8.226	6.752E-05
P542	Mm.277792	Col1a2	procollagen, type I, alpha 2	2.602	0.747	-0.184	0.494	7.098	1.032E-04
H3032H07	Mm.233181	4933407C03Rik	RIKEN cDNA 4933407C03 gene	1.184	0.275	-0.059	0.238	7.595	1.054E-04
H3008H02			EST	0.436	0.149	-0.213	0.126	7.421	1.155E-04
H3023H10	Mm.30357	Ftl1	ferritin light chain 1	1.722	0.483	0.020	0.307	6.814	1.359E-04
T456	Mm.244263	Ccl4	chemokine (C-C motif) ligand 4	0.737	0.231	-0.150	0.046	9.132	1.471E-04
T206	Mm.582	Fabp4	fatty acid binding protein 4, adipocyte	2.860	0.830	-0.017	0.261	7.918	1.602E-04
