Gene Symbol	Gene Name	Fold Difference	q-value(%)	NL BM ?
CRISP3	cysteine-rich secretory protein 3	25.6	0.81	Yes
S100P	S100 calcium binding protein P	17.9	1.51	Yes
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6	16.4	3.05	Yes
DEFA4	defensin, alpha 4, corticostatin	12.5	4.42	Yes
NR2F1	nuclear receptor subfamily 2, group F, member 1	11.9	5.28	No
KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	11.8	1.51	Yes
ENG	endoglin	11.7	0.33	Yes
CAMP	cathelicidin antimicrobial peptide	10.6	2.55	Yes
MMP9	matrix metalloproteinase 9	10.3	0.56	Yes
MGAM	maltase-glucoamylase	10.2	2.12	Yes
IL8RA	interleukin 8 receptor, alpha	10.1	0.81	Yes
SLC2A10	solute carrier family 2, member 10	9.1	0.81	No
COL18A1	collagen, type XVIII, alpha 1	8.9	0.27	Yes
ORM1	orosomucoid 1	8.9	1.74	Yes
EGFL7	EGF-like-domain, multiple 7	8.8	0.47	No
PITX2	paired-like homeodomain transcription factor 2	8.8	1.74	No
FGFR3	fibroblast growth factor receptor 3	7.9	1.74	Yes
SCARF1	scavenger receptor class F, member 1	7.8	3.63	Yes
LCN2	lipocalin 2	7.8	2.55	Yes
GPR161	G protein-coupled receptor 161	7.7	0.00	No
IGFBP4	insulin-like growth factor binding protein 4	7.5	5.28	No
IL1R1	interleukin 1 receptor, type I	7.4	3.63	Yes
APOE	apolipoprotein E	7.0	0.81	Yes
PRSS16	serine protease 16	6.7	4.42	No
PTGES	prostaglandin E synthase	6.6	2.55	Yes
GJA1	Connexin 43	6.6	5.28	Yes
TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c	6.5	1.51	Yes
PDGFRL	platelet-derived growth factor receptor-like	6.3	3.63	No
PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	6.2	3.63	No
PC	pyruvate carboxylase	6.2	1.74	No
THBS2	thrombospondin 2	6.2	2.55	No
SEPP1	selenoprotein P, plasma, 1	6.1	4.42	Yes
CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8	6.1	1.51	Yes
TFPI	tissue factor pathway inhibitor	6.0	4.42	No
FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor	5.9	0.33	Yes
GNG11	guanine nucleotide binding protein, gamma 11	5.9	3.63	Yes
TCN1	transcobalamin I	5.9	0.47	Yes
CLEC3B	C-type lectin domain family 3, member B	5.8	5.28	No
SYNPO	synaptopodin	5.8	3.05	No
PCK1	phosphoenolpyruvate carboxykinase 1	5.6	4.42	No
CLC	Charcot-Leyden crystal protein	5.6	3.63	Yes
HSPB1	heat shock 27kDa protein 1	5.6	3.05	No
G0S2	putative lymphocyte G0/G1 switch gene	5.6	1.74	Yes
KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	5.5	4.42	No
FLT1	fms-related tyrosine kinase 1	5.5	4.42	No
S100A3	S100 calcium binding protein A3	5.5	3.63	No
GPR109B	G protein-coupled receptor 109B	5.5	0.69	Yes
UBE2M	ubiquitin-conjugating enzyme E2M	5.4	4.42	Yes
TWIST1	twist homolog 1	5.4	3.05	No
LTF	lactotransferrin	5.4	0.56	Yes
DUSP9	dual specificity phosphatase 9	5.4	4.42	No
NPM3	nucleophosmin/nucleoplasmin, 3	5.3	4.42	Yes
SIPA1	signal-induced proliferation-associated gene 1	5.3	4.42	Yes
FGF13	fibroblast growth factor 13	5.3	3.63	Yes
TSPAN2	tetraspan 2	5.3	3.63	Yes
GKN1	gastrokine 1	5.2	2.55	No
PRV1	polycythemia rubra vera 1	5.2	3.05	Yes
ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	5.2	3.05	Yes
AKR1C2	aldo-keto reductase family 1, member C2	5.2	0.15	No
PDE5A	phosphodiesterase 5A, cGMP-specific	5.1	4.42	No
TFF3	trefoil factor 3	5.1	3.05	Yes
APEX2	APEX nuclease 2	5.1	1.74	Yes
PIR	pirin (iron-binding nuclear protein)	5.0	0.15	No
LEPR	leptin receptor	4.9	1.74	Yes
SLPI	secretory leukocyte protease inhibitor	4.8	2.12	Yes
CA4	carbonic anhydrase IV	4.8	1.74	Yes
TACSTD1	tumor-associated calcium signal transducer 1	4.8	0.30	Yes
