Cell lines	Gene symbol	Gene mean	Gene SD	?-value	Adj p-value
MCF-7	AR	-0.5	0.05	21.3	2.20E-04
MCF-7	Cyclin E	0.9	0.1	12.8	0.001
MCF-7	CHGA	1.4	0.3	8.6	0.003
MCF-7	CHGB	-1.5	0.2	12.4	0.001
MCF-7	DDB2	1.1	0.2	8.5	0.003
MCF-7	ESR1	0.8	0.2	7.7	0.004
MCF-7	FANCF	-0.9	0.2	6.5	0.007
MCF-7	FOS	0.7	0.07	19.5	2.90E-04
MCF-7	JAK1	1.4	0.4	6.3	0.007
MCF-7	JUN	-1.7	0.5	6.6	0.006
MCF-7	KPNA2	1.6	0.1	23.3	1.70E-04
MCF-7	LIPA	0.9	0.2	8.2	0.003
MCF-7	MAP2K1	0.8	0.2	6.2	0.008
MCF-7	MSH2	1.5	0.4	6.3	0.007
MCF-7	RDX	-0.7	0.2	6.2	0.008
MCF-7	RRM2	1.1	0.2	10.1	0.002
MCF-7	SEPP1	-0.9	0.2	8.3	0.003
MCF-7	SMC1L1	-0.2	0.08	6.3	0.007
MCF-7	STAT3	0.7	0.2	5.9	0.009
MCF-7	TFPI2	-1.5	0.5	5.8	0.009
MCF-7	TGFA	2.2	0.4	10	0.002
MCF-7	VCP	1.1	0.3	7.8	0.004
MDA-MB-231	ADD1	-0.6	0.1	7.7	0.004
MDA-MB-231	BACH1	1.2	0.4	6.4	0.007
MDA-MB-231	BAP1	1.1	0.3	6.5	0.007
MDA-MB-231	C11ORF13	0.7	0.04	37	4.30E-05
MDA-MB-231	Caspase 8	-1	0.3	6.6	0.006
MDA-MB-231	CHGB	-1.7	0.2	19.5	2.90E-04
MDA-MB-231	CRB1	-1.1	0.3	8.5	0.003
MDA-MB-231	EIF4G1	0.5	0.1	11.3	0.001
MDA-MB-231	FANCC	-1.1	0.3	7.1	0.005
MDA-MB-231	FOS	1.2	0.2	11.1	0.001
MDA-MB-231	GJA4	-1.3	0.1	25.3	1.30E-04
MDA-MB-231	GJA5	-0.9	0.2	8.1	0.003
MDA-MB-231	IGF1	-0.1	0.3	6.6	0.006
MDA-MB-231	KIF2	1.9	0.3	11.5	0.001
MDA-MB-231	LDLR	0.9	0.3	5.9	0.009
MDA-MB-231	MAPK14	0.9	0.2	9.4	0.002
MDA-MB-231	NOS1	-1.1	0.1	12.8	0.001
MDA-MB-231	NUP214	-1.3	0.2	13.7	8.20E-04
MDA-MB-231	SEPP1	-1.5	0.2	10.8	0.001
MDA-MB-231	SMAD3	1.4	0.3	8.3	0.003
MDA-MB-231	TNFSF6	-1.4	0.4	7	0.005
MDA-MB-231	WRB	-1.6	0.4	7.2	0.005
MCF-10a	IGF1	0.4	0.05	17.9	3.70E-04
MCF-10a	MGAT2	1.1	0.2	10.6	0.001
MCF-10a	MICA	0.2	0.06	8.1	0.003
MCF-10a	AHR	-1.7	0.2	17.1	4.30E-04
MCF-10a	GJA5	0.6	0.1	7.8	0.004
MCF-10a	GPX4	-2.1	0.4	10.2	0.001
MCF-10a	MLH1	0.9	0.3	6.5	0.007
MCF-10a	TFF1	-0.7	0.1	10.8	0.001
MCF-10a	TP53	-1.3	0.4	6.7	0.006
MCF-10a	ZNF138	1.4	0.3	9.3	0.002
MCF-10a	MSH6	1.1	0.2	11.3	0.001
MCF-10a	PRKDC	-1.8	0.2	14.1	7.60E-04
MCF-10a	RAD50	0.9	0.2	6.6	0.006
