Name	Mus musculus Probe set	Mus musculus Genbank accession no.	Homo sapiens Probe set	Homo sapiens Genbank accession no.	Gene description	Log2 ratios (compared with controls) Mus musculus MTf-/- knockout	Log2 ratios (compared with controls) Mus musculus LMTK-hyper-expression	Log2 ratios (compared with controls) Homo sapiens SK-Mel-28 down-regulation	Log2 ratios (compared with controls) Homo sapiens SK-N-MC hyper-expression
Abcb5			1569072_s_at	U66692.1	Atp-binding cassette, subfamily b (mdr/tap), member 5			-2.4	1.6
Adrbk2	1440801_s_at	BB391602	204183_s_at	AI478542	Adrenergic, beta, receptor kinase 2	0.45	-1.575	1.1	-1.8
Apod	1444564_at	AV332635	201525_at	NM_001647.1	Apolipoprotein d	-3.91	-0.2	0	-0.7
Arhgap24	1424842_a_at	BC025502.1	223422_s_at	AI743534	Rho gtpase activating protein 24	-0.24	3.28	-0.75	1.3
Bace1	1450384_at	AF200346.1	222462_s_at	AI653425	Beta-site app-cleaving enzyme 1	1.36	-0.13	2.7	-0.5
Btg2	1448272_at	NM_007570.1	201236_s_at	NM_006763.1	Btg family, member 2	-0.44	0.5	0.75	-0.6
Camk4	1426167_a_at	M64266.1	241871_at	AL529104	Calcium/calmodulin-dependent protein kinase 4	0.1	-1.85	0.55	-1.4
Cd44	1423760_at	BC005676.1	212063_at	BE903880	Cd44 antigen	-0.15	0.05	-0.15	1
Cntn4	1460321_at	NM_007518.1	229084_at	R42166	Contactin 4	0.16	-0.43	-1.35	1.9
Cpm	1458006_at	BB549552	206100_at	NM_001874.1	Carboxypeptidase m	0.25	-1.83	0.95	-1.3
Cyr61	1457823_at	BB533736	201289_at	NM_001554.1	Cysteine-rich, angiogenic inducer, 61	-1.43	1.03	-1.4	0.4
Dct	1418028_at	NM_010024.1	216512_s_at	AL139318	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	1.86	-0.28	2.68	-1.63
Ddr1	1459990_at	BF462661	207169_x_at	NM_001954.2	Discoidin domain receptor family, member 1	0.31	-0.13	-1.65	-0.3
Dkk1	1420360_at	NM_010051.1	204602_at	NM_012242.1	Dickkopf homolog 1 (Xenopus laevis)	-0.36	-0.63	-2.35	0.5
Dmn	1457275_at	AI594683	212730_at	AK026420.1	Desmuslin	0.2	-1.75	1.95	-0.5
Elovl6	1445578_at	BF464298	210868_s_at	BC001305.1	Elovl family member 6, elongation of long-chain fatty acids (fen1/elo2, sur4/elo3-like, yeast)	1.49	-0.38	1.1	-1.5
Epha3	1425575_at	BB292785	206071_s_at	NM_005233.1	Eph receptor a3	0.28	-2.15	2.15	-1.5
Fbln5	1416164_at	NM_011812.1	203088_at	NM_006329.1	Fibulin 5	-0.04	1.33	1.65	-1.2
Fli1	1433512_at	BB138212	210786_s_at	M93255.1	Friend leukemia virus integration 1	0.3	-2.7	1.55	-0.6
Fmn2	1450064_at	BM228488	1555471_a_at	BC014364.1	Formin 2	0.29	-2.13	-1.3	1
Fyb	1452117_a_at	BB157866	227266_s_at	BF679849	Fyn-binding protein (fyb-120/130)	0.94	-1.45	1.35	-1.05
Gas6	1459585_at	BG069502	238127_at	AI479082	Growth arrest-specific 6	1.6	-1.68	0.4	-3.7
Gls	1435708_at	BB355415	203159_at	NM_014905.1	Glutaminase	1.28	0.5	0.1	-0.2
Gpm6b	1425942_a_at	AF254879.1	209169_at	N63576	Glycoprotein m6b	-0.28	1.45	1.9	-1.1
Il16	1448686_at	BB167822	209827_s_at	NM_004513.1	Interleukin 16 (lymphocytechemoattractant factor)	-0.49	1.88	0.05	-1.4
Il2rg	1416295_a_at	L20048.1	204116_at	NM_000206.1	Interleukin 2 receptor, gamma (severe combined immunodeficiency)	0.18	-3.25	1.6	-0.3
Laptm5	1436905_x_at	BB218107	201721_s_at	NM_006762.1	Lysosomal-associated multispanning membrane protein 5	-0.23	1.55	0.6	-1.7
Lsamp	1460092_at	BB082567	214460_at	NM_002338.1	Limbic system-associated membrane protein	-0.09	1.5	2.15	-0.1
Maf	1447849_s_at	AV323441	206363_at	NM_005360.2	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	-0.23	1.95	1.35	-1.7
Mbp	1433532_a_at	AI323506	209072_at	M13577.1	Myelin basic protein	0.19	-1.3	0.45	-2.9
Mef2a	1421252_a_at	NM_013597.1	208328_s_at	NM_005587.1	Myocyte enhancer factor 2a	0.73	-0.23	0.35	-0.4
