Gene Description	Accession no.	T29H	T29K	T80H	T80K	T72H	T72K
 Complement component 3	NM_000064	1.3	-1.1	3.3	2.8	4.5	2
 Dual specificity phosphatase 6	BC003143	1.6	1.7	3.3	3.9	2.7	1.8
 Endothelial cell-specific molecule 1	NM_007036	-2.4	2.9	1.5	1.6	3.8	18.8
 GRO1 oncongene	NM_001511	1.5	1.5	4.1	10.3	12.5	10.6
 GRO2 oncogene	M57731	3.4	1.2	1.5	4.4	7.6	5.9
 Interleukin 1, alpha	M15329	2.3	1.7	4.2	9.8	12.3	10.6
 Interleukin 1, ß	M15330	2.9	3.6	3.7	6.6	8.7	9.1
 Interleukin 11	NM_000641	-1.3	2.1	4.2	7.4	9.7	6.5
 Interleukin 6 (interferon, ß 2)	NM_000600	2.2	1.5	6.6	10.9	13.3	5.9
 Interleukin 8	AF043337	9.3	2.9	10	26.4	41.4	44.3
 Matrix metalloproteinase 1	NM_002421	1.2	4.5	-1.2	1.5	3.5	3.2
 Pre-B-cell colony-enhancing factor	NM_005746	1.2	-1	3.1	3.9	3.5	3.7
 Prostaglandin-endoperoxide synthase 2	NM_000963	2	1.6	6.6	7.3	4.8	2.9
 Secretory granule, neuroendocrine protein 1	NM_003020	-1	-1.1	6.9	5.3	2.3	2.7
 Serine (or cysteine) proteinase inhibitor	NM_002575	-2.4	2.8	1.2	1.4	6.9	4.1
 Small inducible cytokine A2	S69738	5.3	1.6	3.4	6.2	2.2	-1.1
 Small inducible cytokine subfamily B	NM_002993	3.2	2.3	6.6	9.9	4.3	3.4
 Stanniocalcin 1	AW003173	-1.5	10.8	3.6	4	13.1	10.8
 Superoxide dismutase 2, mitochondrial	X15132	2.4	1.1	3.2	5.3	7.5	3.6
 Tissue factor pathway inhibitor 2	AL574096	1.9	1.3	4.6	7.4	2.6	1.8
 Tissue inhibitor of metalloproteinase 3	BF347089	1.8	4.1	1.2	-1.7	2.4	2.8
 Vascular cell adhesion molecule 1	NM_001078	2.2	1.1	5.9	12.7	1	-1.5
 v-maf musculoaponeurotic fibrosarcoma oncogene homologue F	AL021977	1.4	1.4	3	4.4	2.7	3.3
