Symbol	Name	ratio F-N^lo / F- N^int	Function: GO terms/Pathways
Car1	carbonic anhydrase 1	24.1	carbonate dehydratase: carbon-oxygen lyase activity
Bcl11b	B-cell leukemia/lymphoma 11B	16.6	transcription factor: cell differentiation, negative regulation of cell proliferation, development
Tcf7	transcription factor 7, T-cell specific	15.3	transcription factor: regulation of cell proliferation, Wnt signaling pathway, transcription factor complex,
Prkcb1	protein kinase C, beta 1	3.8	kinase: receptor activity, calcium ion homeostasis, Wnt signaling pathway, CBL mediated ligand-induced downregulation of EGF receptors, leukocyte transendothelial migration
Ccr2	chemokine (C-C motif) receptor 2	3.7	receptor: locomotory behavior, receptor activity, development, cytokine-cytokine receptor interaction,
Sytl2	synaptotagmin-like 2	3.7	vesicle-mediated transport:
Ndg2	Nur77 downstream gene 2	3.4	nuclear receptor, apoptosis:
Ccl5	chemokine (C-C motif) ligand 5	3.1	chemokine: locomotory behavior, cytokine-cytokine receptor interaction, Toll-like receptor signaling pathway
Prtn3	proteinase 3	2.8	proteinase: serine-type endopeptidase activity
Lgals1	lectin, galactose binding, soluble 1	2.7	lectin: cell differentiation, development, galactose binding, heterophilic cell adhesion,
Nov	nephroblastoma overexpressed gene	2.7	matrix-associated protein: development, insulin-like growth factor binding, regulation of cell growth, growth factor activity.
Ms4a6c	membrane-spanning 4-domains, subfamily A, member 6C	2.6	receptor?: receptor activity
Ntf5	neurotrophin 5	2.6	trophic factor: locomotory behavior, cell differentiation, development, MAPK signaling pathway,
Mpo	myeloperoxidase	2.5	peroxidase: hydrogen peroxide catabolism, response to oxidative stress
2810051F02Rik	RIKEN cDNA 2810051F02 gene	2.5	unknown:
Neo1	neogenin	2.5	receptor: receptor activity, cell differentiation, development, cadherin binding
AI838057	expressed sequence AI838057	2.3	unknown:
Socs2	suppressor of cytokine signaling 2	2.1	signal transduction: cell differentiation, development, regulation of cell growth, Jak-STAT signaling pathway, Insulin signaling pathway,
Mgst1	microsomal glutathione S-transferase 1	2	oxidative stress defense: glutathione metabolism
4930402H24Rik	RIKEN cDNA 4930402H24 gene	1.9	unknown: nucleic acid binding, zinc ion binding
Air	antisense Igf2r RNA	1.8	antisense RNA: imprinting
