Probe set	Gene Symbol	Description	Fold-change: Lower/Upper	P-value
1567912_s_at	CT454, CT456, CT451, LOC728911	cancer/testis antigen CT45-2 /// cancer/testis antigen CT45-3 /// cancer/testis antigen CT45-4 /// cancer/testis antigen CT45-5 /// cancer/testis antigen CT45-6 /// cancer/testis antigen CT45-1 /// similar to cancer/testis antigen CT45	13	2.00E-07
235700_at	CT454, CT456, CT451, LOC728911	cancer/testis antigen CT45-2 /// cancer/testis antigen CT45-3 /// cancer/testis antigen CT45-4 /// cancer/testis antigen CT45-5 /// cancer/testis antigen CT45-6 /// cancer/testis antigen CT45-1 /// similar to cancer/testis antigen CT45	10.3	3.00E-07
238756_at	GAS2L3	Growth arrest-specific 2 like 3	3.5	1.33E-05
215772_x_at	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	3.3	0.00038
212459_x_at	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	3.2	0.0006838
228497_at	SLC22A15	solute carrier family 22 (organic cation transporter), member 15	3.1	0.0001649
205366_s_at	HOXB6	homeobox B6	3	0.0007675
242931_at			3	0.0002383
1554453_at	HNRPLL	heterogeneous nuclear ribonucleoprotein L-like	2.8	0.0001321
241692_at	HNRPLL	Heterogeneous nuclear ribonucleoprotein L-like	2.8	0.0001585
209191_at	TUBB6	tubulin, beta 6	2.8	0.0004464
225386_s_at	HNRPLL	heterogeneous nuclear ribonucleoprotein L-like	2.7	0.0001579
218829_s_at	CHD7	chromodomain helicase DNA binding protein 7	2.7	5.19E-05
210239_at	IRX5	iroquois homeobox protein 5	2.6	0.0001359
201828_x_at	FAM127A	family with sequence similarity 127, member A	2.6	1.90E-06
204779_s_at	HOXB7	homeobox B7	2.6	0.0001117
1567913_at		Clone SS108 A10F1 hypoxanthine phosphoribosyltransferase (hprt) 1200 kb deletion mutant	2.5	1.30E-06
214455_at	HIST1H2BG, HIST1H2BC	histone cluster 1, H2bg /// histone cluster 1, H2bc	2.5	0.0004659
211924_s_at	PLAUR	plasminogen activator, urokinase receptor /// plasminogen activator, urokinase receptor	2.4	0.0007569
224707_at	C5orf32	chromosome 5 open reading frame 32	2.4	3.02E-05
209906_at	C3AR1	complement component 3a receptor 1	2.4	0.0001647
205600_x_at	HOXB5	homeobox B5	2.4	0.0003497
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	2.3	0.0007942
207467_x_at	CAST	calpastatin	2.2	0.0001556
226099_at	ELL2	elongation factor, RNA polymerase II, 2	2.2	0.0002723
216973_s_at	HOXB7	homeobox B7	2.2	0.0002111
226123_at	CHD7	chromodomain helicase DNA binding protein 7	2.2	0.0001975
227943_at			2.1	0.0006656
208908_s_at	CAST	calpastatin	2.1	0.0001183
218280_x_at	HIST2H2AA3, HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4	2.1	0.0005487
213503_x_at	ANXA2	annexin A2	2.1	0.0006441
201590_x_at	ANXA2	annexin A2	2.1	0.0006145
210427_x_at	ANXA2	annexin A2	2.1	0.0007536
215489_x_at	HOMER3	homer homolog 3 (Drosophila)	2	0.0007701
242963_at	MGC26963	hypothetical protein MGC26963	2	0.0003308
235479_at	CPEB2	cytoplasmic polyadenylation element binding protein 2	2	1.97E-05
206522_at	MGAM	maltase-glucoamylase (alpha-glucosidase)	2	0.0004585
209706_at	NKX31	NK3 transcription factor related, locus 1 (Drosophila)	2	0.0001536
218477_at	TMEM14A	transmembrane protein 14A	2	0.0001689
214446_at	ELL2	elongation factor, RNA polymerase II, 2	1.9	0.0002181
218552_at	ECHDC2	enoyl Coenzyme A hydratase domain containing 2	1.9	0.0003042
235709_at	GAS2L3	growth arrest-specific 2 like 3	1.9	9.00E-07
201942_s_at	CPD	carboxypeptidase D	1.9	0.0004053
