Category	Probe set	Gene symbol	Description	Fold change^a (Ad5-GFP infected vs. uninfected) 24 h^b	Fold change^a (Ad5-GFP infected vs. uninfected) 24 h	Fold change^a (Ad5-GFP infected vs. uninfected) 72 h	Fold change^a (Ad5-GFP infected vs. uninfected) 72 h
Signal transduction	202035_s_at	SFRP1	Secreted frizzled-related protein 1	–2.12	–2.05	–1.43	1.28
Signal transduction	34408_at	RTN2	Reticulon 2	–1.08	1.37	–2.15	–2.36
Signal transduction	212143_s_at	IGFBP3	Insulin-like growth factor binding protein 3	–3.19	–4.44	–2.99	–3.05
Signal transduction	210095_s_at	IGFBP3	Insulin-like growth factor binding protein 3	–4.69	–3.07	–2.54	–3.07
Signal transduction	205990_s_at	WNT5A	Wingless-type MMTV integration site family, member 5A	–1.75	–2.05	–3.09	–3.62
Signal transduction	202020_s_at	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	1.05	–1.29	–2.17	–3.51
Cell adhesion	216442_x_at	FN1	Fibronectin 1	–2.82	–2.88	–1.28	–1.72
Cell adhesion	212464_s_at	FN1	Fibronectin 1	–2.94	–3.25	–1.18	–1.51
Cell adhesion	211719_x_at	FN1	Fibronectin 1	–3.14	–2.63	–1.08	–1.01
Cell adhesion	210495_x_at	FN1	Fibronectin 1	–2.81	–2.64	–1.22	–1.33
Cell adhesion	201110_s_at	THBS1	Thrombospondin 1	–2.59	–2.23	1.88	1.39
Cell adhesion	201109_s_at	THBS1	Thrombospondin 1	–2.74	–2.81	1.55	2.62
Cell adhesion	201108_s_at	THBS1	Thrombospondin 1	–2.39	–2.48	1.49	1.66
Physiological process	213836_s_at	KIAA1001	Hypothetical protein FLJ10055	–1.05	–	–2.18	–3.31
Physiological process	209738_x_at	PSG6	Pregnancy-specifi c &#3;1-glycoprotein 6	–	–	–4.26	–2.53
Physiological process	212667_at	SPARC	Secreted protein, acidic, cysteine rich (osteonectin)	1.21	1.21	–2.49	–4.76
Induction of apoptosis	221478_at	BNIP3L	BCL2/adenovirus E1B 19-kDa interacting protein 3-like	–1.27	–1.18	–2.92	–2.33
Induction of apoptosis	206864_s_at	HRK	harakiri, BCL2 interacting protein (contains only BH3 domain)	–1.04	–1.09	–2.52	–2.79
Cell proliferation	213895_at	EMP1	Epithelial membrane protein 1	–1.17	–1.41	–2.30	–2.34
Cell proliferation	205081_at	CRIP1	Cysteine-rich protein 1 (intestinal)	–1.09	–1.12	–2.14	–2.44
Regulation of transcription	218559_s_at	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	2.81	1.08	–2.30	–2.86
Regulation of transcription	215729_s_at	TONDU	TONDU	1.11	–1.31	–2.11	–2.13
Transport	219529_at	CLIC3	Chloride intracellular channel 3	1.18	2.21	–2.59	–3.16
Transport	213590_at	SLC16A5	Solute carrier family 16 (monocarboxylic acid transporters), member 5	1.1	–1.61	–2.60	–2.12
Transport	201336_at	VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)	–1.05	–1.66	–2.25	–2.42
