Gene symbol	Gene name	Fold induction relative to Tfast GSE56	Fold induction relative to Tfast H-Ras	Fold induction relative to Tfast GSE/H-Ras	Functional category
CXCL1	chemokine (C-X-C motif) ligand 1	1.24	2.8	68.5	Chemokines and cytokines
CXCL3	chemokine (C-X-C motif) ligand 3	0.65	2.26	21.3	Chemokines and cytokines
CXCL2	chemokine (C-X-C motif) ligand 2	2.64	4.24	12.7	Chemokines and cytokines
IL1B	IL-1�	1.17	4.34	12	Chemokines and cytokines
IL8	IL-8	2.9	4.19	11.3	Chemokines and cytokines
CSF2	colony-stimulating factor 2 (granulocyte-macrophage)	0.32	8.7	9.93	Chemokines and cytokines
IL6	interleukin-6 (IFN, �2)	2.11	2.54	9.83	Chemokines and cytokines
CXCL6	chemokine (C-X-C motif) ligand 6	0.87	1.04	2.76	Chemokines and cytokines
MMP3	matrix metalloproteinase 3 (stromelysin 1)	1.16	3.74	7.73	ECM modulators
PRSS3	protease, serine, 3 (mesotrypsin)	1.33	1.66	2.34	ECM modulators
TIMP1	tissue inhibitor of metalloproteinase 1	1.6	1.52	2.25	ECM modulators
PRSS2	protease, serine, 2 (trypsin 2)	2.42	2.13	3.77	ECM modulators
ADAMTS8	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8	0.96	1.49	2.31	ECM modulators
BCL2A1	BCL2-related protein A1	1.43	5.85	9.37	Cell death
BIRC3	baculoviral IAP repeat-containing 3	0.67	1.17	2.79	Cell death
CST1	cystatin SN	1.22	3.99	7.71	Cell death
