IMAGE clone ID	Description	Fold change in RPMI compared to DMEM Experiment 1	Fold change in RPMI compared to DMEM Experiment 2	Mean change (fold)
137456	T-box 3	2.25	1.62	1.94
81427	Thyroid transcription factor	4.32	1.23	2.78
138775	NGF receptor association protein 1	2.23	1.01	1.62
667482	Mal T cell differentiation protein	2.61	2.61	2.61
361974	Neurite GF	1.76	1.02	1.39
159608	Apolipoprotein D	2.38	-1.78	0.3
898219	Mesoderm specific transcript	2.82	-1.32	0.75
788566	Purkinje cell protein 4	2.08	2.2	2.14
341706	Brain expressed X linked 1	-2.21	-1.11	-1.66
840687	Mucin, transmembrane	2.44	-1.33	0.56
246786	G protein coupled receptor	1.23	-1.1	0.06
897770	Retinoic acid binding protein 2	1.62	-1.41	0.11
295985	ESTs splicing factor Arg-Ser rich	1.1	-1.01	0.05
210717	Syndecan 2 (heparan sulfate proteoglycan)	1.34	1.24	1.29
176606	Nel (chicken)-like 2	2.03	1.97	2
51916	EST phospholipase C beta 4	1.48	2.22	1.85
146123	Protein tyrosine phosphatase, receptor t	-1.3	1.3	0
667883	Pleckstrin homology-like domain, family	-1.73	-1.09	-1.41
131595	Melanoma antigen, family A, 10	1.74	1.5	1.62
