Gene ID	Gene Name	Molecular Function/Biological Process	Status
1916_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcription factor	UP REGULATED GENES
1915_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcription factor	UP REGULATED GENES
36634_at	BTG family, member 2	cell cycle regulator, tumor suppressor	UP REGULATED GENES
36097_at	immediate early protein	(L) signal transduction	UP REGULATED GENES
2094_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcription factor	UP REGULATED GENES
41483_s_at	jun D proto-oncogene	transcription factor	UP REGULATED GENES
32786_at	jun B proto-oncogene	transcription factor	UP REGULATED GENES
1612_s_at	jun D proto-oncogene	transcription factor	UP REGULATED GENES
1895_at	v-jun avian sarcoma virus 17 oncogene homolog	transcription factor	UP REGULATED GENES
38772_at	cysteine-rich, angiogenic inducer, 61	(L) signalling in cell adhesion	UP REGULATED GENES
38418_at	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	kinase	UP REGULATED GENES
32583_at	v-jun avian sarcoma virus 17 oncogene homolog	transcription factor	UP REGULATED GENES
789_at	early growth response 1	transcription factor	UP REGULATED GENES
36669_at	FBJ murine osteosarcoma viral oncogene homolog B	transcription factor	UP REGULATED GENES
33916_at	imidazoline receptor candidate	(L) imidazoline binding	UP REGULATED GENES
280_g_at	nuclear receptor subfamily 4, group A, member 1	nuclear receptor	UP REGULATED GENES
1005_at	dual specificity phosphatase 1	protein tyrosine phosphatase	UP REGULATED GENES
547_s_at	nuclear receptor subfamily 4, group A, member 2	transcription activating factor	UP REGULATED GENES
40448_at	zinc finger protein homologous to Zfp-36 in mouse	single-stranded RNA binding protein	UP REGULATED GENES
40375_at	early growth response 3	transcription factor	UP REGULATED GENES
2020_at	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	kinase	UP REGULATED GENES
1173_g_at	HG172-HT3924 Spermidine/Spermine N1-Acetyltransferase, Alt. Splice 2	N1-acetylation of spermine/spermidine	UP REGULATED GENES
36909_at	wee1+ (S. pombe) homolog	cell cycle regulator	UP REGULATED GENES
37386_i_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDEL receptor	UP REGULATED GENES
