Gene	Fold change	Description	Family	Location
Ahr	31.87	Aryl hydrocarbon receptor	Nuclear receptor	Nucleus
Cdh17	22.26	Cadherin 17, LI cadherin	Transporter	Plasma membrane
Inhba	8.33	Inhibin, beta A	Growth factor	Extracellular space
Edn1	7.45	Endothelin 1		Extracellular space
Sorbs1	7.3	Sorbin and SH3 domain containing 1		Plasma membrane
Ctgf	6.35	Connective tissue growth factor/CCN2	Growth factor	Extracellular space
Tnfaip6	5.38	Tumor necrosis factor alpha-induced protein 6		Extracellular space
Thbs1	5.31	Thrombospondin 1		Extracellular space
Tslp	5.28	Thymic stromal lymphopoietin	Cytokine	Extracellular space
Gja1	5.1	Connexin 43	Transporter	Plasma membrane
Cd44	4.23	CD44		Plasma membrane
Slit2	3.86	Slit homolog 2 (Drosophila melanogaster)		Extracellular space
Sdc2	3.67	Syndecan 2		Plasma membrane
Tjp1	3.57	Tight junction protein 1 (zona occludens 1)		Plasma membrane
Pdgfc	3.33	Platelet-derived growth factor C	Growth factor	Extracellular space
Dtr	3.04	Heparin-binding epidermal growth factor-like growth factor	Growth factor	Extracellular space
Rock2	2.74	Rho-associated, coiled-coil-containing kinase 2	Kinase	Cytoplasm
Pvrl3	2.69	Poliovirus receptor related 3		Plasma membrane
Cd9	2.66	CD9 antigen (p24)		Plasma membrane
Cyr61	2.62	Cysteine-rich 61/CCN1		Extracellular space
Siat1	2.61	Sialyltransferase 1	Enzyme	Cytoplasm
Wisp2	2.61	WNT1-inducible signaling protein 2/CCN5	Growth factor	Extracellular space
Aplp2	–2.76	Amyloid beta (A4) precursor-like protein 2		Extracellular space
Ank3	–2.81	Ankyrin 3, node of Ranvier (ankyrin G)		Plasma membrane
Ptn	–2.91	Pleiotrophin	Growth factor	Extracellular space
Edg1	–2.92	Sphingolipid G-protein-coupled receptor 1	G-protein-coupled receptor	Plasma membrane
F3	–2.97	Coagulation factor III		Plasma membrane
Mmp16	–3.35	Matrix metalloproteinase 16	Peptidase	Extracellular space
Ffg7	–3.7	Fibroblast growth factor 7	Growth factor	Extracellular space
Vcam1	–4.33	Vascular cell adhesion molecule 1		Plasma membrane
Erbb3	–5.59	v-erb-b2 viral oncogene homolog 3	Kinase	Plasma membrane
Kitlg	–6.14	KIT ligand	Growth factor	Extracellular space
Mme	–7.64	Membrane metalloendopeptidase	Peptidase	Plasma membrane
Sox9	–9.86	SRY (sex-determining region Y)-box 9	Transcription regulator	Nucleus
L1cam	–10.61	L1 cell adhesion molecule		Plasma membrane
