Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
100921_at	Mm.358642	Tnni3	Troponin I, cardiac	25.64	0.0013	0.032
96337_at	Mm.373526	Gp1bb	Glycoprotein Ib, beta polypeptide	20.41	0.0014	0.034
103330_at	Mm.370210	Strbp	Spermatid perinuclear RNA binding protein	15.63	0.0483	0.896
103797_at	Mm.20842	Cdc7	Cell division cycle 7 (S. cerevisiae)	11.63	<0.0001	0.012
160636_at	Mm.61488	AI413582	Expressed sequence AI413582	11.49	0.0045	0.096
103726_at	Mm.270382	2610311I19Rik	RIKEN cDNA 2610311I19 gene	11.11	0.0153	0.342
96925_at	Mm.273836	Glt25d1	Glycosyltransferase 25 domain containing 1	8.62	0.0073	0.743
103887_at	Mm.2128	S100a9	S100 calcium binding protein A9 (calgranulin B)	8.40	0.0007	0.152
161092_at	Mm.13145	Umps	Uridine monophosphate synthetase	8.20	0.0165	0.537
104704_at	Mm.297883	Clcn4-2	Chloride channel 4-2	7.87	0.0465	0.896
95480_at	Mm.301020	D11Wsu68e	DNA segment, Chr 11, Wayne State University 68, expressed	7.35	0.0419	0.977
160727_at	Mm.274492	2410002F23Rik	RIKEN cDNA 2410002F23 gene	7.30	0.0093	0.977
103585_at	Mm.19804	Spg4	Spastic paraplegia 4 homolog (human)	7.25	0.0117	0.939
102905_at	Mm.1569	Casp11	Caspase 11, apoptosis-related cysteine protease	7.25	0.0123	0.290
98876_at	Mm.28494	Mrpl11	Mitochondrial ribosomal protein L11	6.85	0.0126	0.342
104138_at	Mm.22116	Pafah2	Platelet-activating factor acetylhydrolase 2	6.29	0.0016	0.411
95679_at	Mm.29609	D19Ertd144e	DNA segment, Chr 19, ERATO Doi 144, expressed	6.06	0.0014	0.041
104326_at	Mm.22456	Adpgk	ADP-dependent glucokinase	5.99	0.0147	0.383
94992_at	Mm.277024	Copb1	Coatomer protein complex, subunit beta 1	5.85	0.0334	0.977
104648_at	Mm.234923	Pacs1	Phosphofurin acidic cluster sorting protein 1	5.71	0.0151	0.342
92784_at	Mm.229444	Gba2	Glucosidase beta 2	5.68	0.0289	0.896
94781_at	Mm.196110	Hba-a1	Hemoglobin alpha, adult chain 1	5.29	0.0069	0.977
103446_at	Mm.136224	Ifih1	Interferon induced with helicase C domain 1	5.18	0.0229	0.487
95447_at	Mm.24601	1810034K20Rik	RIKEN cDNA 1810034K20 gene	5.13	0.0486	0.765
102309_at	Mm.248876	Zfp326	Zinc finger protein 326	5.08	0.0103	0.276
95927_f_at	Mm.2470	2610201A13Rik	RIKEN cDNA 2610201A13 gene	5.03	0.0113	0.896
100125_at	Mm.4742	Pa2g4	Proliferation-associated 2G4	5.00	0.0192	0.393
92603_at	Mm.17708	Atp6v0d1	ATPase, H+ transporting, V0 subunit D isoform 1	5.00	0.0244	0.907
162377_f_at	Mm.6667	Ssbp4	Single stranded DNA binding protein 4	4.88	0.0045	0.290
93324_at	Mm.235132	Zfp36l1	Zinc finger protein 36, C3H type-like 1	4.72	0.0045	0.673
103248_at	Mm.20453	Fkbp1b	FK506 binding protein 1b	4.55	0.0497	0.734
100975_f_at	Unknown	Unknown	Unknown	4.46	0.0009	0.290
99186_at	Mm.4189	Ccna2	Cyclin A2	4.39	0.0156	0.342
103695_f_at	Mm.290704	C330007P06Rik	RIKEN cDNA C330007P06 gene	4.33	0.0251	0.572
95660_at	Mm.29553	Ethe1	Ethylmalonic encephalopathy 1	4.31	0.0346	0.896
94509_at	Mm.290027	Ncbp2	Nuclear cap binding protein subunit 2	4.27	0.0343	0.734
97488_at	Mm.3094	1200011O22Rik	RIKEN cDNA 1200011O22 gene	4.15	0.0252	0.537
95629_at	Unknown	Unknown	Unknown	3.60	0.0227	0.572
103499_at	Mm.22339	Vwf	Von Willebrand factor homolog	3.58	0.0009	0.041
104254_at	Unknown	2210408F11Rik	RIKEN cDNA 2210408F11 gene	3.56	0.0105	0.290
94485_at	Mm.28883	Peci	Peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	3.50	0.0147	0.896
161148_f_at	Mm.262547	Ing4	Inhibitor of growth family, member 4	3.41	0.0370	0.757
102963_at	Mm.18036	E2f1	E2F transcription factor 1	3.40	0.0210	0.405
99175_at	Unknown	Unknown	Unknown	3.39	0.0229	0.896
96655_g_at	Mm.104789	Wdr48	WD repeat domain 48	3.38	0.0328	0.522
98088_at	Mm.3460	Cd14	CD14 antigen	3.34	0.0349	0.537
160214_at	Mm.274904	Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2	3.28	0.0210	0.622
104757_at	Mm.24791	Zw10	ZW10 homolog (Drosophila), centromere/kinetochore protein	3.28	0.0280	0.448
100467_at	Mm.4925	Lyl1	Lymphoblastomic leukemia	3.16	0.0305	0.995
93327_at	Mm.371656	Tax1bp3	Tax1 (human T-cell leukemia virus type I) binding protein 3	3.12	0.0085	0.977
95072_at	Mm.29196	Cyc1	Cytochrome c-1	3.12	0.0106	0.290
160449_at	Mm.303534	Dr1	Down-regulator of transcription 1	3.00	0.0295	0.487
95620_at	Mm.289653	Dhrs7	Dehydrogenase/reductase (SDR family) member 7	2.99	0.0142	0.995
100988_at	Mm.141083	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2.87	0.0228	0.743
102815_at	Mm.294083	Anxa11	Annexin A11	2.87	0.0406	0.743
93144_at	Mm.243658	AI317237	Expressed sequence AI317237	2.86	0.0322	0.504
160735_at	Mm.334761	D230025D16Rik	RIKEN cDNA D230025D16 gene	2.83	0.0457	0.977
102969_at	Mm.268347	0610025P10Rik	RIKEN cDNA 0610025P10 gene	2.82	0.0070	0.564
100062_at	Mm.4502	Mcm3	Minichromosome maintenance deficient 3 (S. cerevisiae)	2.75	0.0480	0.778
93589_at	Mm.291443	Entpd4	Ectonucleoside triphosphate diphosphohydrolase 4	2.70	0.0217	0.572
103534_at	Unknown	Hbb-b2	Hemoglobin, beta adult minor chain	2.68	0.0380	0.995
98456_at	Mm.261787	Stk19	Serine/threonine kinase 19	2.65	0.0142	0.420
160461_f_at	Mm.181860	Tubb6	Tubulin, beta 6	2.64	0.0314	0.584
162442_r_at	Mm.18946	Ap2m1	Adaptor protein complex AP-2, mu1	2.61	0.0021	0.153
160883_at	Mm.44184	AI325464	Expressed sequence AI325464	2.60	0.0284	0.743
103693_at	Unknown	C130027E04Rik	RIKEN cDNA C130027E04 gene	2.59	0.0132	0.789
101869_s_at	Unknown	Hbb-b1	Hemoglobin, beta adult major chain	2.56	0.0271	0.995
94460_at	Mm.255075	Stk38	Serine/threonine kinase 38	2.54	0.0304	0.537
93237_s_at	Mm.268395	Tyms	Thymidylate synthase	2.54	0.0481	0.995
161427_f_at	Mm.18036	E2f1	E2F transcription factor 1	2.51	0.0095	0.290
161444_f_at	Mm.290474	1110055N21Rik	RIKEN cDNA 1110055N21 gene	2.49	0.0082	0.310
95713_at	Mm.290960	Clptm1	Cleft lip and palate associated transmembrane protein 1	2.48	0.0186	0.405
98968_at	Mm.3645	Myo5a	Myosin Va	2.46	0.0415	0.633
104533_at	Mm.328931	Pim1	Proviral integration site 1	2.46	0.0471	0.743
96744_at	Mm.101368	Acp6	Acid phosphatase 6, lysophosphatidic	2.42	0.0040	0.290
102790_at	Mm.13912	Jtb	Jumping translocation breakpoint	2.40	0.0001	0.028
161738_f_at	Mm.2644	Ilvbl	IlvB (bacterial acetolactate synthase)-like	2.39	0.0223	0.420
162182_f_at	Mm.302496	Kcnab2	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	2.36	0.0446	0.734
96596_at	Mm.30837	Ndrg1	N-myc downstream regulated gene 1	2.31	0.0057	0.420
104731_at	Mm.306985	Zfp467	Zinc finger protein 467	2.28	0.0476	0.743
92568_at	Mm.293529	Tfb2m	Transcription factor B2, mitochondrial	2.27	0.0103	0.290
160496_s_at	Mm.4502	Mcm3	Minichromosome maintenance deficient 3 (S. cerevisiae)	2.23	0.0404	0.935
103559_at	Mm.19111	Prkaca	Protein kinase, cAMP dependent, catalytic, alpha	2.19	0.0406	0.808
93976_at	Mm.26135	Cab39	Calcium binding protein 39	2.17	0.0231	0.487
93839_at	Mm.246990	Rtn3	Reticulon 3	2.16	0.0425	0.995
103365_s_at	Mm.227198	Arhgap9	Rho GTPase activating protein 9	2.14	0.0001	0.041
104195_at	Mm.353612	5730408K05Rik	RIKEN cDNA 5730408K05 gene	2.08	0.0464	0.896
94490_at	Mm.28910	Cnot8	CCR4-NOT transcription complex, subunit 8	2.04	0.0002	0.041
97895_f_at	Mm.272472	Hat1	Histone aminotransferase 1	2.04	0.0243	0.995
160575_at	Mm.10160	Cggbp1	CGG triplet repeat binding protein 1	2.03	0.0031	0.218
102792_at	Mm.1393	Ung	Uracil-DNA glycosylase	2.03	0.0328	0.642
98430_at	Mm.260271	Surf5	Surfeit gene 5	2.00	0.0193	0.405
102833_at	Mm.14547	Cbx2	Chromobox homolog 2 (Drosophila Pc class)	1.95	0.0410	0.995
100611_at	Mm.45436	Lyzs	Lysozyme	1.93	0.0325	0.995
97947_at	Unknown	Unknown	Unknown	1.88	0.0372	0.743
93940_at	Mm.9122	Pon3	Paraoxonase 3	1.84	0.0431	0.892
162225_f_at	Unknown	Unknown	Unknown	1.80	0.0342	0.995
160198_at	Unknown	Unknown	Unknown	1.77	0.0340	0.664
99451_at	Mm.4065	C230093N12Rik	RIKEN cDNA C230093N12 gene	1.76	0.0469	0.808
95147_at	Mm.282284	Pgls	6-phosphogluconolactonase	1.75	0.0034	0.969
98530_at	Unknown	Unknown	Unknown	1.75	0.0348	0.995
103035_at	Mm.207996	Tap1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	1.73	0.0127	0.448
94450_at	Mm.260009	Nsun2	NOL1/NOP2/Sun domain family 2	1.72	0.0454	0.743
104187_at	Mm.27443	D10Wsu93e	DNA segment, Chr 10, Wayne State University 93, expressed	1.64	0.0235	0.995
97921_at	Mm.273098	Agrn	Agrin	1.63	0.0444	0.995
104388_at	Mm.2271	Ccl9	Chemokine (C-C motif) ligand 9	1.61	0.0032	0.290
102978_at	Unknown	A430104N18Rik	RIKEN cDNA A430104N18 gene	1.61	0.0158	0.431
96869_at	Mm.272460	Gabarap	Gamma-aminobutyric acid receptor associated protein	1.60	0.0199	0.487
94441_at	Mm.26584	Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans)	1.58	0.0098	0.420
160841_at	Mm.3459	Dbp	D site albumin promoter binding protein	1.57	0.0224	0.995
162104_f_at	Unknown	Unknown	Unknown	1.47	0.0018	0.537
162028_f_at	Mm.250504	D4Wsu114e	DNA segment, Chr 4, Wayne State University 114, expressed	1.47	0.0489	0.995
160103_at	Mm.260635	38418	Membrane-associated ring finger (C3HC4) 7	1.46	0.0318	0.995
97077_f_at	Mm.246990	Rtn3	Reticulon 3	1.45	0.0310	0.939
101067_at	Mm.196635	Mrpl24	Mitochondrial ribosomal protein L24	1.44	0.0200	0.890
160797_r_at	Unknown	Unknown	Unknown	1.41	0.0456	0.896
104496_i_at	Unknown	Klk8	Kallikrein 8	1.40	0.0080	0.537
162421_r_at	Mm.2372	Tpbpa	Trophoblast specific protein alpha	1.39	0.0018	0.995
101508_at	Unknown	Unknown	Unknown	1.38	0.0298	0.778
100756_r_at	Unknown	Unknown	Unknown	1.38	0.0495	0.977
99020_at	Mm.3868	Yy1	YY1 transcription factor	1.37	0.0347	0.896
99931_at	Mm.4339	Lama5	Laminin, alpha 5	1.35	0.0096	0.778
103083_at	Unknown	Unknown	Unknown	1.35	0.0333	0.896
161967_at	Mm.21109	Gsn	Gelsolin	1.34	0.0264	0.778
92631_f_at	Mm.288630	Calm3	Calmodulin 3	1.34	0.0015	0.461
162173_i_at	Unknown	Unknown	Unknown	1.33	0.0466	0.977
160870_at	Unknown	Unknown	Unknown	1.32	0.0454	0.896
93077_s_at	Mm.1583	Ly6c	Lymphocyte antigen 6 complex, locus C	1.32	0.0400	0.896
95113_at	Mm.261050	0610039D01Rik	RIKEN cDNA 0610039D01 gene	1.31	0.0328	0.896
101793_at	Mm.150	Fcgr1	Fc receptor, IgG, high affinity I	1.30	0.0243	0.896
99552_at	Mm.4272	Snai2	Snail homolog 2 (Drosophila)	1.29	0.0055	0.749
160352_at	Mm.286394	Pcbp4	Poly(rC) binding protein 4	1.29	0.0260	0.995
160969_at	Mm.24214	Foxk1	Forkhead box K1	1.27	0.0357	0.896
96256_at	Mm.29821	Prdx3	Peroxiredoxin 3	1.27	0.0441	0.969
104374_at	Mm.22650	Serpina3n	Serine (or cysteine) proteinase inhibitor, clade A, member 3N	1.27	0.0309	0.926
92557_at	Mm.188939	Hsd17b1	Hydroxysteroid (17-beta) dehydrogenase 1	1.26	0.0293	0.995
93119_at	Mm.180182	Cox5b	Cytochrome c oxidase, subunit Vb	1.26	0.0020	0.977
161186_f_at	Mm.271839	Tyki	Thymidylate kinase family LPS-inducible member	1.25	0.0324	0.953
96910_at	Mm.268448	BC031140	CDNA sequence BC031140	1.25	0.0369	0.969
93790_at	Mm.2137	Sin3b	Transcriptional regulator, SIN3B (yeast)	1.25	0.0372	0.995
101795_f_at	Unknown	Defcr-rs12	Defensin related cryptdin, related sequence 12	1.25	0.0377	0.970
98477_s_at	Mm.235960	Ank3	Ankyrin 3, epithelial	1.25	0.0039	0.995
101981_at	Mm.968	Nr1h2	Nuclear receptor subfamily 1, group H, member 2	1.24	0.0001	0.778
160062_i_at	Unknown	Unknown	Unknown	1.24	0.0217	0.995
99557_at	Mm.42956	Nelf	Nasal embryonic LHRH factor	1.24	0.0436	0.995
95000_g_at	Mm.313915	Cubn	Cubilin (intrinsic factor-cobalamin receptor)	1.23	0.0028	0.778
161851_r_at	Mm.140243	Bphl	Biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)	1.23	0.0126	0.896
102845_at	Mm.275648	Pdlim7	PDZ and LIM domain 7	1.22	0.0215	0.907
103729_at	Mm.303386	Lama1	Laminin, alpha 1	1.22	0.0369	0.977
93445_at	Mm.6676	Cd5l	CD5 antigen-like	1.22	0.0157	0.995
99981_at	Mm.195898	Gnaq	Guanine nucleotide binding protein, alpha q polypeptide	1.21	0.0069	0.896
94927_at	Mm.26654	Fabp9	Fatty acid binding protein 9, testis	1.21	0.0188	0.995
100282_at	Mm.254266	Htr7	5-hydroxytryptamine (serotonin) receptor 7	1.21	0.0396	0.977
94253_at	Mm.196220	Eif2s1	Eukaryotic translation initiation factor 2, subunit 1 alpha	1.20	0.0137	1.000
160867_at	Mm.4146	Pdgfrb	Platelet derived growth factor receptor, beta polypeptide	1.20	0.0439	0.995
101326_at	Mm.313455	LOC213156	Similar to immunoglobulin heavy chain	1.20	0.0302	0.995
102785_at	Mm.271796	Matn1	Matrilin 1, cartilage matrix protein 1	1.20	0.0463	0.995
160090_f_at	Mm.275831	Aldoa	Aldolase 1, A isoform	1.20	0.0288	0.995
102800_at	Mm.14092	Foxc2	Forkhead box C2	1.19	0.0279	0.977
96638_at	Unknown	Unknown	Unknown	1.19	0.0018	0.977
103267_i_at	Unknown	Unknown	Unknown	1.18	0.0202	0.995
104659_g_at	Mm.149720	Lifr	Leukemia inhibitory factor receptor	1.18	<0.0001	0.995
95032_at	Mm.227274	Prc1	Protein regulator of cytokinesis 1	1.18	0.0411	0.995
93717_at	Mm.867	Ccl12	Chemokine (C-C motif) ligand 12	1.17	0.0387	0.995
92319_i_at	Mm.339737	Unknown	Similar to polyubiquitin - tobacco hornworm (fragments)	1.17	0.0156	0.995
96195_at	Mm.236438	Efs	Embryonal Fyn-associated substrate	1.17	0.0203	0.995
92237_at	Mm.3475	Rxrg	Retinoid X receptor gamma	1.17	0.0373	0.995
100037_at	Mm.44219	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	1.16	0.0231	0.995
98293_g_at	Mm.42096	MGI:1333876	G substrate	1.16	0.0152	0.995
96106_at	Mm.182470	Rnaseh2a	Ribonuclease H2, large subunit	1.16	0.0184	0.995
100477_at	Mm.262328	Tmem45a	Transmembrane protein 45a	1.16	0.0248	0.995
93950_at	Mm.938	Foxa2	Forkhead box A2	1.16	0.0310	0.995
95797_f_at	Mm.6231	V2r12	Vomeronasal 2, receptor, 12	1.16	0.0270	0.995
100526_f_at	Mm.5168	Adam3	A disintegrin and metalloprotease domain 3 (cyritestin)	1.16	0.0296	0.995
95141_at	Unknown	Unknown	Unknown	1.16	0.0495	0.995
103644_at	Mm.20388	Dpep1	Dipeptidase 1 (renal)	1.15	0.0445	0.995
92352_at	Mm.136736	Edg3	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	1.15	0.0196	0.995
96728_at	Mm.305725	Wdrx1	WD repeat domain, X-linked 1	1.14	0.0256	1.000
101472_s_at	Mm.8359	Pklr	Pyruvate kinase liver and red blood cell	1.14	0.0097	0.995
161007_at	Unknown	Unknown	Unknown	1.14	0.0211	0.995
101715_at	Unknown	Rnase2	Ribonuclease, RNase A family, 2	1.14	0.0473	0.995
92751_i_at	Mm.4709	Wnt10b	Wingless related MMTV integration site 10b	1.14	0.0405	0.995
93022_i_at	Mm.221389	Hist1h3f	Histone 1, H3f	1.14	0.0254	0.995
162268_at	Unknown	Crygd	Crystallin, gamma D	1.14	0.0484	0.995
100721_f_at	Mm.358673	LOC56304	Recombinant antineuraminidase single chain Ig VH and VL domains	1.13	0.0410	0.995
92429_at	Mm.41498	Mc2r	Melanocortin 2 receptor	1.13	0.0134	0.995
98577_f_at	Unknown	Unknown	Unknown	1.13	0.0192	1.000
98795_at	Mm.371586	Thrb	Thyroid hormone receptor beta	1.13	0.0343	0.995
160494_at	Mm.371558	Endog	Endonuclease G	1.13	0.0354	0.995
100335_at	Mm.87854	Atp7b	ATPase, Cu++ transporting, beta polypeptide	1.13	0.0449	0.995
101146_at	Mm.4797	Gsh1	Genomic screened homeo box 1	1.13	0.0216	0.995
100304_at	Mm.347438	H2-M10.1	Histocompatibility 2, M region locus 10.1	1.12	0.0125	0.995
104468_at	Mm.29755	Incenp	Inner centromere protein	1.12	0.0460	0.995
93088_at	Mm.163	B2m	Beta-2 microglobulin	1.11	0.0470	0.995
101611_at	Unknown	Unknown	Unknown	1.11	0.0116	0.995
161315_i_at	Mm.856	Tm4sf1	Transmembrane 4 superfamily member 1	1.10	0.0085	0.995
161717_i_at	Mm.107441	Zfp26	Zinc finger protein 26	1.10	0.0362	1.000
101182_at	Mm.5098	Gli3	GLI-Kruppel family member GLI3	1.09	0.0405	0.995
96509_at	Mm.329735	Ms4a2	Membrane-spanning 4-domains, subfamily A, member 2	1.09	0.0248	0.995
100614_at	Mm.201606	Mb	Myoglobin	1.09	0.0351	0.995
103402_at	Mm.278037	Tm7sf3	Transmembrane 7 superfamily member 3	1.09	0.0050	0.995
99817_at	Mm.307165	Vax2	Ventral anterior homeobox containing gene 2	1.09	0.0372	0.995
93912_at	Mm.203962	Bat3	HLA-B-associated transcript 3	1.08	0.0259	0.995
101120_at	Mm.19306	Capn2	Calpain 2	1.08	0.0204	0.995
92634_at	Mm.1151	Dpp4	Dipeptidylpeptidase 4	1.08	0.0496	1.000
99034_at	Mm.238044	Irx3	Iroquois related homeobox 3 (Drosophila)	1.07	0.0440	0.995
100387_f_at	Mm.333431	Klra12	Killer cell lectin-like receptor subfamily A, member 12	1.07	0.0161	1.000
92960_at	Mm.4964	Lif	Leukemia inhibitory factor	1.06	0.0226	0.995
99836_at	Mm.6216	Cyp27b1	Cytochrome P450, family 27, subfamily b, polypeptide 1	1.06	0.0267	0.995
92890_at	Mm.297650	C630002N23Rik	RIKEN cDNA C630002N23 gene	1.05	0.0148	0.995
93651_r_at	Unknown	Prp2	Proline rich protein 2	1.05	0.0204	0.995
