RefSeq ID	Gene Description	C signal	T signal	T vs. C fold change	Function
NM_014398	LAMP3, lysosomal-associated membrane protein 3	591.1	114.2	-5.1	Invasion and metastasis
NM_005574	LIM domain only 2 (rhombotin-like 1) (LMO2)	58.3	19.9	-2.9	Invasion and metastasis
NM_001909	CTSD, cathepsin D (lysosomal aspartyl protease)	38.3	5.7	-6.7	Invasion and metastasis
NM_001195	BFSP1, beaded filament structural protein 1	41.8	10.1	-4.1	Invasion and metastasis
NM_002348	LY9, lymphocyte antigen 9	26.9	3.4	-7.9	Invasion and metastasis
NM_000445	PLEC1, plectin 1	65.9	268.4	4	Invasion and metastasis
NM_002859	PXN, paxillin	27.3	110.7	4	Invasion and metastasis
NM_002318	LOXL2, lysyl oxidase-like 2	25.9	127.9	4.9	Invasion and metastasis
NM_173462	PAPLN papilin, proteoglycan-like sulfated glycoprotein	9.2	42.8	4.6	Invasion and metastasis
NM_015726	WDR42A WD repeat domain 42A	5.5	22.3	4.5	Invasion and metastasis
NM_005564	LCN2, lipocalin 2 (oncogene 24p3)	648.3	115.1	-5.6	Cell proliferation and apoptosis
NM_006732	FOSB	277.3	82.5	-3.3	Cell proliferation and apoptosis
NM_058229	FBXO32, F-box protein 32	96.3	21.7	-4.4	Cell proliferation and apoptosis
NM_000076	CDKN1C, cyclin-dependent kinase inhibitor 1C (p57, Kip2)	82.5	30	-2.9	Cell proliferation and apoptosis
NM_004165	RRAD, Ras-related associated with diabetes	76.8	12.3	-6.2	Cell proliferation and apoptosis
NM_000598	IGFBP3, insulin-like growth factor binding protein 3	218.9	767.1	3.5	Cell proliferation and apoptosis
NM_032982	CASP2, caspase 2	17.9	64.7	3.6	Cell proliferation and apoptosis
NM_174942	GAS2L3, growth arrest-specific 2 like 3	6.2	50.1	8.1	Cell proliferation and apoptosis
NM_002612	DLEU2, deleted in lymphocytic leukemia, 2	4.5	10.2	2.2	Cell proliferation and apoptosis
NM_005967	NAB2, NGFI-A binding protein 2 (EGR1 binding protein 2)	2.4	43.8	18.2	Cell proliferation and apoptosis
NM_004878	PTGES, prostaglandin E synthase	1251.5	317	-3.9	Different aspects of cellular metabolism
NM_001172	ARG2, arginase, type II	408.2	118.3	-3.4	Different aspects of cellular metabolism
NM_001035530	SGNE1, secretory granule, neuroendocrine protein 1	48.1	8.6	-5.5	Different aspects of cellular metabolism
NM_015692	C3, complement component 3	47.6	7.4	-6.4	Different aspects of cellular metabolism
NM_005410	SEPP1, selenoprotein P 1	37.2	9.5	-3.9	Different aspects of cellular metabolism
NM_017712	PGPEP1 pyroglutamyl-peptidase I	34.7	10.2	-3.4	Different aspects of cellular metabolism
NM_000663	ABAT, 4-aminobutyrate aminotransferase	31	8.6	-3.6	Different aspects of cellular metabolism
NM_002557	Oviductin	28.9	10.2	-2.8	Different aspects of cellular metabolism
NM_018964	SLC37A1 Solute carrier family 37 (glycerol-3-phosphate transporter), member 1	25.2	3.2	-7.8	Different aspects of cellular metabolism
NM_019080	NDFIP2, Nedd4 family interacting protein 2	23.6	6	-3.9	Different aspects of cellular metabolism
NM_020133	AGPAT, 1-acylglycerol-3-phosphate O-acyltransferase 4	20.3	2.7	-7.5	Different aspects of cellular metabolism
NM_001039049	COX8C, cytochrome c oxidase subunit 8C	16.6	1.6	-10.3	Different aspects of cellular metabolism
NM_002729	MSTP9 macrophage stimulating, pseudogene 9	15.8	2.1	-7.5	Different aspects of cellular metabolism
NM_004481	GALNT2 UDP-N-acetyl-alpha-d-galactosamine: polypeptide, N-acetylgalactosaminyltransferase 2	73.7	189.8	2.6	Different aspects of cellular metabolism
NM_001040147	SERPINB7, serine (or cysteine) proteinase inhibitor	7.9	40.6	5.1	Different aspects of cellular metabolism
NM_004117	FKBP5, FK506 binding protein	2.8	20.6	13.5	Different aspects of cellular metabolism
NM_000997	RPL37, ribosomal protein L37	1099.9	339.8	-3.2	Transcription and translation, signal transduction
NM_012385	p8 protein (candidate of metastasis 1)	608.3	171.4	-3.5	Transcription and translation, signal transduction
NM_033285	TP53INP1, tumor protein p53 inducible nuclear protein 1	225.1	60.1	-3.7	Transcription and translation, signal transduction
NM_005524	HES1, hairy and enhancer of split 1	203.6	49.4	-4.1	Transcription and translation, signal transduction
NM_006186	NR4A2, nuclear receptor subfamily 4, group A, member 2	177.6	37.9	-4.6	Transcription and translation, signal transduction
NM_017644	DRE1 protein	99.2	27.4	-3.6	Transcription and translation, signal transduction
NM_172193	KLHDC1, kelch domain containing 1	65.4	19.1	-3.4	Transcription and translation, signal transduction
NM_198503	KCNT2, potassium channel, subfamily T, member 2	64.8	17.5	-3.7	Transcription and translation, signal transduction
NM_001001928	PPARA, peroxisome proliferative activated receptor, alpha	62	17.6	-3.5	Transcription and translation, signal transduction
NM_004433	ETS-related transcription factor (ERT)	61.1	26.4	-2.3	Transcription and translation, signal transduction
NM_004898	CLOCK, clock homolog	39.1	7.2	-5.4	Transcription and translation, signal transduction
NM_004915	ABCG1, ATP-binding cassette, sub-family G (WHITE), member 1	32.9	5.4	-6	Transcription and translation, signal transduction
NM_001012957	DISC1, disrupted in schizophrenia 1	28.7	8.4	-3.4	Transcription and translation, signal transduction
NM_145170	TTC18, tetratricopeptide repeat domain 18	19.1	5.1	-3.7	Transcription and translation, signal transduction
NM_013304	ZDHHC1, zinc finger DHHC-type containing 1	19	4.8	-3.9	Transcription and translation, signal transduction
NM_018328	MBD5, methyl-CpG binding domain protein 5	17.5	3.4	-5.1	Transcription and translation, signal transduction
NM_006295	VARS, valyl-tRNA synthetase	25.7	99.5	3.9	Transcription and translation, signal transduction
NM_003200	TCF3, transcription factor 3	12.8	53.7	4.2	Transcription and translation, signal transduction
NM_031946	CENTG3 centaurin, gamma 3	12	62.3	5.1	Transcription and translation, signal transduction
NM_015908	ARS2 arsenate resistance protein	10.4	57.2	5.5	Transcription and translation, signal transduction
NM_007118	TRIO, triple functional domain	10.3	34.6	3.3	Transcription and translation, signal transduction
NM_001032283	TMPO, thymopoietin	5.4	25.6	4.7	Transcription and translation, signal transduction
NM_014264	PLK4, polo-like kinase 4	4.6	19.2	4.1	Transcription and translation, signal transduction
NM_002383	MAZ, MYC-associated zinc finger protein	3.9	29.1	7.4	Transcription and translation, signal transduction
NM_006521	TFE3, transcription factor binding to IGHM enhancer 3	3.3	17.2	5.2	Transcription and translation, signal transduction
NM_153034	ZFN488, zinc finger protein	3.3	24.2	7.3	Transcription and translation, signal transduction
NM_006293	TYRO3, TYRO3 protein tyrosine kinase	3.2	17.7	5.5	Transcription and translation, signal transduction
NM_015033	FNBP1, formin binding protein 1	3	18.9	6.3	Transcription and translation, signal transduction
NM_052970	HSPA12B heat shock protein 12B	3	29.2	9.7	Transcription and translation, signal transduction
NM_145185	MAP2K7, mitogen-activated protein kinase kinase 7	2.6	26.5	10.1	Transcription and translation, signal transduction
NM_005967	NAB2, NGFI-A binding protein 2	2.4	43.8	18.1	Transcription and translation, signal transduction
NM_016340	RAPGEF6, Rap guanine nucleotide exchange factor (GEF) 6	2	9.7	4.8	Transcription and translation, signal transduction
NM_001033047	NPNT nephronectin	77.6	17.4	-4.4	Miscellaneous
NM_080546	CDW92, member of the choline transporter-like protein family	46.7	13.9	-3.4	Miscellaneous
NM_138796	SPATA17 spermatogenesis associated 17	26.6	4.8	-5.5	Miscellaneous
NM_002260	KLRC2, killer cell lectin-like receptor subfamily C, member 2	25.1	3.8	-6.6	Miscellaneous
NM_017541	CRYGS, crystallin gamma S	20	3	-6.6	Miscellaneous
NM_013433	TNPO2, transportin 2	2.8	12.9	4.4	Miscellaneous
NM_014964	EPN, epsin 2	1.8	14	7.7	Miscellaneous
NM_015120.4	ALM1 Alstrom syndrome 1	5.7	17.1	3	Miscellaneous
