Symbol	Fold change	Accession	Synonyms
ITGB1BP3	2642.33	NM_014446.1	MIBP
PTPRZ1	2126.5	NM_002851.1	PTPZ;HPTPZ;PTP18;PTPRZ;RPTPB
CNTN1	430	NM_175038.1	F3;GP135
PCDH1	342.08	NM_002587.3	PC42;PCDH42;MGC45991
PODXL	303.06	NM_005397.2	PCLP;Gp200
GPR64	217.67	NM_005756.1	HE6;TM7LN2
PROM1	209.04	NM_006017.1	AC133;CD133;PROML1
GPRC5C	205	NM_022036.2	RAIG3;RAIG-3
CD24	166.98	NM_013230.1	CD24A
CLDN3	166.42	NM_001306.2	RVP1;HRVP1;CPE-R2;CPETR2
TACSTD1	163.81	NM_002354.1	EGP;KSA;M4S1;MK-1;EGP40;MIC18;TROP1; Ep-CAM;hEGP-2;CO17–1A;GA733–2
HTR3A	140	NM_000869.1	HTR3
FGFR4	139.96	NM_022963.1	TKF;JTK2
ADCY1	127.44	NM_021116.1
FGFR3	123.27	NM_022965.1	ACH;CEK2;JTK4;HSFGFR3EX
IL17RB	91.7	NM_018725.2	CRL4;EVI27;IL17BR;IL17RH1;MGC5245
SORL1	66.79	NM_003105.3	LR11;LRP9;SORLA;gp250;SorLA-1
GPM6B	60.7	NM_005278.2	M6B
KCNS3	35.26	NM_002252.3	KV9.3;MGC9481
FZD3	33.94	NM_017412.2	Fz-3;hFz3
