Gene Symbol	p-Value	%CV Support	Hazard Ratio	Description	Weight Rank	Gene Id Suppl Table	Loading matrix Component1	Loading matrix Component2	Loading matrix Component3	Loading matrix Component4	Loading matrix Component5	Correlation Component1	Correlation Component2	Correlation Component3	Correlation Component4	Correlation Component5	Gene Weights
AAK1	0.000645	40	0.48	AP2associatedkinase1	61	AAK1	-0.002969	-0.004899	0.006133	0.000256	0.003457	-0.447329	-0.354279	0.251218	0.010106	0.096254	-0.037029
ACSM1	0.000361	60	0.27	Acyl-CoAsynthetasemedium-chainfamilymember1	38	ACSM1	-0.002101	-0.001223	0.000437	-0.001099	0.00571	-0.515556	-0.144023	0.02914	-0.070575	0.258901	-0.034021
AGPAT7	0.000418	60	0.33	1-Acylglycerol-3-phosphateO-acyltransferase7(lysophosphatidicacid acyltransferase,eta)	41	AGPAT7	-0.002375	-0.002677	0.004039	0.000274	0.002453	-0.549187	-0.297099	0.253887	0.016611	0.104796	-0.030006
AIPL1	0.000989	30	0.38	Arylhydrocarbonreceptorinteractingprotein-like1	85	AIPL1	-0.002895	-0.001591	-0.001234	0.001036	0.006962	-0.582895	-0.153731	-0.067542	0.054605	0.259087	-0.03874
ATP5D	0.000133	90	0.52	ATPsynthase,Hþtransporting,mitochondrialF1complex,deltasubunit	17	ATP5D	-0.003326	0.000266	0.009615	-0.004061	-0.00633	-0.417916	0.016067	0.328404	-0.133602	-0.146971	-0.044694
BAX	0.000964	50	0.39	BCL2-associatedXprotein	82	BAX	-0.000916	0.002507	0.003123	-0.003436	0.001097	-0.187397	0.246091	0.173634	-0.184039	0.041479	-0.025397
BRSK1	0.000981	30	0.63	BRserine/threoninekinase1	83	BRSK1	-0.006336	-0.009841	-0.01027	0.002541	-0.009779	-0.627672	-0.467949	-0.276576	0.065924	-0.179032	-0.030003
C10orf80	0.000407	40	0.35	Chromosome10openreadingframe80	40	C10orf80	-0.001869	-0.001591	0.002469	0.000253	-2.30E-05	-0.34855	-0.142415	0.125148	0.012374	-0.000801	-0.020605
C14orf121	0.000105	90	0.26	Chromosome14openreadingframe121	14	C14orf121	-0.001623	0.000771	0.004233	0.002397	0.004257	-0.399672	0.091103	0.28343	0.154594	0.193754	-0.024671
CCDC135	0.000232	70	0.3	Coiled-coildomaincontaining135	24	C16orf50	-0.003293	-0.001425	0.001327	0.000767	0.007185	-0.711353	-0.147781	0.07791	0.043372	0.286867	-0.046481
C1orf151	0.000116	90	0.58	Chromosome1openreadingframe151	16	C1orf151	-0.004521	-0.005558	-0.016266	-0.008199	-0.011027	-0.466007	-0.275009	-0.455829	-0.221347	-0.210065	-0.030989
C1orf159	0.000228	70	0.3	Chromosome1openreadingframe159	23	C1orf159	-0.002535	0.000284	0.002283	0.002701	0.006596	-0.609686	0.032795	0.149259	0.170068	0.293127	-0.035935
C1orf198	0.000785	30	1.61	Chromosome1openreadingframe198	70	C1orf198	0.004898	-0.007457	0.008046	0.001612	0.008557	0.529852	-0.387177	0.236585	0.045675	0.171048	0.049841
C1orf68	0.000348	50	0.47	Chromosome1openreadingframe68	37	C1orf68	-0.002243	0.001301	-0.002022	-0.00267	0.011377	-0.344384	0.095897	-0.084391	-0.10737	0.322865	-0.049386
C1QTNF3	0.000106	90	1.75	C1qandtumornecrosisfactorrelatedprotein3	15	C1QTNF3	0.0045	-0.007863	-0.012384	-0.008943	0.010125	0.436876	-0.366356	-0.326796	-0.227348	0.181648	0.037462
C20orf32	0.000699	40	0.58	Chromosome20openreadingframe32	66	C20orf32	-0.004293	-0.005884	-0.016675	0.001618	-0.002973	-0.492301	-0.323877	-0.519824	0.048585	-0.062998	-0.019626
CACNA1B	0.000027	100	0.32	Calciumchannel,voltage-dependent,Ntype,alpha1Bsubunit	6	CACNA1B	-0.002757	0.000188	0.001089	0.003525	0.005829	-0.50494	0.0165	0.054217	0.169047	0.197285	-0.034445
CACNG6	0.000154	80	0.4	Calciumchannel,voltage-dependent,gammasubunit6	19	CACNG6	-0.003255	-2.70E-05	0.001867	-0.001524	0.004164	-0.527953	-0.002103	0.08233	-0.06474	0.124803	-0.048479
CCL28	0.000749	40	1.48	Chemokine(C-Cmotif)ligand28	69	CCL28	0.005099	0.00762	-0.004869	-0.000489	-0.021534	0.414725	0.297489	-0.107653	-0.010406	-0.32369	0.084627
CDH19	0.000493	40	0.45	Cadherin19,type2	52	CDH19	-0.002666	-0.001028	0.004613	0.00093	0.003792	-0.462565	-0.085647	0.217585	0.042273	0.121596	-0.036789
CDYL2	0.000987	20	0.49	Chromodomainprotein,Y-like2	84	CDYL2	-0.002971	-0.000403	-0.003289	-0.000553	0.01825	-0.450974	-0.02936	-0.135721	-0.021984	0.512013	-0.060724
CES2	0.000256	60	0.39	Carboxylesterase2(intestine,liver)	26	CES2	-0.002837	-0.003338	0.004206	0.001638	-0.00058	-0.509775	-0.287879	0.205407	0.077078	-0.019246	-0.026869
CNTFR	0.00071	40	0.45	Ciliaryneurotrophicfactorreceptor	68	CNTFR	-0.003596	-0.004613	-0.00248	0.003647	0.001413	-0.592558	-0.364782	-0.111061	0.157333	0.043025	-0.027375
CPE	0.000651	40	1.42	CarboxypeptidaseE	63	CPE	0.00641	-0.010626	-0.02331	-0.009736	-0.011341	0.462841	-0.368258	-0.457543	-0.184098	-0.151333	0.103986
CRYBB1	0.000473	50	0.34	Crystallin,betaB1	51	CRYBB1	-0.002433	-0.001456	0.000115	0.003255	0.004528	-0.500602	-0.143779	0.006412	0.175376	0.172153	-0.026214
