Gene name	Symbol	Fold change BBP/Control	Gene ID	Time	Function	up/downregulated
Cadherin 1	Cdh1	2.21	NM_031334	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Cadherin EGF LAG seven-pass G-type receptor 3	Celsr3	2.16	NM_031320	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Cardiotrophin 1	Ctf1	1.98	NM_017129	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Early growth response 2	Egr2	2.03	NM_053633	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Endothelial cell-specific molecule 1	Esm1	1.91	NM_022604	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Forkhead box G1	Foxg1	2.21	NM_012560	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Gamma-aminobutyric acid (GABA) B receptor 1	Gabbr1	2.14	AA817879	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Glutamate receptor, metabotropic 5	Grm5	2.52	NM_017012	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Glypican 2 (cerebroglycan)	Gpc2	1.83	NM_138511	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
NAD(P)H dehydrogenase, quinone 2	Nqo2	1.94	AW918463	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Odd Oz/ten-m homolog 2 (Drosophila)	Odz2	2.15	NM_020088	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Parathyroid hormone-like peptide	Pthlh	2.03	NM_012636	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Pregnancy-induced growth inhibitor	Okl38	2.29	NM_138504	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
RAS-like family 11 member B	Rasl11b	1.96	BQ202027	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Tenascin R	Tnr	1.93	NM_013045	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
Wilms tumor 1	Wt1	2.77	NM_031534	21 days	Morphogenesis, organogenesis and cell differentiation	Up-regulated genes
CUG triplet repeat, RNA-binding protein 2	Cugbp2	2	BE112513	21 days	Other transcription factors	Up-regulated genes
Forkhead box A1 (Hnf3a)	Foxa1	2.24	NM_012742	21 days	Other transcription factors	Up-regulated genes
HNF-3/forkhead homolog-1 (Hfh1)	Hfh1	2.08	NM_022858	21 days	Other transcription factors	Up-regulated genes
Jun dimerization protein 2	Jundp2	2.05	NM_053894	21 days	Other transcription factors	Up-regulated genes
Nuclear transcription factor-Y gamma	Nfyc	2.26	NM_012866	21 days	Other transcription factors	Up-regulated genes
TEA domain family member 2	Tead2	1.87	AI043589	21 days	Other transcription factors	Up-regulated genes
Transcription elongation factor A (SII), 2	Tcea2	1.99	NM_057098	21 days	Other transcription factors	Up-regulated genes
Transcription factor 2	Tcf2	2.04	NM_013103	21 days	Other transcription factors	Up-regulated genes
Transcription factor 4	Tcf4	2.13	BF398507	21 days	Other transcription factors	Up-regulated genes
Alpha-2-glycoprotein 1, zinc	Azgp1	2.08	NM_012826	21 days	Cell proliferation	Up-regulated genes
Calcium/calmodulin-dependent protein kinase II beta subunit	Camk2b	1.83	NM_021739	21 days	Cell proliferation	Up-regulated genes
Chemokine (C-X-C motif) ligand 10	Cxcl10	1.84	NM_139089	21 days	Cell proliferation	Up-regulated genes
Insulin receptor substrate 2	Irs2	2.28	CB547418	21 days	Cell proliferation	Up-regulated genes
Neutrophil cytosolic factor 1	Ncf1	2.64	NM_053734	21 days	Cell proliferation	Up-regulated genes
Platelet-derived growth factor, C polypeptide	Pdgfc	1.94	NM_031317	21 days	Cell proliferation	Up-regulated genes
Upregulated by 1,25-dihydroxyvitamin D-3	Txnip	2.58	CB548021	21 days	Cell proliferation	Up-regulated genes
Aryl hydrocarbon receptor	Ahr	1.95	NM_013149	21 days	Response to stress	Up-regulated genes
Chemokine (C-C motif) ligand 5	Ccl5	2.05	NM_031116	21 days	Response to stress	Up-regulated genes
Fc receptor, IgE, low affinity II, alpha polypeptide	Fcer2a	1.94	NM_133550	21 days	Response to stress	Up-regulated genes
Heat shock 27 kD protein family, member 7	Hspb7	2.2	CB606395	21 days	Response to stress	Up-regulated genes
Heat shock factor 2	Hsf2	2.43	NM_031694	21 days	Response to stress	Up-regulated genes
Myeloid cell leukemia sequence 1	Mcl1	1.84	BF553322	21 days	Response to stress	Up-regulated genes
Nitric oxide synthase 2, inducible	Nos2	1.83	NM_012611	21 days	Response to stress	Up-regulated genes
Oxidized low density lipoprotein (lectin-like) receptor 1	Oldlr1	2.09	NM_133306	21 days	Response to stress	Up-regulated genes
Peptidoglycan recognition protein 1	Pglyrp1	1.99	NM_053373	21 days	Response to stress	Up-regulated genes
Thioredoxin reductase 1	Txnrd1	2.24	NM_031614	21 days	Response to stress	Up-regulated genes
5-hydroxytryptamine (serotonin) receptor 2A	Htr2a	1.96	NM_017254	21 days	Signal transduction	Up-regulated genes
Activin receptor interacting protein 1	Acvrip1	2.24	NM_053621	21 days	Signal transduction	Up-regulated genes
Agouti	A	2.18	NM_052979	21 days	Signal transduction	Up-regulated genes
Angiotensin receptor-like 1	Agtrl1	2.06	NM_031349	21 days	Signal transduction	Up-regulated genes
Growth factor receptor bound protein 2-associated protein 2	Gab2	1.92	NM_053417	21 days	Signal transduction	Up-regulated genes
Growth hormone releasing hormone	Ghrh	1.98	NM_031577	21 days	Signal transduction	Up-regulated genes
Guanylate cyclase 1, soluble, beta 2	Gucy1b2	1.91	NM_012770	21 days	Signal transduction	Up-regulated genes
MAS-related G-protein coupled receptor, member G	Mrgprg	2.8	CB545776	21 days	Signal transduction	Up-regulated genes
Mcf.2 transforming sequence-like	Mcf2l	2.24	NM_053951	21 days	Signal transduction	Up-regulated genes
Membrane-spanning 4-domains, subfamily A, member 2	Ms4a2	1.88	NM_012845	21 days	Signal transduction	Up-regulated genes
Protein kinase, cAMP-dependent, regulatory, type 2, alpha	Prkar2a	2.01	AW919085	21 days	Signal transduction	Up-regulated genes
Rho guanine nucleotide exchange factor (GEF) 1	Arhgef1	2.09	NM_021694	21 days	Signal transduction	Up-regulated genes
Rho guanine nucleotide exchange factor 7	Arhgef7	1.88	CA512056	21 days	Signal transduction	Up-regulated genes
4-aminobutyrate aminotransferase	Abat	1.85	BF393840	21 days	Cell-cell signaling	Up-regulated genes
Discs, large (Drosophila) homolog-associated protein 2	Dlgap2	2.38	NM_053901	21 days	Cell-cell signaling	Up-regulated genes
Gap junction membrane channel protein beta 5	Gjb5	1.89	NM_019241	21 days	Cell-cell signaling	Up-regulated genes
11-beta-hydroxysteroid dehydrogenase	11-HSDIB	1.93	M77835.1	21 days	Metabolism	Up-regulated genes
Acetyl-coenzyme A carboxylase alpha	Acaca	2.09	NM_022193	21 days	Metabolism	Up-regulated genes
Aldehyde oxidase 1	Aox1	2.39	NM_019363	21 days	Metabolism	Up-regulated genes
Alpha 1,2-fucosyltransferase C gene	Ftc	1.98	NM_020541	21 days	Metabolism	Up-regulated genes
Apolipoprotein A-I	Apoa1	2.5	NM_012738	21 days	Metabolism	Up-regulated genes
Cholinergic receptor, muscarinic 3	Chrm3	2.08	NM_012527	21 days	Metabolism	Up-regulated genes
Diazepam binding inhibitor-like 5	Dbil5	1.84	NM_021596	21 days	Metabolism	Up-regulated genes
Elastase 2	Ela2	2.03	NM_012553	21 days	Metabolism	Up-regulated genes
Fatty acid binding protein 3	Fabp3	2.14	NM_024162	21 days	Metabolism	Up-regulated genes
FK506 binding protein 1b	Fkbp1b	2.01	NM_022675	21 days	Metabolism	Up-regulated genes
Glucosidase, alpha; acid (glycogen storage disease type II)	Gaa	2.3	CB544857	21 days	Metabolism	Up-regulated genes
Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	Hsd3b1	1.94	AI060276	21 days	Metabolism	Up-regulated genes
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5	Ndufa5	2.03	BQ210630	21 days	Metabolism	Up-regulated genes
Nicotinamide nucleotide transhydrogenase	Nnt	1.95	CB544867	21 days	Metabolism	Up-regulated genes
Peptide/histidine transporter PHT2	Slc15a3	1.92	NM_139341	21 days	Metabolism	Up-regulated genes
Phosphate cytidylyltransferase 1, choline, alpha isoform	Pcyt1a	2.49	NM_078622	21 days	Metabolism	Up-regulated genes
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	Plod1	2.43	AA944202	21 days	Metabolism	Up-regulated genes
Proteasome (prosome, macropain) 26S subunit, ATPase 3	Psmc3	1.9	NM_031595	21 days	Metabolism	Up-regulated genes
Protein kinase C, gamma	Prkcc	2.04	NM_012628	21 days	Metabolism	Up-regulated genes
Serine/threonine kinase 2	Slk	1.89	AA955942	21 days	Metabolism	Up-regulated genes
Small glutamine rich protein with tetratricopeptide repeats 2	Sgtb	2.03	CB545680	21 days	Metabolism	Up-regulated genes
Succinate-semialdehyde dehydrogenase		1.93	L34821.1	21 days	Metabolism	Up-regulated genes
Transmembrane protease, serine 8 (intestinal)	Tmprss8	1.88	CB544856	21 days	Metabolism	Up-regulated genes
Valosin-containing protein	Vcp	2.44	CB546610	21 days	Metabolism	Up-regulated genes
Adducin 1 (alpha)	Add1	2.65	NM_016990	21 days	Transport	Up-regulated genes
Apolipoprotein A-V	Apoa5	2	NM_080576	21 days	Transport	Up-regulated genes
Cholinergic receptor, nicotinic, alpha polypept. 1	Chrna1	1.88	NM_024485	21 days	Transport	Up-regulated genes
CUB and zona pellucida-like domains 1	Cuzd1	2.25	NM_054005	21 days	Transport	Up-regulated genes
Epidermal growth factor	Egf	2.05	NM_012842	21 days	Transport	Up-regulated genes
Gamma-aminobutyric acid A receptor, gamma 2	Gabrg2	1.87	AW523484	21 days	Transport	Up-regulated genes
Glutamate receptor, ionotropic, kainate 4	Grik4	2	NM_012572	21 days	Transport	Up-regulated genes
Glutamate receptor, ionotropic, NMDA2D	Grin2d	1.91	NM_022797	21 days	Transport	Up-regulated genes
Olfactory receptor 226	Olfr41	1.9	NM_031710	21 days	Transport	Up-regulated genes
Potassium inwardly-rectifying channel, subfamily J, member 6	Kcnj6	1.84	NM_013192	21 days	Transport	Up-regulated genes
RAB10, member RAS oncogene family	Rab10	2.33	CB547865	21 days	Transport	Up-regulated genes
Rabaptin, RAB GTPase binding effector protein 2	Rabep2	2.07	NM_058213	21 days	Transport	Up-regulated genes
Sodium channel, voltage-gated, type II, beta polypeptide	Scn2b	2.01	NM_012877	21 days	Transport	Up-regulated genes
Solute carrier family 12, member 4	Slc12a4	2.38	BI295055	21 days	Transport	Up-regulated genes
Solute carrier family 13, member 1	Slc13a1	1.89	AA818620	21 days	Transport	Up-regulated genes
Synaptotagmin 8	Syt8	2.48	NM_053325	21 days	Transport	Up-regulated genes
Adaptor-related protein complex 3, mu 2 subunit	Ap3m2	2	NM_133305	21 days	Cell organization	Up-regulated genes
ATP-dependent, RNA helicase	Ddx52	1.84	NM_053525	21 days	Cell organization	Up-regulated genes
Bassoon	Bsn	1.94	NM_019146	21 days	Cell organization	Up-regulated genes
Cadherin-8	Cdh8	2.42	AB010436.1	21 days	Cell organization	Up-regulated genes
