Probe ID	Gene Symbol	Overall FC	FC_P1	FC_P2	FC_P3	FC_P4	Function
34342_s_at	SPP1	24.7	24.16	26.78	4.75	5.39	Bone remodeling
2092_s_at	SPP1	11.8	14.05	12.94	3.35	4.07	Bone remodeling
47958_r_at	ANKH	-2	-2.23	-2.31	-2.03	-3.66	Bone remodeling
65035_at	TF1P11	-2.31	-2.28	-2.63	-2.97	-3.77	Bone remodeling
44596_at	TWIST2	-2.45	-2.7	-2.12	-2.94	-2.35	Bone remodeling
40333_at	BMP4	-2.5	-2.86	-2.89	-3	-5.23	Bone remodeling
49273_g_at	BMP7	-2.81	-4.58	-4.89	-6.82	-13.13	Bone remodeling
34342_s_at	SPP1	24.7	24.16	26.78	4.75	5.39	Cell Adhesion
2092_s_at	SPP1	11.8	14.05	12.94	3.35	4.07	Cell Adhesion
64719_at	FN1	7.5	27.07	6.02	4.05	4.93	Cell Adhesion
59070_at	HNT	5	5.37	9.69	12.08	13.67	Cell Adhesion
62628_at	PCDHGC3	3.4	2.24	5.44	2.97	2.42	Cell Adhesion
44892_at	MLLT4	3.3	2.63	2.07	6.21	7.48	Cell Adhesion
47064_at	HNT	3.27	2.98	4.37	8.07	8.4	Cell Adhesion
66327_at	PKP4	2.79	3.31	3.88	4.56	6.2	Cell Adhesion
35246_at	TYRO3	2.4	-5.43	-3.58	-6.35	-5.18	Cell Adhesion
659_g_at	THBS2	1.9	2.39	2.37	2.26	2.7	Cell Adhesion
59623_at	PCDH18	-2.22	-2.09	-2.89	-2.17	-2.39	Cell Adhesion
53497_at	ITGB8	-2.38	-2.88	-2.69	-3.51	-13.81	Cell Adhesion
60876_at	COL8A2	-2.38	-2.26	-3.26	-3.61	-2.25	Cell Adhesion
47007_s_at	NINJ2	-2.63	-2.55	-3.4	-3.3	-5.93	Cell Adhesion
103_at	THBS4	-2.7	-2.02	-3.37	-2.16	-3.26	Cell Adhesion
46520_at	ROBO2	-2.86	-2.58	-4.96	-4.14	-4.46	Cell Adhesion
45939_at	CNTN3	-3.33	-3.38	-2.14	-7.41	-11.94	Cell Adhesion
47535_at	CDH10	-3.7	-4.87	-3.19	-8.27	-4.65	Cell Adhesion
56192_at	PCDH7	-3.7	-2.5	-5.33	-5.74	-3	Cell Adhesion
52999_at	BOC	-4.17	-2.42	-8.8	-12.25	-6.16	Cell Adhesion
43930_at	LSAMP	-4.35	-3.05	-7.62	-9.76	-7.67	Cell Adhesion
33883_at	EFS	-4.76	-5.43	-3.58	-6.35	-5.18	Cell Adhesion
64342_at	CTGF	-5.26	-4.21	-4.15	-20.44	-14.87	Cell Adhesion
64423_s_at	BOC	-6.67	-3.63	-8.16	-11.8	-54.66	Cell Adhesion
52652_g_at	COL8A2	-10	-7.95	-9.99	-11.56	-9.75	Cell Adhesion
51214_at	PKP1	-14.29	-11.57	-16.34	-11.83	-17.85	Cell Adhesion
